participant_ID;text_ID;error;error_type;fb_type
AFJ1;AFJ1_1;no solo sean castigados, sino que [también] reciban;elip.;D.N.M
AFJ1;AFJ1_1;estoy de acuerdo [con] que las cárceles ya se han mejorado;reg.;D.N.M
AFJ1;AFJ1_1;porque, sin (embargo) [duda], conocemos las condiciones;sust.;D.N.M
AFJ1;AFJ1_1;las condiciones en (cuáles) [que] los presos tenían que vivir;sust.;D.N.M
AFJ1;AFJ1_1;allá a los presos, (cuáles) [a quienes] casi ni se [les] puede llamar así;reg.;D.N.M
AFJ1;AFJ1_1;la estancia puede ser tan (traumatizando) [traumática] que;sust.;D.M.
AFJ1;AFJ1_1;cárceles como (el) [la] de Rikers Island;gen.;D.N.M
AFJ1;AFJ1_1;seguramente, (la tirada de) [retirarles] la posibilidad;sust.;I.M.
AFJ1;AFJ1_1;la posibilidad de (hacer) [formar] parte de la sociedad;sust.;D.N.M
AFJ1;AFJ1_1;así la población (está) [queda] protegida;sust.;D.N.M
AFJ1;AFJ1_1;como [afirmaban] los señores;elip.;D.N.M
AFJ1;AFJ1_1;que hemos (conocidos) [conocido] la semana pasada;núm.;D.N.M
AFJ1;AFJ1_1;no ayudan a los criminales a reintegrarse (otra vez) en sociedad;exce.;I.M.
AFJ1;AFJ1_1;(está) [es] cierto que no se puede evitar;sust.;D.N.M
AFJ1;AFJ1_1;el estado tiene [que] proteger;elip.;D.N.M
AFJ1;AFJ1_1;proteger (a la demás) [al resto de la] población;sust.;I.L.
AFJ1;AFJ1_1;la oportunidad de (crear) [construirse] una nueva vida;sust.;D.N.M
AFJ1;AFJ1_1;condiciones como (en) [las de] la cárcel de Bastøy;reg.;D.N.M
AFJ1;AFJ1_1;deberían (estar) [ser] libres;sust.;D.N.M
AFJ1;AFJ1_1;libres (en que tienen) [de tener] un trabajo y (ganan) [ganar] dinero;reg.;D.N.M
AFJ1;AFJ1_1;(estoy) [soy] de la opinión;sust.;D.N.M
AFJ1;AFJ1_1;la opinión [de] que especialmente la reinserción de los jóvenes;reg.;D.N.M
AFJ1;AFJ1_1;la reinserción de los jóvenes es (demasiado) [extremadamente] importante;sust.;D.N.M
AFJ1;AFJ1_1;un instrumento de ayuda para los presos a fin de (aprender) [enseñarles] a vivir en sociedad;sust.;
AFJ1;AFJ1_1;un instrumento de ayuda para los presos a fin de enseñarles [a] vivir en sociedad;reg.;
AFJ1;AFJ1_1;aunque es indispensable (no) condenarlos, todavía forman parte;exce.;D.N.M
AFJ1;AFJ1_1;(hacen) [forman] parte;sust.;D.N.M
AFJ1;AFJ1_1;(que) [y] necesitan asistencia;sust.;D.N.M
AFJ1;AFJ1_1;reflexionar [sobre] sus errores;reg.;D.N.M
AFJ1;AFJ1_2;(tomaron) [sacaron] ventaja de todas las vacaciones;sust.;I.M.
AFJ1;AFJ1_2;el cielo azul encima de mí [me] promete en secreto que los rayos del sol;pron.;D.N.M
AFJ1;AFJ1_2;como si la gente que me rodea en esta playa (fuera) [estuviera] más contenta;sust.;D.N.M
AFJ1;AFJ1_2;no hay (tal) [esa] insatisfacción básica;det.;D.N.M
AFJ1;AFJ1_2;este sonido siempre me ha (dado) [producido] un sentimiento;sust.;D.N.M
AFJ1;AFJ1_2;(liberdad) [libertad];creac.;I.L.
AFJ1;AFJ1_2;(como) [cómo] las olas azules regresan al mar;sust.;D.N.M
AFJ1;AFJ1_2;(como) [cómo] el agua ilumina;sust.;D.N.M
AFJ1;AFJ1_2;ilumina (a) la arena;reg.;D.M.
AFJ1;AFJ1_2;es mucho más (iluminoso) [luminoso] aquí que en el lugar que conozco;creac.;I.L.
AFJ1;AFJ1_2;no importa en (que) [qué] estado de ánimo;sust.;D.N.M
AFJ1;AFJ1_3;impuestos (de) [sobre el] trabajo;reg.;D.N.M
AFJ1;AFJ1_3;(tecnologia) [tecnología];ort.;D.N.M
AFJ1;AFJ1_3;la globalización tiene dos (lados) [caras];sust.;D.M.
AFJ1;AFJ1_3;algunos países viven en riqueza y [se] aprovechan de la rápida expansión;pron.;D.N.M
AFJ1;AFJ1_3;expansión (en) [de] los mercados internacionales;reg.;D.N.M
AFJ1;AFJ1_3;expansión de [los] mercados internacionales;det.;D.N.M
AFJ1;AFJ1_3;esta parte de la sociedad tiene menos de 1 € (cada) [al] día para sobrevivir;sust.;D.N.M
AFJ1;AFJ1_3;un país [económicamente] fuerte (en la economía);ana.;D.N.M
AFJ1;AFJ1_3;tuvieron serias consecuencias que (traen adelante) [siguen en vigor];sust.;R
AFJ1;AFJ1_3;(economia) [economía];ort.;D.N.M
AFJ1;AFJ1_3;claro [que] entiendo;elip.;D.N.M
AFJ1;AFJ1_3;la vida que muchos países europeos nos ofrecen (son) [es] un beneficio;núm.;D.M.
AFJ1;AFJ1_3;del crecimiento económico [asociado];esp.;D.N.M
AFJ1;AFJ1_3;(inequilibrio) [desequilibrio];creac.;D.N.M
AFJ1;AFJ1_3;desequilibrio de (forzas) [fuerzas];creac.;D.N.M
AFJ1;AFJ1_3;deberíamos ayudar y remodelar el sistema (así) [para] que haya soluciones;reg.;D.N.M
AFJ1;AFJ1_3;para que haya soluciones y (limitar) [se limiten los] riesgos;pron.;D.N.M
AFJ1;AFJ1_3;aquellos que ya son más (fuerte) [fuertes];núm.;D.N.M
AFJ1;AFJ1_3;¿qué (se) pasa con el resto?;pron.;D.N.M
AFJ1;AFJ1_3;¿qué pasa (al) [con el] resto?;reg.;D.N.M
AFJ1;AFJ1_3;no es un proceso simple (y que tarda mucho tiempo) [ni rápido];ana.;R
AFJ1;AFJ1_4;tras un (tiempo) [rato] de diversión;sust.;
AFJ1;AFJ1_4;la parte noreste (alrededor) del famoso parque;exce.;
AFJ1;AFJ1_4;vi tres figuras que se acercaban (al) [a la] alberca del jardín;gen.;
AFJ1;AFJ1_4;eran estudiantes (de) Erasmus;reg.;
AFJ1;AFJ1_4;[los] cuales venían de una fiesta;det.;
AFJ1;AFJ1_4;pidió a los jóvenes que se alejaran del estanque, pero (esos) [estos] estaban;det.;
AFJ1;AFJ1_4;y no fue hasta que un coche (de) patrulla los detuvo cerca del Arco de Triunfo;reg.;
AFJ1;AFJ1_4;(cuando) [que] se sorprendieron al verlos correr;sust.;
AFJ1;AFJ1_4;con un (palmípeda) [palmípedo] bajo el brazo;gen.;
AFJ1;AFJ1_4;algunos (extremistas) [activistas] del bienestar animal;sust.;
AMN1;AMN1_1;el color (negrito) [negro] guarda todo el calor;sust.;D.M.
AMN1;AMN1_1;(guardia) [guardián];sust.;D.M.
AMN1;AMN1_1;la [desfavorable] situación (desfavorable);ord.;D.N.M
AMN1;AMN1_1;la desfavorable situación [se] exacerba;pron.;D.N.M
AMN1;AMN1_1;la desfavorable situación se exacerba [cada] vez más;elip.;D.N.M
AMN1;AMN1_1;la [estrecha] calle (estrecha);ord.;D.N.M
AMN1;AMN1_1;los cuatro ladrones son (convictos) [detenidos] y metidos en el coche;sust.;D.N.M
AMN1;AMN1_1;no le (hacen sentir) [inspiran] ninguna compasión;sust.;D.M.
AMN1;AMN1_1;al (final) [fin y al cabo] solo estaban presentes;sint.;D.N.M
AMN1;AMN1_1;una llamada en (la) prisión;det.;D.N.M
AMN1;AMN1_1;ha dado [a] luz a un niño;reg.;D.N.M
AMN1;AMN1_1;la barriga (grandote) [grandota] de su hermana;gen.;D.N.M
AMN1;AMN1_1;obligan [a] los estados a gestionar las cárceles;reg.;D.N.M
AMN1;AMN1_1;(dependiente) [dependiendo] de la gravedad del crimen;sust.;D.N.M
AMN1;AMN1_1;es el lugar (cierto) [adecuado] para cambiar el comportamiento;sust.;D.N.M
AMN1;AMN1_1;el miedo (es) [está] muy presente;sust.;D.N.M
AMN1;AMN1_1;(aparte) [fuera] de los países occidentales;sust.;D.N.M
AMN1;AMN1_1;a nadie le gustaría (pasar) [cumplir] una condena;sust.;D.N.M
AMN1;AMN1_1;el miedo a la (deprivación) [privación] completa de la libertad;creac.;D.N.M
AMN1;AMN1_1;(resulta) [es] indudable que las razones;sust.;D.N.M
AMN1;AMN1_1;las razones (por) [para] cometer delitos son muy diversas;reg.;D.N.M
AMN1;AMN1_1;la decisión (por) [de] perpetrar el crimen;reg.;D.N.M
AMN1;AMN1_1;la decisión de [perpetrar] el crimen;elip.;D.N.M
AMN1;AMN1_1;personas malas se vuelven (en) personas malísimas;reg.;D.N.M
AMN1;AMN1_1;(aprende uno del otro) [aprenden unos de otros];núm.;R
AMN1;AMN1_1;[pues] aprenden unos de otros;elip.;D.N.M
AMN1;AMN1_1;después de haber (vuelto a la) [sido puestos en] libertad;sust.;R
AMN1;AMN1_1;se atribuye al hecho [de] que hay una escasez inmensa de psicólogos;reg.;D.N.M
AMN1;AMN1_1;[y a que] las terapias son genéricas y voluntarias;elip.;D.N.M
AMN1;AMN1_1;[muchos entraron en la cárcel] a causa de la falta de recursos financieros (muchos entraron en la cárcel);ord.;D.N.M
AMN1;AMN1_1;a causa de [la] falta de recursos financieros;det.;D.N.M
AMN1;AMN1_1;(sintetizando) [en resumen], se puede decir que siempre es fácil;sint.;
AMN1;AMN1_1;cuando todavía (estaba) [era] de noche;sust.;D.N.M
AMN1;AMN1_1;no parece tener (un) fin;det.;D.N.M
AMN1;AMN1_1;las colinas alrededor adornan (majestosamente) [majestuosamente] el paisaje;creac.;D.N.M
AMN1;AMN1_1;sacan al animal de las [húmedas] profundidades (húmedas)…;ord.;D.N.M
AMN1;AMN1_2;primera ascensión humana (del) [al] monte Olimpo;reg.;
AMN1;AMN1_2;serían la primera vez que [los] humanos pisarían la tierra;det.;D.N.M
AMN1;AMN1_2;los escarpados acantilados del (Mount) [monte] Everest;creac.;D.N.M
AMN1;AMN1_2;la falta de aire que se siente en las altitudes [terrestres] aquí no importaba;esp.;D.N.M
AMN1;AMN1_2;la [verdadera] razón (verdadera);ord.;D.M.
AMN1;AMN1_2;la subida mínima que (dejó cuestionar) [hizo cuestionarse] al equipo;sust.;R
AMN1;AMN1_2;seguían su camino hasta (encontrarse) [quedar] rendidos;sust.;R
AMN1;AMN1_2;una indefinible forma azul destacó (de) [en] la rojísima superficie que los rodeaba;reg.;D.N.M
AMN1;AMN1_2;se dieron cuenta [de] que se trataba de una tienda antigua;reg.;D.N.M
AMN1;AMN1_2;irritados (y) [e] incrédulos;ort.;D.N.M
AMN1;AMN1_2;no sabían qué (era) [eran];núm.;D.N.M
AMN1;AMN1_2;la denominación [de] basura;reg.;D.N.M
AMN1;AMN1_2;(similar) [similares] a telas de araña, estaban colgadas en las laderas coloridas banderas;núm.;D.N.M
AMN1;AMN1_2;la cumbre (era) [estaba] cubierta por huesos humanos;sust.;D.N.M
AMN1;AMN1_2;(al) [a] punto de desmayarse por el cansancio;det.;D.N.M
AMN1;AMN1_3;[el] Líbano;det.;D.N.M
AMN1;AMN1_3;se divulga la noticia [de] que Italia prepara sus armas nucleares;reg.;D.M.
AMN1;AMN1_3;el jefe (del) [de] estado;det.;D.N.M
AMN1;AMN1_3;el (imperador) [emperador];creac.;D.M.
AMN1;AMN1_3;los países (que son los objetivos) [objeto] de la invasión a gran escala;ana.;R
AMN1;AMN1_3;carecen de cualquier legitimidad (de) [para] ser independientes;reg.;D.N.M
AMN1;AMN1_3;cuyo [poder] militar ocupaba enormes superficies en Europa, Asia y África;esp.;D.N.M
AMN1;AMN1_3;algunas naciones (más que comparten una frontera con dichos países) [colindantes];ana.;D.M.
AMN1;AMN1_3;desea (reestablecer) [restablecer] el equilibrio de poder;ort.;D.N.M
AMN1;AMN1_3;sin el Impero romano, (el continente) Europa no habría avanzado con la misma velocidad;exce.;D.N.M
AMN1;AMN1_3;en cuestiones de (la) tecnología o de (la) ciencia;det.;D.N.M
AMN1;AMN1_3;el (imperador) [emperador];creac.;D.N.M
AMN1;AMN1_3;en su (provocador) [provocadora] invectiva;gen.;D.N.M
AMN1;AMN1_3;(pan y juegos) [pan y circo];sust.;D.M.
AMN1;AMN1_4;(mamarracho) [Mamarracho];ort.;
AMN1;AMN1_4;¿nunca te (daría cosquillas) [conmovería]?;sust.;
AMN1;AMN1_4;¿te gusta invertir [el] cien por ciento de tu rendimiento en ti mismo?;det.;
AMN1;AMN1_4;la mejor serie (que) jamás (ha sido) producida;exce.;
AMN1;AMN1_4;subir una foto (en) [a] Instagram;reg.;
AMN1;AMN1_4;una frase (super inspiradora) [superinspiradora];ort.;
AMN1;AMN1_4;(quitas) [cortas] el contacto;sust.;
AMN1;AMN1_4;qué alivio que (estos) [esos] desgraciados se hayan marchado;det.;
AMN1;AMN1_4;una nueva plataforma (donde) [a través de la cual] sacar la plata;sint.;
AMN1;AMN1_4;sacar la plata (de) [a] sus fieles discípulos;reg.;
AMN1;AMN1_4;se convierten en versiones aún más retorcidas [de sus preceptores];esp.;
AMN1;AMN1_4;por Instagram se ven un montón de páginas (o por lo menos yo (los) [las] veo);gen.;
AMN1;AMN1_4;donde un fulano (yo sé qué) [no sé quién] te explica;sust.;
AMN1;AMN1_4;no hace falta ser (una) [un] atleta;gen.;
AMN1;AMN1_4;consejos (deportistas) [deportivos];sust.;
AMN1;AMN1_4;escuelas de (Yoga) [yoga];ort.;
AMN1;AMN1_4;seguir a profetas (falsas) [falsos];gen.;
AMN1;AMN1_4;con una [sola] cosa;esp.;
AMN1;AMN1_4;no te pases (el) [de] listo;reg.;
AMN1;AMN1_4;observa a (unos) [algunos] carnívoros de carne y hueso;det.;
AMN1;AMN1_4;observa [a] algunos carnívoros de carne y hueso;reg.;
API1;API1_1;entre los años 2016 (hasta) [y] 2021;sust.;D.N.M
API1;API1_1;los tres países con mayor número de prisioneros (cuentan) [suman] aproximadamente 4,5 millones;sust.;D.N.M
