Group,Title,docs_to_search,error,error_item,error_context,solution_item,solution_context
AFJ1,AFJ1_1,"['AFJ1_2', 'AFJ1_3', 'AFJ1_4']",si reciben ayuda personalizada (mientras) [durante] su detención,mientras,"AFJ1_3 - mientras
>> Mientras que algunos países
>> día para sobrevivir mientras que otros tienen

AFJ1_4 - mientras
>> Tres Dragons , mientras que el tercero

",durante,"AFJ1_2 - durante
>> de la playa durante unos meses y
>> bocadillos para comer durante el día .

"
AFJ1,AFJ1_1,"['AFJ1_2', 'AFJ1_3', 'AFJ1_4']",con (eso) [esto] quiero decir que,eso,"AFJ1_4 - eso
>> estanque , pero esos estaban disfrutando de

",esto,"AFJ1_2 - esto
>> primera vez en esta semana que me
>> me rodea en esta playa fuera más
>> Este sonido siempre me
>> Y aunque este olor no guste

AFJ1_3 - esto
>> Esta parte de la
>> deberíamos vivir en este inequilibrio de forzas

"
AFJ1,AFJ1_1,"['AFJ1_2', 'AFJ1_3', 'AFJ1_4']",se puede ayudar a aquellos que quieren (mejorarse) [mejorar],mejorarse,,mejorar,
AFJ1,AFJ1_1,"['AFJ1_2', 'AFJ1_3', 'AFJ1_4']",un solo intento de (ruptura) [fuga] en 30 años,ruptura,,fuga,
AFJ1,AFJ1_1,"['AFJ1_2', 'AFJ1_3', 'AFJ1_4']",pueden moverse (libre) [libremente] en la isla,libre,"AFJ1_2 - libre
>> el ancho espacio libre que ofrece la

",libremente,
AFJ1,AFJ1_1,"['AFJ1_2', 'AFJ1_3', 'AFJ1_4']",es (una frescura) [un dilema] bastante (complicada) [complicado],"una frescura, complicada",,"un dilema, complicado",
AFJ1,AFJ1_1,"['AFJ1_2', 'AFJ1_3', 'AFJ1_4']",que hemos conocido (en) la semana pasada,en,"AFJ1_2 - en
>> No tardo mucho en llegar .
>> especial sentar se en la arena .
>> de mí promete en secreto que los
>> la primera vez en esta semana que
>> que me rodea en esta playa fuera
>> iluminoso aquí que en el lugar que
>> cuando quería jugar en la arena hasta
>> de aquella marca en particular .
>> el agua salada en mi lengua .
>> que sea infeliz en el otro país
>> que no importa en que estado de

AFJ1_3 - en
>> No hay duda en que tenemos un
>> En mi opinión la
>> algunos países viven en riqueza y aprovechan
>> beneficio de nacer en un país fuerte
>> contra la pobreza en que viven ,
>> , no solo en la economia ,
>> que deberíamos vivir en este inequilibrio de

AFJ1_4 - en
>> , que vive en la parte noreste
>> un otro compañero en busca de refuerzos
>> de ellos corrieron en dirección a el
>> los estudiantes , en un estado influenciado
>> que estudian aquí en Barcelona "" .
>> que un incidente en 2019 se desarrolló

",,
AFJ1,AFJ1_1,"['AFJ1_2', 'AFJ1_3', 'AFJ1_4']",hay prisiones (tal) como Rikers Island,tal,"AFJ1_2 - tal
>> No hay tal insatisfacción básica que
>> está bien , tal y como está

",,
AFJ1,AFJ1_1,"['AFJ1_2', 'AFJ1_3', 'AFJ1_4']",vivir en (la) sociedad,la,"AFJ1_2 - la
>> El sabor a sal
>> Mi yo de la infancia estaría encantada
>> El cielo azul arriba
>> No es la primera vez en
>> Siento como si la gente que me
>> que abruma a los habitantes y hace
>> Se están rompiendo las olas .
>> Como las olas azules regresan
>> El cielo azul y
>> aquí que en el lugar que conozco
>> Aunque el sol no sea
>> El aroma que esparce
>> Me recuerda a los calurosos días de
>> guste a todo el mundo , me
>> para comer durante el día .
>> si pudiera saborear el agua salada en
>> sea infeliz en el otro país ,
>> Merece la pena no aplazar
>> se trata de las impresionantes montañas de
>> también quiero a los míos incondicionalmente ,
>> Solo yo y la playa brillante .

AFJ1_3 - la
>> Aunque conocemos a los beneficios que trae
>> En mi opinión la globalización tiene dos
>> y aprovechan de la rápida expansión en
>> Esta parte de la sociedad tiene menos
>> Especialmente los países como África
>> Ellos sufren por las crisis financieras que
>> Claro entiendo que la vida que muchos
>> es humano aprovechar las oportunidades de la
>> aunque no vemos los problemas de la
>> La globalización ofrece muchas
>> Deberíamos aprovechar de las oportunidades de manera

AFJ1_4 - la
>> un pato de el parque de la
>> un pato de el parque municipal de
>> Aunque el jardín verde cerró
>> que vive en la parte noreste ,
>> Saltaron a el agua como si
>> Se oía a los patos que se
>> de Erasmus de la universidad cercana ,
>> , pidió a los jóvenes que se
>> Los chicos no huyeron
>> , que dirige el servicio nocturno de
>> Los guardias de seguridad
>> Después de que los estudiantes , en
>> "" No es la primera vez que
>> desarrolló similar a el de el sábado
>> Algunos extremistas de el bienestar animal comentaron
>> Según la información actual ,
>> Además los estudiantes recibieron una

",,
AFJ1,AFJ1_1,"['AFJ1_2', 'AFJ1_3', 'AFJ1_4']",un instrumento de ayuda para los presos (en forma) [a fin] de enseñarles a vivir en sociedad,en forma,,a fin,
