Group,Title,docs_to_search,error,error_item,error_context,solution_item,solution_context
API1,API1_1,"['API1_2', 'API1_3', 'API1_4']",deberíamos respetar el derecho fundamental de cada persona para también (ofrecerles) [ofrecerle],ofrecerles,,ofrecerle,
API1,API1_1,"['API1_2', 'API1_3', 'API1_4']",puede ser que [esta situación] también tenga que ver con la pujanza,,,esta situación,
API1,API1_1,"['API1_2', 'API1_3', 'API1_4']",si nos imagináramos (que no hubiera) [un mundo sin] cárceles,que no hubiera,,un mundo sin,
API1,API1_1,"['API1_2', 'API1_3', 'API1_4']","ofrecen muchas actividades, trabajos y (el) servicio médico",el,"API1_2 - el
>> La selva tropical :
>> ¡A salvar el Amazonas !
>> La superficie de la
>> Aunque el Amazonas es una
>> Colombia , a el pueblo Nukak ,
>> La impresionante vista de
>> Colombia , en el Amazonas .
>> La selva amazónica posee
>> y miembro de el pueblo Nukak nos
>> Para la edad que tiene
>> Yo considero el Amazonas como mi
>> me despierto con los ruidos que aparecen
>> monos locos o el sonido de los
>> El otro día ,
>> se puede poner el reloj .
>> El chico holandés me
>> a causa de la alarma .
>> sino que prefiero los animales .
>> La selva tropical es
>> áreas especiales de la gran selva para
>> con ayuda de las plantas mágicas .
>> Lamentablemente el pueblo Nukak se
>> A el primer contacto con
>> El pueblo está antes
>> La jefa de la
>> no podemos reconocer la maravillosa zona .
>> hablando solamente de la superficie sino incluso
>> fue causado por los grandes .
>> Son las personas , las
>> nuestra área , el número de miembros
>> a trabajar en las plantaciones de caucho
>> además nos quitan la bonita superficie de
>> Los grandes abusan nuestro
>> ahora para que la población mundial pueda
>> queremos ofender a las poderosas personas ,
>> nos están robando las plantaciones , ósea
>> puedan crecer con las tradiciones de Nukak
>> nuestra base de la vida y capturar
>> qué nos falta el apoyo de el
>> se importara por la reserva natural ?
>> Entendemos que la economía tiene mucha
>> pueblo que defiende la tierra la selva
>> necesitamos que respeten la importancia de el
>> verdaderos testigos de la población Nukak .

API1_3 - el
>> El viernes pasado un
>> robados sino también el abono clave para
>> fue investigado por la gran naturalista Gemma
>> hasta hoy , la plantación de la
>> Los ladrones habían estudiado
>> A el ver que los
>> , uno de los trabajadores ya había
>> atar a todos los trabajadores y los
>> les había caído el plan y apostaron
>> De los 20 trabajadores que
>> para afuera de la habitación para que
>> A el explicar le lo
>> cuando salieran de la cárcel , raptarían
>> El trabajador hizo la
>> que ver con la seguridad dentro de
>> Finalmente , los ladrones escaparon con
>> de aguacates y el abono clave para

API1_4 - el
>> : desde que el deporte gobierna las
>> El nuevo estereotipo de
>> Los hombres deben ser
>> esta vida , la que vive esa
>> , dietas , el aspecto físico y
>> proteína para ser la próxima Pamela Reif
>> Los estilos de vida
>> seguir para disfrutar la juventud :
>> como lo llaman los nutricionistas , ¡
>> Mirar el peso para bajar
>> una cita en el nutricionista .
>> Ni el espejo no refleja
>> Si entras en el H&M , ya
>> hacen ver todos los poros y granos
>> Ni la báscula define bien
>> El deporte tiene demasiada
>> de verdad , el deporte solo te
>> de ir a el gimnasio y hacer
>> El estilo de vida
>> para vacilar a los que comen carne
>> Es por el "" medioambiente ""
>> te digo , la naturaleza se irá
>> qué te importa el medioambiente en el
>> qué suele tomar la gente ?
>> eres con todo el sudor en la
>> El sudor en el
>> ¿ 80€ a el mes para apuntar
>> te alimentas todo el mes .

",,
API1,API1_1,"['API1_2', 'API1_3', 'API1_4']",entre los años 2016 (hasta) [y] 2021,hasta,"API1_3 - hasta
>> Desde ese descubrimiento hasta hoy , la

",y,"API1_2 - y
>> un niño indígena y la interesante opinión
>> de 14 años y miembro de el
>> cambiar la vida y unir se con
>> el primer contacto y cómo intentan seguir
>> número de miembros y el sentimiento de
>> , las compañías y políticos de mayor
>> Y nosotros solo podemos
>> Y además nos quitan
>> nuestro derecho humano y estamos sufriendo bajo
>> tradiciones de Nukak y en la impresionante
>> de la vida y capturar nos como
>> Y , ¿ Por

API1_3 - y
>> clave para plantar y reproducir los .
>> a entrar , y habían estudiado el
>> Entraron y tuvieron mala suerte
>> botón de alarma y no podían escapar
>> todos los trabajadores y los metieren a
>> caído el plan y apostaron por una
>> Cogieron a este y lo llevaron para
>> que lo amenazaron y le dijeron que
>> hizo la llamada y le confesó a
>> todas las imágenes y videos de las
>> millones de aguacates y el abono clave

API1_4 - y
>> en ser delgada y con curvas .
>> deben ser fuertes y definidos .
>> el aspecto físico y el deporte importa
>> época estaban fumando y tomando alcohol .
>> de su juventud y que no confíen
>> hamburguesa bien grande y una coca cola
>> todos los poros y granos .
>> a el gimnasio y hacer por 2
>> hacer un pastel y no para poner
>> en 80 hamburguesas y te alimentas todo

"
API1,API1_1,"['API1_2', 'API1_3', 'API1_4']","los tres países con mayor número de prisioneros (cuentan) [suman] aproximadamente 4,5 millones",cuentan,,suman,
API1,API1_1,"['API1_2', 'API1_3', 'API1_4']",estos delincuentes estarían (libre) [libres],libre,"API1_4 - libre
>> malgastar tu tiempo libre .

",libres,"API1_4 - libres
>> malgastar tu tiempo libre .

"
API1,API1_1,"['API1_2', 'API1_3', 'API1_4']",así (nos resulta) [se nos plantea] la pregunta,nos resulta,,se nos plantea,
API1,API1_1,"['API1_2', 'API1_3', 'API1_4']",la pregunta [de] si existirían otras formas de penalización,,,de,"API1_2 - de
>> por un tamaño de 42 campos de
>> La superficie de la selva tropical
>> Amazonas es una de las razones por
>> escuchar la opinión de los verdaderos habitantes
>> La impresionante vista de un niño indígena
>> posee enorme cantidad de especies .
>> , un chico de 14 años y
>> con su percepción de el Amazonas .
>> o el sonido de los reptiles ,
>> visitar un equipo de prensa para informar
>> madruga a causa de la alarma .
>> una gran variedad de plantas medicinales .
>> unas áreas especiales de la gran selva
>> De esta manera ,
>> La jefa de la tribu nos
>> estoy hablando solamente de la superficie sino
>> compañías y políticos de mayor poder .
>> que unos plantadores de caucho entraron en
>> en las plantaciones de caucho .
>> la bonita superficie de la nuestra plantación
>> bajo el maltrato de el respeto hacia
>> A consecuencia de ello aprovechamos ahora
>> , los alimentos de los que dependemos
>> con las tradiciones de Nukak y en
>> destruir nuestra base de la vida y
>> falta el apoyo de el gobierno ?
>> respeten la importancia de el Amazonas no
>> dos verdaderos testigos de la población Nukak

API1_3 - de
>> Tres millones de aguacates robados por
>> pasado un grupo de jóvenes enmascarados entró
>> No solamente millones de aguacates fueron robados
>> , la plantación de la fruta ha
>> estudiado el plan de cómo iban a
>> se dieron cuenta de lo que estaba
>> Pero , uno de los trabajadores ya
>> apostaron por una de sus últimas opciones
>> De los 20 trabajadores
>> llevaron para afuera de la habitación para
>> cruzaban un montón de ideas por la
>> , cuando salieran de la cárcel ,
>> la seguridad dentro de la empresa le
>> llevaron tres millones de aguacates y el

API1_4 - de
>> es este estilo de vida ?
>> El nuevo estereotipo de las mujeres se
>> Jóvenes de 17 años en
>> tomando un batido de proteína para ser
>> Los estilos de vida no se
>> ¡ Qué disfruten de su juventud y
>> presentamos un decálogo de seguir para disfrutar
>> o que dejes de comer fastfood ,
>> te darás cuenta de que mentirosos son
>> , a pesar de tener mucha grasa
>> Pero , de verdad , el
>> En vez de ir a el
>> El estilo de vida vegano o
>> , estos estilos de vida exclusivos son
>> en el ámbito de comer carne ?
>> Batidos de proteína son para
>> , en vez de poner se fuerte
>> estás muy seguro de que no sudes
>> para este estilo de vida .

"
API1,API1_1,"['API1_2', 'API1_3', 'API1_4']",si la cárcel tiene suficiente (eficaz) [eficacia],eficaz,,eficacia,
