Group,Title,docs_to_search,error,error_item,error_context,solution_item,solution_context
ASA1,ASA1_1,"['ASA1_2', 'ASA1_3', 'ASA1_4']",para la reinserción de los (antiguos delincuentes) [exconvictos],antiguos delincuentes,,exconvictos,
ASA1,ASA1_1,"['ASA1_2', 'ASA1_3', 'ASA1_4']",tiene el potencial de convertirse [en] un lugar apto para conseguir la reinserción,,,en,"ASA1_2 - en
>> un pequeño reino en el que el
>> En los alrededores de
>> decidieron explorar la en el pasado nunca
>> supuestamente estaba escondido en él un tesoro
>> decidió poner se en camino y explorar
>> joven se adentró en el bosque ,
>> Entonces , entró en pánico y se
>> En el fondo había
>> vegetales y frutas en abundancia y ,
>> sorprendente fue que en su centro estaba
>> sido tan feliz en su vida porque
>> se había convertido en un regalo para

ASA1_3 - en
>> planeta todavía vive en pobreza .
>> Por ejemplo , en Africa la globalización
>> que se enfocan en analizar las consecuencias
>> políticos solo piensan en cómo mejorar la
>> En cambio , sería

ASA1_4 - en
>> detective estaba viajando en tren de Londres
>> de el vagón en el que estaba
>> presenciado , pero en vez de lanzar
>> el mínimo interés en buscar el cuerpo
>> precisión el sitio en el que el
>> de la difunta en un cobertizo que

"
ASA1,ASA1_1,"['ASA1_2', 'ASA1_3', 'ASA1_4']",solo se enfoca en (castigar) [castigarlos] y humillarlos,castigar,,castigarlos,
ASA1,ASA1_1,"['ASA1_2', 'ASA1_3', 'ASA1_4']",como menciona un (antiguo preso) [expresidiario] llamado Andrés,antiguo preso,,expresidiario,
ASA1,ASA1_1,"['ASA1_2', 'ASA1_3', 'ASA1_4']",Noruega no (sólo) [solo] es el país en el que se encuentran las cárceles más humanas del mundo,sólo,,solo,"ASA1_2 - solo
>> había ni una sola alma que quería

ASA1_3 - solo
>> argumenta que no solo se debe clasificar
>> de los políticos solo piensan en cómo

"
ASA1,ASA1_1,"['ASA1_2', 'ASA1_3', 'ASA1_4']",castigo (a) [por] todas partes,a,"ASA1_2 - a
>> riqueza que iba a esperar les .
>> , inmediatamente empezó a sentir se incómoda
>> vez que llegó a un punto más
>> y se puso a llorar , ya
>> melodioso , igual a una canción de
>> cómo se inició a iluminar su entorno
>> A el alcanzar la
>> su vida porque a partir de ahora
>> Más aún , a el volver a
>> A el final ,

ASA1_3 - a
>> otro lado da a conocer su propia
>> trabajo que afecta a los sistemas económicos
>> la globalización contribuye a que el comercio
>> A continuación , menciona
>> A el final ,

ASA1_4 - a
>> tren de Londres a Reading cuando de
>> A el lado de
>> Después de llegar a su destino ,
>> Entonces , a el entender que
>> dueños estaban buscando a una nueva sirvienta
>> puesto y ya a el día siguiente
>> cobertizo que estaba a el lado de
>> no se alcanzó a identificar a la
>> intentó conocer mejor a sus jefes para
>> sobre quién iba a heredar la parte
>> A continuación , cuando
>> A el final ,

",por,"ASA1_2 - por
>> bosque oscuro "" por los habitantes de
>> Por esta razón ,
>> explorar la selva por sí misma .
>> recursos escasos , por lo cual habría
>> arriesgar su vida por sus familiares y
>> hasta que , por más que se
>> se había dado por vencida cuando de

ASA1_3 - por
>> Por un lado ,
>> Por ejemplo , en

ASA1_4 - por
>> Por eso , la

"
ASA1,ASA1_1,"['ASA1_2', 'ASA1_3', 'ASA1_4']",con el objetivo de (castigar) [castigarlos] y humillarlos,castigar,,castigarlos,
ASA1,ASA1_1,"['ASA1_2', 'ASA1_3', 'ASA1_4']",incluso su derecho (de) [a] voto,de,"ASA1_2 - de
>> cielo estaba lleno de nubes tan blancas
>> pacífico , rodeado de montañas y colinas
>> En los alrededores de ese territorio se
>> por los habitantes de el reino ,
>> era el hogar de criaturas peligrosas y
>> él un tesoro de gran valor ,
>> Venía de una familia de
>> De ahí que estuviera
>> , esa parte de el paisaje estaba
>> punto más profundo de aquel labirinto de
>> siquiera era capaz de entrever la seda
>> por vencida cuando de repente escuchó un
>> a una canción de cuna .
>> un hada delante de ella que la
>> el cuerpo luminoso de el ser místico
>> lo que acabó de hallar : Ahí
>> una cueva llena de moneda de oro
>> porque a partir de ahora , ella
>> aquel momento dejaron de considerar a el
>> , el tesoro de Raquel se había

ASA1_3 - de
>> expone dos puntos de vista sobre la
>> los efectos pasados de ésta y los
>> como un proceso de una creciente división
>> los países benefician de él , ya
>> estados perdieron parte de su poder financiero
>> analizar las consecuencias de este fenómeno y
>> subraya la desaparición de una identidad estatal
>> propone el establecimiento de una enseñanza pública
>> la expansión global de los mercados como
>> Yo estoy de acuerdo con ella
>> mitigar la destrucción de la globalización en

ASA1_4 - de
>> Una señora de edad observó un
>> , una mujer de 76 años y
>> A el lado de el vagón en
>> Después de llegar a su
>> simplemente se trataba de una vieja confundida
>> buscar el cuerpo de la víctima ,
>> debería haber deshecho de él .
>> descubrió que cerca de ahí estaba situada
>> localizar el cuerpo de la difunta en
>> que una persona de su edad todavía
>> averiguar si uno de ellos había tenido
>> , se enteró de que había una
>> a el cabo de unos días murieron
>> el autor debía de haber dispuesto de
>> su esposa dentro de el tren porque

",a,"ASA1_2 - a
>> riqueza que iba a esperar les .
>> , inmediatamente empezó a sentir se incómoda
>> vez que llegó a un punto más
>> y se puso a llorar , ya
>> melodioso , igual a una canción de
>> cómo se inició a iluminar su entorno
>> A el alcanzar la
>> su vida porque a partir de ahora
>> Más aún , a el volver a
>> A el final ,

ASA1_3 - a
>> otro lado da a conocer su propia
>> trabajo que afecta a los sistemas económicos
>> la globalización contribuye a que el comercio
>> A continuación , menciona
>> A el final ,

ASA1_4 - a
>> tren de Londres a Reading cuando de
>> A el lado de
>> Después de llegar a su destino ,
>> Entonces , a el entender que
>> dueños estaban buscando a una nueva sirvienta
>> puesto y ya a el día siguiente
>> cobertizo que estaba a el lado de
>> no se alcanzó a identificar a la
>> intentó conocer mejor a sus jefes para
>> sobre quién iba a heredar la parte
>> A continuación , cuando
>> A el final ,

"
ASA1,ASA1_1,"['ASA1_2', 'ASA1_3', 'ASA1_4']",si el trato (de) [a] los presos,de,"ASA1_2 - de
>> cielo estaba lleno de nubes tan blancas
>> pacífico , rodeado de montañas y colinas
>> En los alrededores de ese territorio se
>> por los habitantes de el reino ,
>> era el hogar de criaturas peligrosas y
>> él un tesoro de gran valor ,
>> Venía de una familia de
>> De ahí que estuviera
>> , esa parte de el paisaje estaba
>> punto más profundo de aquel labirinto de
>> siquiera era capaz de entrever la seda
>> por vencida cuando de repente escuchó un
>> a una canción de cuna .
>> un hada delante de ella que la
>> el cuerpo luminoso de el ser místico
>> lo que acabó de hallar : Ahí
>> una cueva llena de moneda de oro
>> porque a partir de ahora , ella
>> aquel momento dejaron de considerar a el
>> , el tesoro de Raquel se había

ASA1_3 - de
>> expone dos puntos de vista sobre la
>> los efectos pasados de ésta y los
>> como un proceso de una creciente división
>> los países benefician de él , ya
>> estados perdieron parte de su poder financiero
>> analizar las consecuencias de este fenómeno y
>> subraya la desaparición de una identidad estatal
>> propone el establecimiento de una enseñanza pública
>> la expansión global de los mercados como
>> Yo estoy de acuerdo con ella
>> mitigar la destrucción de la globalización en

ASA1_4 - de
>> Una señora de edad observó un
>> , una mujer de 76 años y
>> A el lado de el vagón en
>> Después de llegar a su
>> simplemente se trataba de una vieja confundida
>> buscar el cuerpo de la víctima ,
>> debería haber deshecho de él .
>> descubrió que cerca de ahí estaba situada
>> localizar el cuerpo de la difunta en
>> que una persona de su edad todavía
>> averiguar si uno de ellos había tenido
>> , se enteró de que había una
>> a el cabo de unos días murieron
>> el autor debía de haber dispuesto de
>> su esposa dentro de el tren porque

",a,"ASA1_2 - a
>> riqueza que iba a esperar les .
>> , inmediatamente empezó a sentir se incómoda
>> vez que llegó a un punto más
>> y se puso a llorar , ya
>> melodioso , igual a una canción de
>> cómo se inició a iluminar su entorno
>> A el alcanzar la
>> su vida porque a partir de ahora
>> Más aún , a el volver a
>> A el final ,

ASA1_3 - a
>> otro lado da a conocer su propia
>> trabajo que afecta a los sistemas económicos
>> la globalización contribuye a que el comercio
>> A continuación , menciona
>> A el final ,

ASA1_4 - a
>> tren de Londres a Reading cuando de
>> A el lado de
>> Después de llegar a su destino ,
>> Entonces , a el entender que
>> dueños estaban buscando a una nueva sirvienta
>> puesto y ya a el día siguiente
>> cobertizo que estaba a el lado de
>> no se alcanzó a identificar a la
>> intentó conocer mejor a sus jefes para
>> sobre quién iba a heredar la parte
>> A continuación , cuando
>> A el final ,

"
ASA1,ASA1_1,"['ASA1_2', 'ASA1_3', 'ASA1_4']",(sólo) [solo] se enfoca en castigarlos y humillarlos,sólo,,solo,"ASA1_2 - solo
>> había ni una sola alma que quería

ASA1_3 - solo
>> argumenta que no solo se debe clasificar
>> de los políticos solo piensan en cómo

"
ASA1,ASA1_1,"['ASA1_2', 'ASA1_3', 'ASA1_4']",se [las] puede (convertirlas) [convertir],convertirlas,,"las, convertir","ASA1_2 - las
>> El bosque oscuro
>> pequeño reino en el que el sol
>> hasta donde alcanzaba la vista .
>> En los alrededores de ese
>> misteriosa denominada "" El bosque oscuro ""
>> esta razón , la gente solía evitar
>> embargo , todo el pueblo sabía que
>> camino y explorar la selva por sí
>> había aprendido que la única manera de
>> sus familiares y la riqueza que iba
>> Cuando la joven se adentró
>> Desafortunadamente , la situación se empeoró
>> capaz de entrever la seda que la
>> de ella que la estaba observando con
>> asustó , pero el espíritu intentó calmar
>> - Estás buscando la fortuna que se
>> Consecuentemente , la nena siguió el
>> En el fondo había emergido
>> A el alcanzar la ,
>> La chica nunca había
>> aún , a el volver a su
>> A el final , el

ASA1_3 - las
>> El discurso expone dos
>> un lado , la locutora resume los
>> Primero explica que los expertos definen ese
>> que no todos los países benefician de
>> , en Africa la globalización contribuye a
>> enfocan en analizar las consecuencias de este
>> , se subraya la desaparición de una
>> , se propone el establecimiento de una
>> A el final , la
>> porque actualmente , la mayoría de los
>> cómo podemos mitigar la destrucción de la

ASA1_4 - las
>> y logró solucionar el caso antes de
>> El viernes pasado ,
>> A el lado de el
>> su destino , la dama inmediatamente informó
>> admitió uno de los comisarios más tarde
>> Entonces , a el entender que las
>> tuve que encontrar el lugar exacto donde
>> mapa y tomando el mismo tren que
>> entre ellos y el asesinato , enseguida
>> después logró localizar el cuerpo de la
>> a identificar a la muerta .
>> Por eso , la anciana intentó conocer
>> una pelea entre los miembros de la
>> , cuando a el cabo de unos
>> estaba claro que el autor debía de
>> A el final , se

ASA1_2 - convertir
>> Raquel se había convertido en un regalo

ASA1_4 - convertir
>> de repente se convirtió en testigo de

"
ASA1,ASA1_1,"['ASA1_2', 'ASA1_3', 'ASA1_4']",ahí se les puede enseñar lo que les (falte) [haga falta] para poder vivir una vida normal,falte,,haga falta,
