Group,Title,docs_to_search,error,error_item,error_context,solution_item,solution_context
AZC1,AZC1_1,"['AZC1_2', 'AZC1_3', 'AZC1_4']","la sociedad actual rara vez habla de los expresidiarios [y, cuando lo hace] suele ser de forma",,,,
AZC1,AZC1_1,"['AZC1_2', 'AZC1_3', 'AZC1_4']","(resumido) [en resumen], la mayoría de los presos",resumido,,en resumen,
AZC1,AZC1_1,"['AZC1_2', 'AZC1_3', 'AZC1_4']",ni para los (antiguos presos) [exconvictos],antiguos presos,,exconvictos,
AZC1,AZC1_1,"['AZC1_2', 'AZC1_3', 'AZC1_4']",un buen ejemplo es el (ex - preso) [expreso] alemán que ahora,,,expreso,
AZC1,AZC1_1,"['AZC1_2', 'AZC1_3', 'AZC1_4']",un buen ejemplo es el (expreso) [exconvicto] alemán que ahora,expreso,,exconvicto,
AZC1,AZC1_1,"['AZC1_2', 'AZC1_3', 'AZC1_4']","hacer algo [al] respecto, con la esperanza de ser aceptados en la sociedad",,,al,
AZC1,AZC1_1,"['AZC1_2', 'AZC1_3', 'AZC1_4']",hay algunas formas de (hacer) [lograr] una buena vida después de la cárcel,hacer,"AZC1_2 - hacer
>> te quedan por hacer .
>> ¿ Qué haces para relajar te
>> cómo aprendo a hacer lo ?
>> lo que te hace feliz .
>> Lo haces por ti .
>> un descanso y hacer acopio de energía

AZC1_3 - hacer
>> el mundo lo hace es correcto y

",lograr,
AZC1,AZC1_1,"['AZC1_2', 'AZC1_3', 'AZC1_4']",ni para la sociedad (fuera de las rejas) [libre],fuera de las rejas,,libre,
AZC1,AZC1_1,"['AZC1_2', 'AZC1_3', 'AZC1_4']",los (ex presos) [expresidiarios],ex presos,,expresidiarios,
AZC1,AZC1_1,"['AZC1_2', 'AZC1_3', 'AZC1_4']",¿(es una mala persona) [son malas personas] o la gente puede mejorar?,es una mala persona,,son malas personas,
AZC1,AZC1_1,"['AZC1_2', 'AZC1_3', 'AZC1_4']",una empresa que sensibiliza a los jóvenes (llamativos) [conflictivos] sobre las consecuencias,llamativos,,conflictivos,
AZC1,AZC1_1,"['AZC1_2', 'AZC1_3', 'AZC1_4']",no solo los (antiguos presos) [excarcelados] tienen que trabajar,antiguos presos,,excarcelados,
AZC1,AZC1_1,"['AZC1_2', 'AZC1_3', 'AZC1_4']",trabajar sobre (si) [sí] mismos,si,"AZC1_4 - si
>> Si quieres ser uno

",sí,"AZC1_2 - sí
>> ¿ sí ?

"
AZC1,AZC1_1,"['AZC1_2', 'AZC1_3', 'AZC1_4']",también la sociedad (fuera de la cárcel) [libre],fuera de la cárcel,,libre,
