Group,Title,docs_to_search,error,error_item,error_context,solution_item,solution_context
EKE1,EKE1_1,"['EKE1_2', 'EKE1_3', 'EKE1_4']",en toda la tierra (que) ocupada por humanos,que,"EKE1_2 - que
>> Plantar una semilla que no crecerá
>> , amplificando lo que ahora se considera
>> temperaturas ha hecho que más escasas y
>> Precipitation Station predice que en los próximos
>> se , lo que deja sin esperanzas
>> ayuda , hay que considerar que grupos
>> millones de personas que necesitan atención nutricional
>> un presagio de que las catástrofes relacionadas
>> A medida de que aumenta la inseguridad

EKE1_3 - que
>> cuál conlleva efectos que resultan imposibles de
>> a las economías que pudieron participar en
>> económica dependen de que sean justos los
>> Esa dependencia , que se produce como
>> , es evidente que hay que encontrar

EKE1_4 - que
>> ficción , sino que se basa en
>> computadoras descubrió algo que alteró radicalmente su
>> Descubrieron que el mundo en
>> en una solución que liberara a la
>> desarrollar un programa que permitiría a las
>> muchas personas creyeron que se trataba de
>> acerca de lo que verdaderamente sucedió .
>> "" Deseamos que la población conozca
>> falsedad , mientras que otros han expresado
>> si se descubre que han actuado de
>> la factibilidad de que estemos viviendo en

",,
EKE1,EKE1_1,"['EKE1_2', 'EKE1_3', 'EKE1_4']",lo que les (permite) [impulsa a] volver a delinquir para sobrevivir,permite,"EKE1_3 - permite
>> algunos casos los permitió crecer .

EKE1_4 - permite
>> "" , les permitía percibir un universo
>> un programa que permitiría a las personas

",impulsa a,
EKE1,EKE1_1,"['EKE1_2', 'EKE1_3', 'EKE1_4']",y se les (otorgan) [inscribe en] registros permanentes,otorgan,,inscribe en,
EKE1,EKE1_1,"['EKE1_2', 'EKE1_3', 'EKE1_4']",registros permanentes (de su conducta),de su conducta,,,
EKE1,EKE1_1,"['EKE1_2', 'EKE1_3', 'EKE1_4']",han reprimido a los grupos ya marginados en sus (pertinentes) [respectivas] sociedades,pertinentes,,respectivas,
EKE1,EKE1_1,"['EKE1_2', 'EKE1_3', 'EKE1_4']",si se cuentan diferencias por factores (socio-geográficos) [sociogeográficos],,,sociogeográficos,
EKE1,EKE1_1,"['EKE1_2', 'EKE1_3', 'EKE1_4']",para que (sólo) [solo] se relacionen con otros delincuentes,sólo,,solo,
EKE1,EKE1_1,"['EKE1_2', 'EKE1_3', 'EKE1_4']",para luego liberarlos (a) [en] un mundo sin oportunidades,a,"EKE1_2 - a
>> polvo en torno a una tierra sin
>> natural se suma a la inminente crisis
>> deja sin esperanzas a los niños y
>> Esto incluye a los coches y
>> muchos intentan escapar a campos de refugiados
>> A pesar de el
>> A pesar de las
>> A medida de que

EKE1_3 - a
>> de predecir debido a la hipercomplicación de
>> para adaptar nos a el nuevo ambiente
>> flujos de capital a economías crecientes ,
>> Además enriquezó a las economías que
>> Pero aún beneficiando a unas economías ,

EKE1_4 - a
>> De acuerdo a fuentes cercanas a
>> un universo virtual a través de sus
>> Anderson , comenzaron a trabajar en una
>> programa que permitiría a las personas escapar
>> adaptar la historia a una producción cinematográfica
>> realizaron algunos ajustes a la historia para
>> filme fue ocultada a el público ,

",en,"EKE1_2 - en
>> calientes levantan polvo en torno a una
>> Station predice que en los próximos meses
>> campos de refugiados en Kenia y Uganda
>> barreras para entrar en el país ,

EKE1_3 - en
>> de la globalización en términos económicos fue
>> que pudieron participar en acuerdos de liberalización
>> personas siguen viviendo en la pobreza absoluta
>> naturales o financieros en partes de el
>> En vista de los

EKE1_4 - en
>> mundo se encuentra en un estado de
>> que se basa en sucesos reales que
>> El relato comienza en la década de
>> que el mundo en el que vivían
>> comenzaron a trabajar en una solución que
>> simulación y despertar en el mundo real
>> producción cinematográfica basada en hechos reales .
>> quienes estuvieron involucrados en el proyecto .
>> película se convirtió en un éxito de
>> los individuos involucrados en el proyecto han
>> el proyecto , en particular si se
>> que estemos viviendo en una simulación .

"
EKE1,EKE1_2,"['EKE1_3', 'EKE1_4']",sus últimos habitantes pasan hambre o hacen las maletas (en desesperación) [con desesperación],en desesperación,,con desesperación,
EKE1,EKE1_2,"['EKE1_3', 'EKE1_4']","este año marcará la quinta, (amplificando) [exacerbando] la que hasta ahora se considera",amplificando,,exacerbando,
