Group,Title,docs_to_search,error,error_item,error_context,solution_item,solution_context
ICE1,ICE1_1,"['ICE1_2', 'ICE1_3', 'ICE1_4']",claro que esto se hace (de manera parcial) [parcialmente] con castigos,de manera parcial,,parcialmente,
ICE1,ICE1_1,"['ICE1_2', 'ICE1_3', 'ICE1_4']",como quitar la libertad (de) [a] los presos,de,"ICE1_2 - de
>> restaurará la capa de ozono ?
>> la reunión anual de la Sociedad Meteorológica
>> La capa de ozono es una
>> Cuando la capa de ozono se daña
>> pequeñas como quemaduras de sol , hasta
>> Los peores daños de la capa de
>> 1987 el Protocolo de Montreal , lo
>> Algunas de las sustancias que
>> habitualmente en sistemas de refrigeración y aire
>> alcanzar su objetivo de eliminar progresivamente todas
>> Se trata de un proyecto en
>> Además de impedir que la
>> Muchas de las sustancias prohibidas
>> en el cuidado de el medio ambiente
>> demuestra el éxito de el Protocolo de
>> existe la necesidad de que seamos más

ICE1_3 - de
>> el otro lado de el mundo .
>> mejorado las vidas de las personas de
>> cambiado nuestra manera de vivir , se
>> Más de un cuarto de
>> el mismo nivel de crecimienta que ha
>> A pesar de el mercado global
>> ha creado puestos de trabajo - pero
>> esto tardó más de un siglo para
>> completamente la economia de el mundo ,

ICE1_4 - de
>> ¡ Ataques de Tiburones !
>> el pueblo costero de Amity Island .
>> comunidad depende principalmente de sus playas durante
>> diversión ha cesado de repente este año
>> en la forma de una joven bañadora
>> madrugada , después de asistir a una
>> a un ataque de tiburón .
>> el propio alcalde de el pueblo ,
>> Decenas de bañistas estaban presentes
>> negar la presencia de un tiburón en
>> había estado disfrutando de la playa con
>> La madre de el niño ha
>> pero el jefe de policía , Martin
>> Tengan la seguridad de que estamos haciendo
>> peligro la vida de los visitantes .

",a,"ICE1_2 - a
>> y dañen tanto a el planeta como
>> ha ayudado mucho a alcanzar su objetivo
>> que contribuyen fuertemente a el calentamiento global

ICE1_3 - a
>> Debido a que todavía existe
>> cosas solo benefician a las personas que
>> aún más adineradas a causa de la
>> A pesar de el
>> y en cuanto a la pobreza ,

ICE1_4 - a
>> este año debido a presuntos ataques de
>> después de asistir a una fiesta en
>> muerte se atribuyó a un accidente marítimo
>> nadie pudo salvar a la víctima .
>> ocasión , debido a múltiples testigos ,
>> de 3.000 dólares a quien pueda encontrar
>> Martin Brody garantizó a la población su
>> que no vuelva a ocurrir una tragedia
>> cerraron las playas a el público en

"
ICE1,ICE1_1,"['ICE1_2', 'ICE1_3', 'ICE1_4']",la rehabilitación y la integración no son (sólo) [solo] responsabilidad del sistema penitenciario,sólo,,solo,"ICE1_3 - solo
>> pero estas cosas solo benefician a las

"
ICE1,ICE1_1,"['ICE1_2', 'ICE1_3', 'ICE1_4']","un preso puede ser condenado [desde] por un delito menor, como la posesión de drogas, hasta por",,,desde,"ICE1_2 - desde
>> rayos ultravioletas , desde dilemas pequeñas como
>> proyecto en curso desde hace muchos años

ICE1_4 - desde
>> la decisión correcta desde el principio y

"
ICE1,ICE1_1,"['ICE1_2', 'ICE1_3', 'ICE1_4']",se puede decir que la cárcel (sólo) [solo] debe servir como castigo para quienes cometen delitos,sólo,,solo,"ICE1_3 - solo
>> pero estas cosas solo benefician a las

"
ICE1,ICE1_1,"['ICE1_2', 'ICE1_3', 'ICE1_4']",y para intentar evitar que vuelvan a cometer (sus) delitos,sus,"ICE1_2 - sus
>> mucho a alcanzar su objetivo de eliminar
>> afirman que con su prohibición se ha

ICE1_3 - sus
>> de temporada en su país , o

ICE1_4 - sus
>> depende principalmente de sus playas durante el
>> En principio , su muerte se atribuyó
>> un tiburón en sus playas , y
>> la playa con su madre cuando ocurrió
>> que mató a su hijo .
>> a la población su seguridad con la

",,
ICE1,ICE1_1,"['ICE1_2', 'ICE1_3', 'ICE1_4']","una cárcel debería disuadir a los delincuentes, además de rehabilitarlos, pero parece que no (hacen) [hace] ni lo uno ni lo otro",hacen,"ICE1_2 - hacen
>> en curso desde hace muchos años ,

ICE1_3 - hacen
>> fácil que nunca hacer negocios con personas
>> comprar un coche hecho en Alemania ;
>> ricas se han hecho aún más adineradas
>> un siglo para hacer se realidad ,

ICE1_4 - hacen
>> de que estamos haciendo todo lo posible
>> que se puede hacer es esperar que

",hace,"ICE1_2 - hace
>> en curso desde hace muchos años ,

ICE1_3 - hace
>> fácil que nunca hacer negocios con personas
>> comprar un coche hecho en Alemania ;
>> ricas se han hecho aún más adineradas
>> un siglo para hacer se realidad ,

ICE1_4 - hace
>> de que estamos haciendo todo lo posible
>> que se puede hacer es esperar que

"
ICE1,ICE1_1,"['ICE1_2', 'ICE1_3', 'ICE1_4']",artículos afirman que (sólo) [solo] el 20% de los presos reinciden,sólo,,solo,"ICE1_3 - solo
>> pero estas cosas solo benefician a las

"
ICE1,ICE1_1,"['ICE1_2', 'ICE1_3', 'ICE1_4']",sugiere que el sistema actual no funciona y [que] hay que abordar los problemas subyacentes,,,que,"ICE1_2 - que
>> calentamiento global , que está causando una
>> Todos sabemos que el ser humano
>> Americana se reveló que la capa de
>> atmósfera terrestre , que funciona como un
>> pueden aparecer agujeros que permiten que estes
>> Montreal , lo que es un acuerdo
>> de las sustancias que más agotan la
>> países , algo que le ha ayudado
>> hasta este año que se ha puesto
>> Además de impedir que la capa de
>> efecto invernadero , que contribuyen fuertemente a
>> Es importante que sigamos avanzando en
>> ozono , sabemos que es posible arreglar
>> la necesidad de que seamos más conscientes

ICE1_3 - que
>> las nuevas tecnologias que han aparecido en
>> Debido a que todavía existe mucha
>> Queda claro que poder intercambiar bienes
>> nivel de crecimienta que ha alcanzado la
>> puede ver claramente que la lucha contra
>> esa repetición muestra que algo debe cambiar
>> La globalización sí que puede tener efectos
>> pobreza , tenemos que hacer algo ahora
>> naciones no significa que no hay pobreza
>> Hay que tener un equilibrio

ICE1_4 - que
>> joven bañadora , que ha sido nombrada
>> pero ahora sabemos que era mentira ,
>> se ha descubierto que esta mentira fue
>> la playa , que podría haber se
>> un niño joven que había estado disfrutando
>> a el tiburón que mató a su
>> Es evidente que todo el pueblo
>> la seguridad de que estamos haciendo todo
>> y es probable que se impongan sanciones
>> , todo lo que se puede hacer

"
ICE1,ICE1_2,"['ICE1_3', 'ICE1_4']",hasta (otras) [otros] más graves como el cáncer de piel y las cataratas,otras,"ICE1_3 - otras
>> estén en el otro lado de el
>> y servicios con otros países es un

ICE1_4 - otras
>> se ha producido otra tragedia en el
>> peligrosa decisión provocó otra muerte en la
>> pueblo no vea otro desastre fatal ,

",otros,"ICE1_3 - otros
>> estén en el otro lado de el
>> y servicios con otros países es un

ICE1_4 - otros
>> se ha producido otra tragedia en el
>> peligrosa decisión provocó otra muerte en la
>> pueblo no vea otro desastre fatal ,

"
ICE1,ICE1_2,"['ICE1_3', 'ICE1_4']",como demuestra el éxito del Protocolo de Montreal en (reparar) [la reparación de] la capa de ozono,reparar,,la reparación de,
