Group,Title,docs_to_search,error,error_item,error_context,solution_item,solution_context
IDE1,IDE1_1,"['IDE1_2', 'IDE1_3', 'IDE1_4']",el 35% de los (antiguos presos) [exconvictos] acaban en la cárcel de nuevo,antiguos presos,,exconvictos,
IDE1,IDE1_1,"['IDE1_2', 'IDE1_3', 'IDE1_4']",es normal compadecerse (con) [de] ellos,con,"IDE1_2 - con
>> aflojara el ritmo con el que los
>> en erupción atenta con la organización social
>> cuales suele evadir con agilidad .

IDE1_3 - con
>> contra la pobreza con unos resultados asombrosos
>> no están relacionadas con la globalización ,

IDE1_4 - con
>> las redes sociales con el fin de
>> la chica temblando con la cara cubierta
>> una cama quirúrgica con un hacha hincada
>> Ellie estaba cazando con su padrastro ,
>> tapó la boca con la mano ,

",de,"IDE1_2 - de
>> la isla indonesia de Java , entraron
>> no hubo nada de qué preocupar se
>> a lo largo de el mundo ,
>> A los nativos de Java les inquieta
>> El estallido de el mismo representa
>> que la población de Java tanto venera
>> es una manifestación de la rabia De
>> asiática es hogar de el Estrecho de
>> El intercambio de bienes , servicios
>> mueven los hilos de la vida cotidiana
>> las demarcaciones artificiales de el territorio las
>> lugar a escaseces de productos impresindibles -
>> arrojaría impensables magnitudes de el dióxido de
>> A pesar de que el resultado
>> la terrible erupción de Tambora , es
>> región sísmica está de el todo activa

IDE1_3 - de
>> El fenómeno de la globalización se
>> nada nuevo ; de hecho , desde
>> ha suscitado niveles de inversión sin precedentes
>> El mecanismo de la globalización es
>> vez más potente de capital e ideas
>> dirigido monumentales flujos de dinero de el
>> , nuestro estilo de vida vibrante aprovecha
>> A pesar de que hay quien
>> mantenía una de las tasas arancelarias
>> Asimismo , una de las razones clave
>> , los entresijos de la globalización son
>> experimentado el fondo de las crisis financieras
>> aprovechar los beneficios de este fenómeno ,

IDE1_4 - de
>> este jueves 9 de marzo en una
>> Ya hace más de un mes desde
>> La noticia de la desaparición de
>> a un catedrático de la Universidad de
>> El cuerpo de el criminal fue
>> Según la declaración de la policía esta
>> en una conferencia de prensa , perseguía
>> estaba a punto de apretar el gatillo
>> debería haber gritado de socorro , pero
>> el fallecido responsable de el crimen .
>> todavía está pendiente de una investigación minuciosa
>> Hay una rueda de prensa prevista a

"
IDE1,IDE1_1,"['IDE1_2', 'IDE1_3', 'IDE1_4']",tenemos que ponernos en su piel (detrás de los barrotes reforzados) [tras las rejas],detrás de los barrotes reforzados,,tras las rejas,
IDE1,IDE1_1,"['IDE1_2', 'IDE1_3', 'IDE1_4']",acaban en la cárcel de nuevo (dentro de) [al cabo de] dos años,dentro de,,al cabo de,
IDE1,IDE1_1,"['IDE1_2', 'IDE1_3', 'IDE1_4']",no todo el mundo ha recibido el mismo apoyo estatal desde la infancia (y) [ni] ha podido aprovechar,y,"IDE1_2 - y
>> volcanes , Seremi y Marapi , que
>> cantidades de magma y ceniza .
>> Caprichoso , asombroso y pernicioso ; Tambora
>> bienes , servicios y hasta ideas es
>> naturaleza prevalece , y nosotros los seres
>> , la ceniza y el peligro en
>> como un aerosol y refleja la luz
>> enfriaría el planeta y se convertiría en
>> todo activa , y que , por

IDE1_3 - y
>> globalización es trascendental y dependiendo de la
>> aprovecha la riqueza y diversidad que las
>> Brasil , Argentina y Bolivia , habían

IDE1_4 - y
>> está muerto , y que hay varios
>> llevaba su francotirador y , según lo
>> agarró el arma y le tapó la
>> Estaba muy angustiada y se me contrajo
>> este pavoroso crimen y su desenlace inesperado

",ni,
IDE1,IDE1_1,"['IDE1_2', 'IDE1_3', 'IDE1_4']",para (que se reduzca) [reducir] la posibilidad de reincidencia y (dé) [dar] impulso a su aportación,"que se reduzca, dé","IDE1_2 - dé
>> podemos ralentizar , dado que sus consecuencias
>> en la zona daría lugar a escaseces

","reducir, dar","IDE1_2 - dar
>> podemos ralentizar , dado que sus consecuencias
>> en la zona daría lugar a escaseces

"
IDE1,IDE1_1,"['IDE1_2', 'IDE1_3', 'IDE1_4']",pero no podríamos por culpa (del expediente) [de los antecedentes penales],del expediente,,de los antecedentes penales,
IDE1,IDE1_1,"['IDE1_2', 'IDE1_3', 'IDE1_4']",si no realizamos cambios (al) [en el] sistema penitenciario,al,,en el,"IDE1_2 - en el
>> que se encuentran en la isla indonesia de
>> les inquieta pensar en los desoladores efectos que
>> la mercancía involucrada en el comercio internacional ,
>> y el peligro en la zona daría lugar

IDE1_3 - en el
>> capital se invierte en los sitios donde más
>> un entorno proteccionista en el que los EE
>> deberíamos concentrar nos en las demoledoras ventajas de

IDE1_4 - en el
>> una cabaña abandonada en las afueras de la
>> se difundió velozmente en la prensa , e
>> un hacha hincada en el centro de su
>> que se basa en el hecho de que
>> 19:00 horas , en la que se espera

"
IDE1,IDE1_1,"['IDE1_2', 'IDE1_3', 'IDE1_4']",¿qué es lo que querríamos [que ocurriese] después de cumplir una condena?,,,que ocurriese,
IDE1,IDE1_1,"['IDE1_2', 'IDE1_3', 'IDE1_4']",como componente integral que normalice la vida de los (antiguos presos) [exconvictos],antiguos presos,,exconvictos,
