Group,Title,docs_to_search,error,error_item,error_context,solution_item,solution_context
IDG1,IDG1_1,"['IDG1_2', 'IDG1_3', 'IDG1_4']",hay reportajes inquietantes (del) [sobre el] abuso de los derechos humanos,del,,sobre el,"IDG1_3 - sobre el
>> Cita un estudio sobre las crisis en América

"
IDG1,IDG1_1,"['IDG1_2', 'IDG1_3', 'IDG1_4']",las clases en la cárcel les mostraron por primera vez que tenían más (competencias) [habilidades],competencias,,habilidades,"IDG1_4 - habilidades
>> poderes y sus habilidades , los neoyorquinos

"
IDG1,IDG1_1,"['IDG1_2', 'IDG1_3', 'IDG1_4']","en España, la pena es la (perdida) [pérdida] de libertad en una cárcel",perdida,,pérdida,
IDG1,IDG1_1,"['IDG1_2', 'IDG1_3', 'IDG1_4']",denuncias de (maltratamiento) [maltrato] y fuerza excesiva hacia los prisioneros,maltratamiento,,maltrato,
IDG1,IDG1_1,"['IDG1_2', 'IDG1_3', 'IDG1_4']",no [en] la rehabilitación,,,en,"IDG1_2 - en
>> : la morsa en un gran recorrido
>> años , generalmente en el Árctico .
>> pesquero y turístico en Yorkshire .
>> 650 kilómetros , en tres semanas .
>> comenzó a aumentar en número .
>> sus nuevos amigos en Scarborough mientras que
>> la morsa estaba en Scarborough solamente para
>> de Blyth , en el norte de
>> el Reino Unido en los últimos años

IDG1_3 - en
>> asuntos más importantes en nuestra sociedad actual
>> En general , se
>> En primer lugar ,
>> de 102.000 personas en pobreza absoluta ,
>> sobre las crisis en América Latina ,
>> En modo de conclusión

IDG1_4 - en
>> ¡ Extraterrestres en Manhattan !
>> por un portal en el cielo a
>> que causó caos en Nuevo Méjico el
>> , debemos tener en cuenta la cuesta

"
IDG1,IDG1_1,"['IDG1_2', 'IDG1_3', 'IDG1_4']",se puede decir que los intentos no merecen un (tratamiento) [trato] especial,tratamiento,,trato,
IDG1,IDG1_1,"['IDG1_2', 'IDG1_3', 'IDG1_4']","el sistema penal se concentra demasiado en el castigo, no [en] la rehabilitación y la reinserción",,,en,"IDG1_2 - en
>> : la morsa en un gran recorrido
>> años , generalmente en el Árctico .
>> pesquero y turístico en Yorkshire .
>> 650 kilómetros , en tres semanas .
>> comenzó a aumentar en número .
>> sus nuevos amigos en Scarborough mientras que
>> la morsa estaba en Scarborough solamente para
>> de Blyth , en el norte de
>> el Reino Unido en los últimos años

IDG1_3 - en
>> asuntos más importantes en nuestra sociedad actual
>> En general , se
>> En primer lugar ,
>> de 102.000 personas en pobreza absoluta ,
>> sobre las crisis en América Latina ,
>> En modo de conclusión

IDG1_4 - en
>> ¡ Extraterrestres en Manhattan !
>> por un portal en el cielo a
>> que causó caos en Nuevo Méjico el
>> , debemos tener en cuenta la cuesta

"
IDG1,IDG1_1,"['IDG1_2', 'IDG1_3', 'IDG1_4']","la tasa de reincidencia es (el) [del] 76,6% de los prisioneros en cinco años",el,"IDG1_2 - el
>> Thor : la morsa en un
>> El Reino Unido posee
>> no vemos es la morsa .
>> marino enorme , las morsas pueden alcanzar
>> , generalmente en el Árctico .
>> Como resultado , los residentes de varios
>> Para los que no conocen
>> Por eso , la morsa necesitó una
>> Una vez que los residentes habían descubierto
>> Siguiendo los consejos de organizaciones
>> Para mantener la tranquilidad de Thor
>> no actuó para la audiencia .
>> Thor dio la bienvenida a el
>> Las fotos son realmente
>> A el fondo , un
>> A el frente una morsa
>> Los expertos pensaban que
>> A el final , la
>> El día siguiente ,
>> La pregunta más frecuente
>> Thor llegó a el Reino Unido ?
>> ( Thor fue la tercera morsa a
>> La respuesta no les
>> La temperatura de el
>> Como resultado , el entorno de las
>> señal triste de la futura para las
>> La pregunta : ¿

IDG1_3 - el
>> La globalización
>> discurso trata de la globalización , uno
>> proceso de aumentar las divisiones de el
>> O sea , el mundo se pone
>> El objetivo de el
>> primer lugar , la habladora no cree
>> absoluta , y la globalización no la
>> paz mientras que la globalización contribuye a
>> Además , el debate atribuye a
>> un estudio sobre las crisis en América
>> La habladora utiliza este
>> no creo que la globalización sea la
>> que podemos utilizar la globalización para reducir

IDG1_4 - el
>> Ayer , los habitantes de Nueva
>> Por la primera vez ,
>> Los viajeros diarios ,
>> De repente , las criaturas aparecieron por
>> Todo el mundo intentó a
>> extraterrestres , llamados los Chitauri , eran
>> Chitauri pasó por el portal , por
>> , cuando aparecieron los Vengadores , un
>> Los Vengadores incluyaban Tony
>> ; Thor , el semidios de relámpago
>> sus habilidades , los neoyorquinos fueron evacuados
>> y luego por el portal .
>> Empujó el misil hacia el
>> Los Vengadores cerraron el
>> Por el contrario , debemos
>> Los Chitauri mataron a
>> embargo , a el fin y a

",del,
IDG1,IDG1_1,"['IDG1_2', 'IDG1_3', 'IDG1_4']",los criminales sufren de [una] enfermedad mental,,,una,"IDG1_2 - una
>> la morsa en un gran recorrido por
>> Reino Unido posee una naturaleza fantástica ,
>> No obstante , un animal que normalmente
>> Un mamífero marino enorme
>> muy sorprendidos cuando una morsa les visitó
>> Scarborough , es un pueblo pesquero y
>> No es exactamente un oasis árctico !
>> la morsa necesitó una siesta .
>> Una vez que los
>> Fue una lástima , pero
>> el fondo , un entorno frío e
>> A el frente una morsa enorme durmiendo
>> solamente para descansar un poco , antes
>> , pero es un evento que vemos
>> se perdiera , un error fácil para
>> Es un señal triste de

IDG1_3 - una
>> la globalización , uno de los asuntos
>> se defina como un proceso de aumentar
>> a la globalización un riesgo elevado de
>> Cita un estudio sobre las
>> , sino que un proceso que la

IDG1_4 - una
>> horror mientras que una flota de extraterrestres
>> tuvo que luchar una invasión mortífera de
>> criaturas aparecieron por un portal en el
>> Cada uno era aterrador ,
>> los Vengadores , un grupo de superhéroes
>> de volver llevando un misil nuclear ,

"
IDG1,IDG1_1,"['IDG1_2', 'IDG1_3', 'IDG1_4']",las ventajas económicas de las clases superan mucho (la cuesta) [el coste] de penas largas,la cuesta,"IDG1_4 - la cuesta
>> tener en cuenta la cuesta de esta victoria

",el coste,
IDG1,IDG1_1,"['IDG1_2', 'IDG1_3', 'IDG1_4']",uno de los objetivos de la cárcel es disuadir [a] los criminales,,,a,"IDG1_2 - a
>> morsas pueden alcanzar a 2.000 kg .
>> la multitud comenzó a aumentar en número
>> respectuoso e intentó a no dar miedo
>> dio la bienvenida a el 2023 con
>> A el fondo ,
>> A el frente una
>> A el final ,
>> más frecuente dirigida a los expertos fue
>> qué Thor llegó a el Reino Unido
>> la tercera morsa a el Reino Unido
>> tenemos que extender a toda la naturaleza
>> continuado su viaje a su entorno natural

IDG1_3 - a
>> las empresas irán a los países donde
>> la globalización contribuye a la pobreza sin
>> el debate atribuye a la globalización un
>> para dar importancia a su conclusión :
>> de los problemas a los que ha

IDG1_4 - a
>> en el cielo a las 12:34 por
>> el mundo intentó a huir esconder se
>> Gracias a sus poderes y
>> Man pudo volver a la Tierra el
>> Los Chitauri mataron a 74 personas ,
>> Sin embargo , a el fin y

"
