Group,Title,docs_to_search,error,error_item,error_context,solution_item,solution_context
IHG1,IHG1_1,"['IHG1_2', 'IHG1_3', 'IHG1_4']",el sistema educativo actual no es [lo] suficientemente específico,,,lo,"IHG1_2 - lo
>> Esa interacción se crea energía ,
>> , nombre que se debe a que
>> Se dice que se
>> Steven Lomas , le pregunté por qué
>> , ya que él acaba de recuperar
>> positivos para que le esperan a su
>> , pero no lo conseguí .
>> el lugar donde lo vi anoche estaba
>> Eso es lo que hace que

IHG1_3 - lo
>> maneras para definir lo .
>> hasta que punto se puede decir que
>> Por lo tanto , la
>> Se puede discutir que
>> por un lado se puede argumentar que

IHG1_4 - lo
>> esperanza de que se haga justicia no
>> Para los que se incorporan ahora a
>> Hasta ahora se pensaba que el
>> usted hablar de ello , pero ¿
>> Sara decidió probar lo .
>> Todo lo que he pensado
>> fue difícil compartir lo con nosotros .
>> lugar de hacer lo hace 18 años
>> , si fue él quien mató a
>> los próximos días les informaremos de las

"
IHG1,IHG1_1,"['IHG1_2', 'IHG1_3', 'IHG1_4']","para resolver el problema [de raíz], se tendría que echar un vistazo",,,de raíz,
IHG1,IHG1_1,"['IHG1_2', 'IHG1_3', 'IHG1_4']",(fundamentalmente) para resolver el problema,fundamentalmente,,,
IHG1,IHG1_1,"['IHG1_2', 'IHG1_3', 'IHG1_4']",si no hubieran entrado en (este ambiente) [un entorno] tan psicológicamente dañino,este ambiente,,un entorno,
IHG1,IHG1_1,"['IHG1_2', 'IHG1_3', 'IHG1_4']",[esto] proporcionará un incentivo para encontrar empleo fuera de la cárcel,,,esto,"IHG1_2 - esto
>> es sorprendente que estos lustrosos arcos iris
>> Este espectáculo de belleza
>> Esto me lleva a
>> para lograr ver esta maravilla natural tienen
>> Por esta razón , viajé
>> historias imprevistas como estas sean más importantes

IHG1_3 - esto
>> es cierto que este proceso ha sido
>> No obstante , esta desigualdad solo causa
>> de aprovechar de estos intercambios culturales y

IHG1_4 - esto
>> incorporan ahora a esta noticia , desde
>> que nada de esto habría pasado si
>> a la luz esta nueva información ,
>> merece y que esta pesadilla se pueda
>> las novedades de esta historia .

"
IHG1,IHG1_1,"['IHG1_2', 'IHG1_3', 'IHG1_4']",este entorno (se supone que es) [tiene que ser] agobiante,se supone que es,,tiene que ser,
IHG1,IHG1_1,"['IHG1_2', 'IHG1_3', 'IHG1_4']",no se puede negar que este asunto (desproporcionadamente) afecta [desproporcionadamente] más,desproporcionadamente,,desproporcionadamente,
IHG1,IHG1_1,"['IHG1_2', 'IHG1_3', 'IHG1_4']",podrían verse involucrados en una trama criminal más (amplia) [grave],amplia,,grave,
IHG1,IHG1_1,"['IHG1_2', 'IHG1_3', 'IHG1_4']",porque [ese] es el propósito del castigo,,,ese,"IHG1_2 - ese
>> Esa interacción se crea
>> momento oportunos y ese fue exactamente el
>> Eso es lo que

IHG1_4 - ese
>> lo que sucedió ese día ? -
>> la y por eso no podíamos entender
>> he pensado desde ese día es que

"
IHG1,IHG1_1,"['IHG1_2', 'IHG1_3', 'IHG1_4']",para crear un mundo más seguro en [el] que vivir,,,el,"IHG1_2 - el
>> La aparición inesperada de
>> garantía de ver la aurora boreal .
>> afortunados ayer en el Reino Unido ,
>> tan impresionantes como la aurora boreal ,
>> arcos iris de la noche tengan un
>> una interacción entre el campo magnético de
>> boreal ” en el hemisferio norte .
>> El prodigo recibió su
>> de estar en el lugar y momento
>> portentosas debido a la noche despejada .
>> Owen Humphreys , el fotógrafo de la
>> para poder ver la .
>> novia a ver la Vía Láctea como
>> símbolo personal de los tiempos positivos para
>> tan rara ver la en esta parte
>> El simple hecho es
>> Los mejores consejos para
>> que aparezca durante los meses invernales ,
>> en medio de el campo para intentar
>> A el final , el
>> planear para ver la aurora boreal es

IHG1_3 - el
>> La globalización es un
>> su impacto en el mundo moderno ,
>> Para explorar el tema de la
>> El mundo no ha
>> Debido a el hecho que según
>> lo tanto , la expansión de los
>> que no es el caso en todos
>> económica exagerada entre los países .
>> Además , el punto de vista
>> argumentar que hace las identidades culturales menos
>> mundial económico , la globalización ha actuado
>> A pesar de la falta de equilibrio

IHG1_4 - el
>> 18 años en la cárcel por un
>> Ahora , la policía tiene un
>> - Para los que se incorporan
>> se pensaba que el culpable era su
>> Hoy tenemos en el estudio a un
>> Estábamos en la casa de el
>> estado bebiendo todo el día .
>> Para el viaje habíamos comprado
>> Cuando estaba en el aire , apenas
>> hubiéramos salido en el barco .
>> Qué opina de las nuevas acusaciones contra
>> ahora salga a la luz esta nueva
>> Con respecto a las acusaciones contra Nicandro
>> - En los próximos días les

"
