Group,Title,docs_to_search,error,error_item,error_context,solution_item,solution_context
IHL1,IHL1_1,"['IHL1_2', 'IHL1_3', 'IHL1_4']",es menos una cuestión de castigar y disuadir a los delincuentes (sino) [que] de proporcionar un,sino,"IHL1_2 - sino
>> en día , sino que funciona como

IHL1_3 - sino
>> la globalización , sino que tengamos cuidado

",que,"IHL1_2 - que
>> de esta semana que estaba a tope
>> la semana lo que significa un día
>> alguna gente piensa que los paseos son
>> la oportunidad infrecuente que tengo para aclarar
>> Sería mentira que dijera que la
>> o algo con que puedo contar ,
>> tiempo he aprendido que no me parece
>> por cualquier lugar que desee ( claro
>> de lo magnífica que es .
>> calienta suficientemente para que me sienta contenta
>> a cada paso que doy , como
>> infinitos , hasta que se alcance a
>> entre la flora que canta notas de
>> llena los pulmones que expanden como si
>> A pesar de que estoy cansada ,
>> de la montaña que mi alma vale

IHL1_3 - que
>> no es sorprendente que haya tantas entidades
>> moja en decir que necesitamos manejar esos
>> Es absurdo que alguien diga que
>> alguna gente contaría que la globalización de
>> traido nada más que desafíos severos ,
>> la conferante con que necesitemos aprovechar a
>> forma justa para que prevengamos que empeorara

IHL1_4 - que
>> Los ciudadanos que estuvieron cerca de
>> de los espectadores que fueron testigos de
>> 42 años , que durante lo sucedido
>> Comentó que no se creía
>> hijos me decían que parara el coche
>> y jamás creería que ocurriera .
>> obstante , mientras que el señor Márquez
>> la entrevista comentó que "" a el
>> Me entristece mucho que la gente siga
>> cincuenta , lo que debería bastar para
>> la primera vez que se había denunciado
>> Desde que se empezó a
>> Dado que el número de
>> bien , mientras que el avistamiento provocó
>> Es esencial que se exploren nuevos

"
IHL1,IHL1_1,"['IHL1_2', 'IHL1_3', 'IHL1_4']","es cierto que, para la (mitad) [fracción] de la población que puede sobrevivir",mitad,,fracción,
IHL1,IHL1_1,"['IHL1_2', 'IHL1_3', 'IHL1_4']",la idea amenazadora de ir a la cárcel se vuelve (redundante) [irrelevante],redundante,,irrelevante,
IHL1,IHL1_1,"['IHL1_2', 'IHL1_3', 'IHL1_4']","no (sólo) [solo] eso, sino que",sólo,,solo,
IHL1,IHL1_1,"['IHL1_2', 'IHL1_3', 'IHL1_4']",con su gran cantidad de (administración) [procedimientos burocráticos y administrativos],administración,,procedimientos burocráticos y administrativos,
IHL1,IHL1_1,"['IHL1_2', 'IHL1_3', 'IHL1_4']",es verdad que abordar la (causa) raíz de un problema ayudará no solo a entenderlo,causa,,,
IHL1,IHL1_1,"['IHL1_2', 'IHL1_3', 'IHL1_4']","no solo a entenderlo sino a resolverlo, (no obstante) [mientras que] limitarse a abordar lo que se ve",no obstante,"IHL1_2 - no obstante
>> No obstante , siempre triunfa

IHL1_4 - no obstante
>> No obstante , mientras que

",mientras que,"IHL1_4 - mientras que
>> No obstante , mientras que el señor Márquez
>> Ahora bien , mientras que el avistamiento provocó

"
IHL1,IHL1_1,"['IHL1_2', 'IHL1_3', 'IHL1_4']",(fundamentalmente) encerrar a la gente no es tan claro ni eficaz como pueda parecer,fundamentalmente,,,
IHL1,IHL1_2,"['IHL1_3', 'IHL1_4']",(esa) [esta] es la infrecuente oportunidad que tengo para aclarar,esa,"IHL1_3 - esa
>> Por eso , como es
>> que necesitamos manejar esos desafíos a medida

",esta,"IHL1_3 - esta
>> De esta manera , podemos

IHL1_4 - esta
>> se amenazada por esta posibilidad , o
>> se pueda evaluar estas nuevas ideas .

"
IHL1,IHL1_2,"['IHL1_3', 'IHL1_4']",claro que tengo algunas (elecciones) [preferencias],elecciones,,preferencias,
IHL1,IHL1_2,"['IHL1_3', 'IHL1_4']","no obstante, siempre triunfa la (sphero) [esfera] de fuego",sphero,,esfera,
IHL1,IHL1_2,"['IHL1_3', 'IHL1_4']",como si los compusiera (en) [a] un ritmo seguro,en,"IHL1_3 - en
>> un concepto centrado en el crecimiento financiero
>> conferante se moja en decir que necesitamos
>> visto un aumento en puestos de trabajo
>> , porque , en realidad , es
>> y la riqueza en total .

IHL1_4 - en
>> aterrizando los extraterrestres en la Tierra ?
>> catedrática de física en la Universidad de
>> llevo años trabajando en la lógica de
>> otra vida inteligente en el universo .

",a,"IHL1_3 - a
>> la globalización sigue a la cabeza como
>> manejar esos desafíos a medida que aprovechamos
>> que continua dañar a comunidades , como
>> A continuación , alguna
>> que nunca debido a la mal distribución
>> que necesitemos aprovechar a el máximo de

IHL1_4 - a
>> por el cielo a plena luz de
>> avistamiento tuvo lugar a las 8:30h de
>> , se entrevistaron a algunos de los
>> prisa para llevar a sus hijos a
>> comentó que "" a el ver el
>> simplemente se niegue a creer la ""
>> que se empezó a informar aproximadamente desde
>> , los lleva a concluir cada vez

"
IHL1,IHL1_2,"['IHL1_3', 'IHL1_4']","por eso, doy un paseo cada sábado (estrictamente) [religiosamente] por cualquier lugar que desee",estrictamente,,religiosamente,
IHL1,IHL1_2,"['IHL1_3', 'IHL1_4']","por eso, doy un paseo (religiosamente) cada sábado [religiosamente] por cualquier lugar que desee",religiosamente,,religiosamente,
IHL1,IHL1_2,"['IHL1_3', 'IHL1_4']",es el primer día del fin de (la) semana,la,"IHL1_3 - la
>> Indudablemente , la globalización sigue a
>> concepto centrado en el crecimiento financiero y
>> La conferante se moja
>> anteriormente , aunque la globalización ha visto
>> alguien diga que la globalización es beneficiosa
>> gente contaría que la globalización de hecho
>> Sin embargo , la globalización , después
>> de acuerdo con la conferante con que
>> , podemos distribuir la riqueza , de

IHL1_4 - la
>> ¿ Están aterrizando los extraterrestres en la
>> El sábado pasado ,
>> El avistamiento tuvo lugar
>> Los ciudadanos que estuvieron
>> Después de el evento probablemente más
>> sus hijos a la escuela .
>> decían que parara el coche "" ,
>> entonces , levanté la vista y vi
>> , mientras que el señor Márquez no
>> de ellas es la señora Velázquez ,
>> Durante la entrevista comentó que
>> entristece mucho que la gente siga sintiendo
>> "" La ciencia y los
>> No fue la primera vez que
>> setenta años , los científicos y los
>> Dado que el número de ""
>> , mientras que el avistamiento provocó mucho

",,
IHL1,IHL1_2,"['IHL1_3', 'IHL1_4']","este clima apacible me sienta muy bien, (donde) [pues propicia que] los campos (están) [estén] cubiertos","donde, están","IHL1_3 - están
>> Para concluir , estoy totalmente de acuerdo

IHL1_4 - están
>> ¿ Están aterrizando los extraterrestres
>> Los ciudadanos que estuvieron cerca de el
>> Velázquez , quien estuvo trabajando durante doce

","pues propicia que, estén","IHL1_3 - estén
>> Para concluir , estoy totalmente de acuerdo

IHL1_4 - estén
>> ¿ Están aterrizando los extraterrestres
>> Los ciudadanos que estuvieron cerca de el
>> Velázquez , quien estuvo trabajando durante doce

"
IHL1,IHL1_2,"['IHL1_3', 'IHL1_4']",no me parece una idea (intelligente) [inteligente] complicar excesivamente las cosas,intelligente,,inteligente,"IHL1_4 - inteligente
>> haya otra vida inteligente en el universo

"
IHL1,IHL1_2,"['IHL1_3', 'IHL1_4']",el cielo azul me calienta (suficientemente) [lo suficiente como] para que me sienta contenta,suficientemente,,lo suficiente como,
IHL1,IHL1_2,"['IHL1_3', 'IHL1_4']",lo que significa [que es] un día para mí,,,que es,"IHL1_4 - que es
>> de los espectadores que fueron testigos de lo

"
IHL1,IHL1_2,"['IHL1_3', 'IHL1_4']",lo que significa que es un día para (mi) [mí],mi,"IHL1_4 - mi
>> "" Mis hijos me decían
>> palabras , y mis hijos se pusieron

",mí,"IHL1_3 - mí
>> las oportunidades que nos trae , de
>> ochenta , no nos ha traido nada
>> las oportunidades que nos trae la globalización

IHL1_4 - mí
>> "" Mis hijos me decían que parara
>> Me quedé sin palabras
>> ver el OVNI me extasió porque llevo
>> "" Me entristece mucho que

"
