Group,Title,docs_to_search,error,error_item,error_context,solution_item,solution_context
JTM1,JTM1_1,"['JTM1_2', 'JTM1_3', 'JTM1_4']","es decir [que], a mi entender, (que) ellos cometen crímenes porque carecen de capacidad de autogestión",que,"JTM1_2 - que
>> en la cafetería que es nuestra favorita
>> de los más que me gustan de
>> , es increíble que casi todos los
>> Creo que he usado los
>> pero me siento que es solo temporal
>> a pesar de que estamos en invierno
>> día me dijiste que tu hermano tendría
>> queda uno más que es su primera
>> madre me dijo que este invierno de
>> "" Creía que allí siempre nieva
>> playa , mientras que en el invierno
>> Me parece que cada mes se
>> Es cierto que en Japón hay
>> no me gusta que el tiempo cambia
>> Además , siento que cada estación tiene
>> La única estación que me va bien

JTM1_3 - que
>> conferencia se informa que la globalización de
>> , está cierto que existen luchas a
>> , se insiste que la globalización actual
>> Pienso que este rápido cambio
>> Es una sistema que los países desarrollados
>> acuerdo en el que los estudiantes deben
>> También diría que ofrecer más oportunidades
>> , es necesario que dar suficiente oportunidades

JTM1_4 - que
>> Desde que inició este año
>> de animal salvaje que entra en el
>> , un hombre que tiene 65 años
>> de animal explicó que quizás el oso
>> , los otros que había escuchado a
>> sufrió las lesiones que requerían tres meses
>> primera vez de que alguien fue atacado
>> puso los letreros que llaman la atención
>> los especialistas explican que hay dos causas
>> los humanos los que nos lo hemos

",que,"JTM1_2 - que
>> en la cafetería que es nuestra favorita
>> de los más que me gustan de
>> , es increíble que casi todos los
>> Creo que he usado los
>> pero me siento que es solo temporal
>> a pesar de que estamos en invierno
>> día me dijiste que tu hermano tendría
>> queda uno más que es su primera
>> madre me dijo que este invierno de
>> "" Creía que allí siempre nieva
>> playa , mientras que en el invierno
>> Me parece que cada mes se
>> Es cierto que en Japón hay
>> no me gusta que el tiempo cambia
>> Además , siento que cada estación tiene
>> La única estación que me va bien

JTM1_3 - que
>> conferencia se informa que la globalización de
>> , está cierto que existen luchas a
>> , se insiste que la globalización actual
>> Pienso que este rápido cambio
>> Es una sistema que los países desarrollados
>> acuerdo en el que los estudiantes deben
>> También diría que ofrecer más oportunidades
>> , es necesario que dar suficiente oportunidades

JTM1_4 - que
>> Desde que inició este año
>> de animal salvaje que entra en el
>> , un hombre que tiene 65 años
>> de animal explicó que quizás el oso
>> , los otros que había escuchado a
>> sufrió las lesiones que requerían tres meses
>> primera vez de que alguien fue atacado
>> puso los letreros que llaman la atención
>> los especialistas explican que hay dos causas
>> los humanos los que nos lo hemos

"
JTM1,JTM1_1,"['JTM1_2', 'JTM1_3', 'JTM1_4']","para cada una, (como de) [en consonancia con] su papel en la reinserción",como de,,en consonancia con,
JTM1,JTM1_1,"['JTM1_2', 'JTM1_3', 'JTM1_4']",hay que dejar esta gestión (de gran número de delincuentes a la vez) [basada en la masificación],de gran número de delincuentes a la vez,,basada en la masificación,
JTM1,JTM1_1,"['JTM1_2', 'JTM1_3', 'JTM1_4']","sin embargo, (es) [está] claro que hay que arreglar",es,"JTM1_2 - es
>> la cafetería que es nuestra favorita .
>> gustan de Barcelona es el clima .
>> Para mí , es increíble que casi
>> me siento que es solo temporal en
>> , la temperatura es bastante alta .
>> uno más que es su primera preferencia
>> de Japón ha sido muy frío .
>> Es cierto que en
>> problema , o sea , los deméritos
>> me va bien es el otoño ,
>> "" La realidad es diferente de las

JTM1_3 - es
>> Es decir , todavía
>> por eso educación es importante .
>> Es una sistema que
>> y posibilidades , es necesario que dar

JTM1_4 - es
>> tiene 65 años fue atacado por un
>> El herido rápidamente fue llevado a el
>> suceso , pero fue primera vez de
>> tuviéramos miedo , somos los humanos los

",está,"JTM1_2 - está
>> cita , ya estoy sentada y espero
>> pesar de que estamos en invierno ahora
>> "" Hola , estoy muy bien .
>> La semana pasada estaba bastante ocupada para
>> ¿ Estás lista ? ""

JTM1_3 - está
>> internacional , no está beneficiando a toda
>> Además , está cierto que existen
>> la situación , estoy de acuerdo en

JTM1_4 - está
>> de residencia humana está aumentando .
>> La campiña está en la falda
>> quizás el oso estuviera buscando algo para
>> de el hombre está fuera de peligro
>> de los osos están acercando se debido
>> villas y ahora está desapareciendo la zona

"
JTM1,JTM1_1,"['JTM1_2', 'JTM1_3', 'JTM1_4']",pocos infractores [a la vez] para ofrecer orientaciones adecuadas,,,a la vez,
JTM1,JTM1_1,"['JTM1_2', 'JTM1_3', 'JTM1_4']",aparte de las personas [que] tienen problemas físicos o mentales,,,que,"JTM1_2 - que
>> en la cafetería que es nuestra favorita
>> de los más que me gustan de
>> , es increíble que casi todos los
>> Creo que he usado los
>> pero me siento que es solo temporal
>> a pesar de que estamos en invierno
>> día me dijiste que tu hermano tendría
>> queda uno más que es su primera
>> madre me dijo que este invierno de
>> "" Creía que allí siempre nieva
>> playa , mientras que en el invierno
>> Me parece que cada mes se
>> Es cierto que en Japón hay
>> no me gusta que el tiempo cambia
>> Además , siento que cada estación tiene
>> La única estación que me va bien

JTM1_3 - que
>> conferencia se informa que la globalización de
>> , está cierto que existen luchas a
>> , se insiste que la globalización actual
>> Pienso que este rápido cambio
>> Es una sistema que los países desarrollados
>> acuerdo en el que los estudiantes deben
>> También diría que ofrecer más oportunidades
>> , es necesario que dar suficiente oportunidades

JTM1_4 - que
>> Desde que inició este año
>> de animal salvaje que entra en el
>> , un hombre que tiene 65 años
>> de animal explicó que quizás el oso
>> , los otros que había escuchado a
>> sufrió las lesiones que requerían tres meses
>> primera vez de que alguien fue atacado
>> puso los letreros que llaman la atención
>> los especialistas explican que hay dos causas
>> los humanos los que nos lo hemos

"
JTM1,JTM1_1,"['JTM1_2', 'JTM1_3', 'JTM1_4']",con presupuestos (pequeño) [pequeños],pequeño,,pequeños,
JTM1,JTM1_1,"['JTM1_2', 'JTM1_3', 'JTM1_4']","en Japón, se (acogen) [acoge a] numerosos infractores en cada cárcel grande",acogen,,acoge a,
JTM1,JTM1_1,"['JTM1_2', 'JTM1_3', 'JTM1_4']",debe ofrecer direcciones y tareas adecuadas para cada (uno) [una],uno,"JTM1_2 - uno
>> De hecho , uno de los más
>> Pero le queda uno más que es
>> a enviar le un mensaje para animar
>> cuatro estaciones por un año a causa
>> Por ejemplo , un montón de polen

JTM1_3 - uno
>> de mercado produció una repetición de crisis
>> mundo ha causado una gran diferencia de
>> Es una sistema que los

JTM1_4 - uno
>> Un hombre resultó herido
>> la mañana , un hombre que tiene
>> la falda de un monte .
>> Después de unos veinte minutos vagando

",una,"JTM1_2 - una
>> De hecho , uno de los más
>> Pero le queda uno más que es
>> a enviar le un mensaje para animar
>> cuatro estaciones por un año a causa
>> Por ejemplo , un montón de polen

JTM1_3 - una
>> de mercado produció una repetición de crisis
>> mundo ha causado una gran diferencia de
>> Es una sistema que los

JTM1_4 - una
>> Un hombre resultó herido
>> la mañana , un hombre que tiene
>> la falda de un monte .
>> Después de unos veinte minutos vagando

"
JTM1,JTM1_1,"['JTM1_2', 'JTM1_3', 'JTM1_4']",debe ofrecer direcciones y tareas adecuadas (a) [para] cada una,a,"JTM1_2 - a
>> mañana para ver a mi compañera de
>> Hoy también vamos a quedar en la
>> Como llegué a poco antes de
>> Por supuesto llueve a veces , pero
>> Además , a pesar de que
>> Voy a enviar le un
>> "" A propósito , mi
>> por un año a causa de el
>> clima de Barcelona a el de Japón
>> causa la alergia a mucha gente en
>> En cuanto a verano , me

JTM1_3 - a
>> no está beneficiando a toda la gente
>> que existen luchas a causa de la
>> En cuanto a la solución de
>> ofrecer más oportunidades a los jóvenes que

JTM1_4 - a
>> comer y llegó a la zona humana
>> el oso atacó a la persona y
>> dos peleaban cuerpo a cuerpo , los
>> rápidamente fue llevado a el hospital y
>> A veces se observaban
>> En respuesta a este suceso ,
>> En cuanto a el aumento de
>> de la hibernación a cause de los
>> acercando se debido a la devastación de

",para,"JTM1_2 - para
>> por la mañana para ver a mi
>> Para mí , es
>> estaba bastante ocupada para los exámenes ,
>> le un mensaje para animar le ""
>> Ahora la hora para aprender japonés .

JTM1_3 - para
>> de educación especialmente para parte pobre de

JTM1_4 - para
>> estuviera buscando algo para comer y llegó
>> requerían tres meses para la recuperación .

"
