Group,Title,docs_to_search,error,error_item,error_context,solution_item,solution_context
PBZ1,PBZ1_1,"['PBZ1_2', 'PBZ1_3', 'PBZ1_4']",la crueldad con la cual (comititieron) [cometieron] estos crímenes,comititieron,,cometieron,"PBZ1_2 - cometieron
>> encuentra en haber cometido errores básicos relacionados

"
PBZ1,PBZ1_1,"['PBZ1_2', 'PBZ1_3', 'PBZ1_4']","(por) segundo, la cárcel permite el mantenimiento",por,"PBZ1_2 - por
>> el dolor causado por la perdida de
>> Específicamente , ¿ por qué el terremoto
>> la zona afectada por el terremoto había

PBZ1_3 - por
>> Está claro , por consiguiente , que
>> , si tomaremos por el objetivo principal

PBZ1_4 - por
>> Mifflin , acusado por racismo
>> "" Por esta razón siempre
>> Luther King , por lo cual ,
>> para seguir ejerciendo por más tiempo el

",,
PBZ1,PBZ1_1,"['PBZ1_2', 'PBZ1_3', 'PBZ1_4']","(pero) [no obstante], ¿es igual de efectiva como institución de resocialización?",pero,,no obstante,"PBZ1_2 - no obstante
>> zonas sísmicas , no obstante , no podemos
>> No obstante , el gobierno

PBZ1_4 - no obstante
>> No obstante , una de

"
PBZ1,PBZ1_1,"['PBZ1_2', 'PBZ1_3', 'PBZ1_4']","hasta el punto [de] que, incluso, es capaz de matar a otro",,,de,"PBZ1_2 - de
>> El principio de el año 2023
>> los primeros días de el febrero tuvo
>> No cabe duda de que este acontecimiento
>> por la perdida de sus seres queridos
>> solamente un grito de desesperanza , ya
>> qué el terremoto de Turquía ha traído
>> la causa delante de tantas perdidas en
>> ocurre que antes de la desastre ,
>> aprobó este tipo de edificios a cambio
>> Aparte de dicho problema legislativo
>> edificio a prueba de terremotos no causa
>> relacionadas con construcción de edificios en terrenos
>> en la decisión de haber construido edificios
>> construcciones con más de 10 plantas .
>> la ubicación geográfica de un terreno específico
>> edificios a prueba de terremotos .
>> la parte afectada de Turquía está cerca
>> cuanto a planificación de urbanización de el

PBZ1_3 - de
>> El discurso trata de la influenciá de
>> la quinta parte de la humanidad vive
>> A causa de la pobreza ,
>> muestra la necesidad de abrir un espacio
>> A el final de el discurso ,
>> que los efectos de globalización dependen de
>> que los estudiantes de economía deberían hablar
>> ya que depende de la manera de
>> principal el bienestar de toda la humanidad

PBZ1_4 - de
>> Scott , director de Dunder Mifflin ,
>> El 7 de septiembre de 2003
>> y la actitud de el director .
>> Ya estamos hartos de este tratamiento .
>> Kubrick , uno de los trabajadores de
>> un entorno agradable de trabajo .
>> confesó que más de una vez había
>> obstante , una de las empleadas de
>> Como era de imaginar , el
>> asegurar la igualdad de el equipo .
>> , respondió , de forma sarcástica .
>> con el hecho de que Stanley tenía
>> "" De todos modos ,
>> Aunque algunos de los funcionarios de
>> a la falta de consenso entre ellos
>> cabo la petición de dimisión de el

"
PBZ1,PBZ1_1,"['PBZ1_2', 'PBZ1_3', 'PBZ1_4']",dicha práctica (produjo reducida) [redujo la] capacidad mental y física de un prisionero,produjo reducida,,redujo la,
PBZ1,PBZ1_1,"['PBZ1_2', 'PBZ1_3', 'PBZ1_4']",(en tanto que) [siempre y cuando] cambiemos la actitud común hacia la cárcel,en tanto que,,siempre y cuando,
PBZ1,PBZ1_1,"['PBZ1_2', 'PBZ1_3', 'PBZ1_4']","para (asumir) [resumir], la cárcel tiene potencial como institución",asumir,,resumir,
PBZ1,PBZ1_1,"['PBZ1_2', 'PBZ1_3', 'PBZ1_4']",mientras [que] parece cierto que la cárcel funciona bien en cuanto a la protección de la sociedad,,,que,"PBZ1_2 - que
>> cabe duda de que este acontecimiento conmovió
>> escombros , hicieron que la gente se
>> desesperanza , ya que la respuesta queda
>> momento exacto en que se ocurra el
>> La segunda pregunta que aparece con frecuencia
>> Los especialistas suponen que la causa delante
>> decir , ocurre que antes de la
>> implementó una ley que aprobó este tipo
>> legislativo , ocurre que la causa de
>> Ocurre que no se tomó
>> López Almansa afirma que el problema no
>> terremoto , lo que se puede hacer
>> Ahora , lo que se debería hacer

PBZ1_3 - que
>> ha causado problemas que ahora tenemos que
>> por consiguiente , que la globalización no
>> "" , dice que los efectos de
>> Además , menciona que los estudiantes de
>> razón cuando dice que la globalización ni

PBZ1_4 - que
>> la actitud racista que este empleaba a
>> algunos empleados , que no compartían la
>> Dunder Mifflin , que es de origen
>> Además , confesó que más de una
>> él , argumentando que no entendía las
>> acusaciones , diciendo que su objetivo siempre
>> Asimismo , dijo que fue un valor
>> excepciones , ya que la raza no
>> el hecho de que Stanley tenía muchos
>> "" Encima , que todos jugamos en
>> la esperanza de que lograrían convencer a

"
PBZ1,PBZ1_1,"['PBZ1_2', 'PBZ1_3', 'PBZ1_4']",un espacio cerrado donde se pone a todos [los] que son incapaces de vivir,,,los,"PBZ1_2 - los
>> El principio de el
>> En los primeros días de
>> conmovió a todo el mundo .
>> La confusión , desesperanza
>> , ya que la respuesta queda clara
>> Según la opinión experta ,
>> La segunda pregunta que
>> ¿ por qué el terremoto de Turquía
>> Los especialistas suponen que
>> que antes de la desastre , a
>> No obstante , el gobierno turco implementó
>> , ocurre que la causa de tanta
>> tampoco encarece mucho los costes de la
>> tomó en cuenta las recomendaciones relacionadas con
>> Almansa afirma que el problema no se
>> En la zona afectada por
>> es , a el menos , tomar
>> Además , como la parte afectada de
>> es esperar a el gobierno turco que

PBZ1_3 - los
>> El discurso trata de
>> La portavoz empieza su
>> consiguiente , que la globalización no trae
>> A causa de la pobreza , nos
>> La pobreza y la
>> A el final de el
>> ella , "" la globalización no es
>> , menciona que los estudiantes de economía
>> mi juicio , la portavoz tiene razón
>> sociales , incluso la pobreza , si

PBZ1_4 - los
>> El 7 de septiembre
>> El director la rechazó
>> , uno de los trabajadores de Dunder
>> , una de las empleadas de la
>> de imaginar , el director de Dunder
>> él como para la empresa , asegurar
>> respeto hacia todas las razas , sin
>> su argumentación con el hecho de que
>> modos , todos los hombres son iguales
>> todos jugamos en el mismo equipo ,
>> Aunque algunos de los funcionarios de Dunder
>> Debido a la falta de consenso
>> como consecuencia , los empleados no consiguieron

"
PBZ1,PBZ1_1,"['PBZ1_2', 'PBZ1_3', 'PBZ1_4']",su comportamiento sugiere que puede (causar) [suponer] un peligro en todas las esferas de la vida,causar,"PBZ1_2 - causar
>> , el dolor causado por la perdida

PBZ1_3 - causar
>> positivo o ha causado problemas que ahora

",suponer,"PBZ1_2 - suponer
>> Los especialistas suponen que la causa

"
