Group,Title,docs_to_search,error,error_item,error_context,solution_item,solution_context
RPE1,RPE1_1,"['RPE1_2', 'RPE1_3', 'RPE1_4']",las cárceles: (ha) [a] veces me pregunto para qué sirven,ha,"RPE1_2 - ha
>> los 18 años hubiera tomado la decisión
>> simple , me he hartado de la
>> Nunca me he quejado en mi
>> No habrá civilización para molestar
>> para ser feliz hay que tener compañía
>> Yo ya he encontrado lo que
>> perdóname si te he hecho pensar que

RPE1_3 - ha
>> de Forks se han encontrado 6 diferentes
>> búsqueda y rescate había comenzado desde hace
>> Hay gente que sospechaban
>> , pero no hay ninguno .
>> la sangre se hubiese evaporado .
>> , así que habrá que esperar para

RPE1_4 - ha
>> Que le vamos ha hacer , la
>> Aparentemente nos han mentido , ser
>> es necesaria , hay un sabelotodo en
>> mas listo sin haber estudiado nada .

",a,"RPE1_2 - a
>> Nunca pensé que a los 18 años
>> ya no soporto a nadie .
>> para despertar me a tiempo , me
>> sola , tengo a los coloridos pájaros
>> otro día contemplé a un hermoso pájaro
>> siquiera puedes empezar a imaginar la hermosura
>> es la luz a el final de
>> feliz puesto que a mi nunca me

RPE1_3 - a
>> A el comienzo de
>> A el pesar de
>> investigación se llevo a cabo para intentar

RPE1_4 - a
>> que cuando vaya a el lavabo ,
>> historias kilométricas que a nadie les importa
>> que te ayuden a aprender .

"
RPE1,RPE1_1,"['RPE1_2', 'RPE1_3', 'RPE1_4']",las cárceles: a veces me pregunto para (que) [qué] sirven,que,"RPE1_2 - que
>> Nunca pensé que a los 18
>> Tengo que decir te la
>> preguntaras el por que , de mi
>> escuchar el sonido que hacen los coches
>> los coloridos pájaros que vuelan cada mañana
>> hermoso pájaro blanco que volaba hacia la
>> flora más majestuosa que ni siquiera puedes
>> , ahora pensaras que estoy aburrida todo
>> entender el por que me mude en
>> la luna menguante que me saluda y
>> , ‘’hay gente que le tiene miedo
>> Porque cree que para ser feliz
>> he encontrado lo que necesito para ser
>> si , tendrás que buscar te tu
>> - Y que alguien le inyecte
>> he hecho pensar que vivía en una

RPE1_3 - que
>> de autodefensa dado que las victimas presentan
>> , nos comentaron que el criminal era
>> muy preocupados ya que llevaban semanas sin
>> el sheriff descubrieron que fueron asesinados .
>> Hay gente que sospechaban que la
>> la única información que nos dijeron fue
>> mas , así que habrá que esperar

RPE1_4 - que
>> Que le vamos ha
>> calidad con la que nos nacemos .
>> te cuenta de que puedes ser listo
>> tuviera nada mejor que hacer , pase
>> Pero lo que está indicado es
>> Dicen que es bueno para
>> o historias kilométricas que a nadie les
>> sabe para lo que usa el internet
>> Rodéate de personas que te ayuden a
>> se de personas que sea la mas
>> No hace falta que se queme usted
>> pasos ya vera que en poco tiempo

",qué,"RPE1_4 - qué
>> , ¿ Por qué debo de leer

"
RPE1,RPE1_1,"['RPE1_2', 'RPE1_3', 'RPE1_4']",pero sí que pienso que no debería (de) haber tanta libertad dentro de ellas,de,"RPE1_2 - de
>> tomado la decisión de mudar me sola
>> por que , de mi drástica decisión
>> escuchar la alarma de el teléfono para
>> , con océanos de un turquesa superficial
>> las colinas cubiertas de vegetación .
>> la magnificencia azul de el océano ,
>> Son 98 km2 de infinito paraíso por
>> es un lugar de terror ni tampoco
>> imagina cada rincón de ese lugar y
>> y me sonríe de vez en cuando
>> es un lugar de belleza y tranquilidad
>> ¡ Es hora de tomar te las
>> ¡ Y deja de jugar con tu

RPE1_3 - de
>> Forks la ciudad de lluvia y crimines
>> En la ciudad de Forks se han
>> el bosque huellas de humanos y de
>> explicaban el uso de autodefensa dado que
>> pasado jueves alrededor de las 7 de
>> A el comienzo de la investigación ,
>> La investigación de búsqueda y rescate
>> sin saber nada de sus hijos ,
>> A el pesar de los temores de
>> hablamos con habitantes de Forks muchos indicaron
>> averiguar el motivo de el asesino o
>> en la escena de el crimen para
>> mas , pero de momento lo único
>> semanas , habéis de tener mucho cuidado

RPE1_4 - de
>> , la idea de estudiar es un
>> dar te cuenta de que puedes ser
>> pase cada segundo de su día con
>> solamente las etiquetas de las botellas de
>> no estamos hablando de memorizar fragmentos de
>> esa maldita botella de vino .
>> Rodéate de personas que te
>> Usted simplemente debería de rodear se de

",,
RPE1,RPE1_1,"['RPE1_2', 'RPE1_3', 'RPE1_4']",pero (si) [sí] que pienso que no debería haber tanta libertad dentro de ellas,si,"RPE1_2 - si
>> Bueno eso si , tendrás que
>> Vaya , perdóname si te he hecho

RPE1_3 - si
>> crimen para ver si descubríamos algo ,

RPE1_4 - si
>> Lea como si no tuviera nada
>> y úselo como si fuese su Google
>> Si sigue estos pasos

",sí,
RPE1,RPE1_1,"['RPE1_2', 'RPE1_3', 'RPE1_4']",que en ayudar a la (victima) [víctima],victima,"RPE1_3 - victima
>> encontrado 6 diferentes victimas asesinadas .
>> dado que las victimas presentan muchas marcas

",víctima,
RPE1,RPE1_1,"['RPE1_2', 'RPE1_3', 'RPE1_4']",(cual) [cuál] es la razón por la que debemos ayudar al asesino pero no a la familia del asesinado,cual,"RPE1_2 - cual
>> paraíso por los cuales puedes contemplar la

",cuál,
RPE1,RPE1_1,"['RPE1_2', 'RPE1_3', 'RPE1_4']",cualquier (ofensor) [delincuente] tiene acceso al wifi y a la Xbox,ofensor,,delincuente,
RPE1,RPE1_1,"['RPE1_2', 'RPE1_3', 'RPE1_4']","después de leer esto, te empiezan [a surgir] las dudas sobre la eficacia de la cárcel",,,a surgir,
RPE1,RPE1_1,"['RPE1_2', 'RPE1_3', 'RPE1_4']","si buscamos información (de) [sobre] las cárceles en Noruega, nos sale básicamente la misma",de,"RPE1_2 - de
>> tomado la decisión de mudar me sola
>> por que , de mi drástica decisión
>> escuchar la alarma de el teléfono para
>> , con océanos de un turquesa superficial
>> las colinas cubiertas de vegetación .
>> la magnificencia azul de el océano ,
>> Son 98 km2 de infinito paraíso por
>> es un lugar de terror ni tampoco
>> imagina cada rincón de ese lugar y
>> y me sonríe de vez en cuando
>> es un lugar de belleza y tranquilidad
>> ¡ Es hora de tomar te las
>> ¡ Y deja de jugar con tu

RPE1_3 - de
>> Forks la ciudad de lluvia y crimines
>> En la ciudad de Forks se han
>> el bosque huellas de humanos y de
>> explicaban el uso de autodefensa dado que
>> pasado jueves alrededor de las 7 de
>> A el comienzo de la investigación ,
>> La investigación de búsqueda y rescate
>> sin saber nada de sus hijos ,
>> A el pesar de los temores de
>> hablamos con habitantes de Forks muchos indicaron
>> averiguar el motivo de el asesino o
>> en la escena de el crimen para
>> mas , pero de momento lo único
>> semanas , habéis de tener mucho cuidado

RPE1_4 - de
>> , la idea de estudiar es un
>> dar te cuenta de que puedes ser
>> pase cada segundo de su día con
>> solamente las etiquetas de las botellas de
>> no estamos hablando de memorizar fragmentos de
>> esa maldita botella de vino .
>> Rodéate de personas que te
>> Usted simplemente debería de rodear se de

",sobre,
RPE1,RPE1_1,"['RPE1_2', 'RPE1_3', 'RPE1_4']","si buscamos información sobre [las] cárceles en Noruega, nos sale básicamente la misma",,,las,"RPE1_2 - las
>> pensé que a los 18 años hubiera
>> que decir te la verdad , toda
>> Te preguntaras el por que ,
>> no me gusta el ruido , no
>> , tengo a los coloridos pájaros que
>> El otro día contemplé
>> infinito paraíso por los cuales puedes contemplar
>> estoy aburrida todo el día admirando este
>> Cierra los ojos , imagina
>> amiga ahora es la luna menguante que
>> para mi es la luz a el
>> de tomar te las pastillas ya !
>> duerma – dijo la segunda enfermera .

RPE1_3 - las
>> Forks la ciudad de lluvia
>> En la ciudad de Forks
>> El pasado jueves se
>> Los informes explicaban el
>> El pasado jueves alrededor
>> A el comienzo de la
>> La investigación de búsqueda
>> Los padres estaban muy
>> A el pesar de los
>> que sospechaban que la culpa la tenían
>> La investigación se llevo
>> Nos quedamos en la escena de el
>> Desde el jueves estábamos esperando

RPE1_4 - las
>> ha hacer , la idea de estudiar
>> una calidad con la que nos nacemos
>> ser listo sin la necesidad de estudiar
>> delante suyo , la lectura dice que
>> que lea solamente las etiquetas de las
>> es bueno para la mente ejercer y
>> memorizar fragmentos de la Biblia o historias
>> Usa el Internet .
>> lo que usa el internet y no
>> personas que sea la mas estudiosa ,
>> tiempo usted será el mas listo sin

"
