Lexical item,Level
pelo,A1
ojo,A1
nariz,A1
ser alto,A1
ser bajo,A1
ser gordo,A1
ser delgado,A1
ser guapo,A1
ser feo,A1
ser rubio,A1
ser moreno,A1
tener el pelo rubio,A1
tener el pelo moreno,A1
tener el pelo blanco,A1
llevar barba,A1
llevar bigote,A1
llevar gafas,A1
tener barba,A1
tener bigote,A1
tener gafas,A1
tener los ojos claros,A1
tener los ojos oscuros,A1
tener los ojos azules,A1
tener los ojos verdes,A1
tener los ojos negros,A1
tener los ojos marrones,A1
tener los ojos grandes,A1
tener los ojos pequeños,A1
levantarse,A1
ducharse,A1
escuchar,A1
simpático,A1
antipático,A1
inteligente,A1
trabajador,A1
alegre,A1
serio,A1
tímido,A1
sociable,A1
nombre,A1
apellido,A1
primer apellido,A1
segundo apellido,A1
señor,A1
señora,A1
señores,A1
firmar,A1
llamarse,A1
dirección,A1
correo electrónico,A1
calle,A1
avenida,A1
paseo,A1
plaza,A1
piso,A1
número,A1
código postal,A1
casa,A1
habitación,A1
país,A1
ciudad,A1
pueblo,A1
vivir,A1
número de teléfono,A1
móvil,A1
lugar de nacimiento,A1
fecha de nacimiento,A1
nacionalidad,A1
extranjero,A1
español,A1
alemán,A1
mexicano,A1
japonés,A1
marroquí,A1
ser de Laos,A1
ser de Bali,A1
ser de Mozambique,A1
edad,A1
niño,A1
chico,A1
joven,A1
viejo,A1
tener [número cardinal] años,A1
tener muchos años,A1
tener pocos años,A1
hombre,A1
mujer,A1
niño,A1
niña,A1
chico,A1
chica,A1
señor,A1
señora,A1
estado civil,A1
soltero,A1
casado,A1
viudo,A1
separado,A1
divorciado,A1
marido,A1
mujer,A1
pasaporte,A1
carné de identidad,A1
carné de conducir,A1
llaves,A1
cartera,A1
bolso,A1
maleta,A1
reloj,A1
móvil,A1
gafas,A1
ordenador,A1
tarjeta de crédito,A1
familia,A1
padres,A1
padre,A1
madre,A1
hijo,A1
hermano,A1
tío,A1
sobrino,A1
abuelo,A1
nieto,A1
primo,A1
marido,A1
mujer,A1
pareja,A1
novio,A1
amigo,A1
jefe,A1
