Lexical item,Level
músculo,B1
hueso,B1
piel,B1
corazón,B1
pulmón,B1
cuello,B1
hombros,B1
pecho,B1
cintura,B1
barriga,B1
rodilla,B1
tobillo,B1
codo,B1
muñeca,B1
postura,B1
mirada,B1
parecerse a su padre,B1
parecerse a su hermano,B1
parecerse entre ellos,B1
tener la piel clara,B1
tener la piel oscura,B1
tener la piel sensible,B1
tener la piel suave,B1
estar moreno,B1
ser blanco,B1
ser moreno,B1
ser blanco de piel,B1
ser moreno de piel,B1
tener buen tipo,B1
tener buen figura,B1
tener buen estilo,B1
tener buen presencia,B1
tener mal tipo,B1
tener mal figura,B1
tener mal estilo,B1
tener mal presencia,B1
caminar,B1
dar un paseo,B1
saltar,B1
estar sentado,B1
estar de pie,B1
respirar,B1
llorar,B1
oler,B1
tocar,B1
besar,B1
abrazar,B1
levantar las manos,B1
levantar los brazos,B1
levantar la cabeza,B1
bajar las manos,B1
bajar los brazos,B1
bajar la cabeza,B1
mover las manos,B1
mover los brazos,B1
mover la cabeza,B1
soltar,B1
vida,B1
muerte,B1
estar embarazada,B1
esperar un hijo,B1
ser virgen,B1
hacer el amor,B1
tener relaciones sexuales,B1
tomar la píldora,B1
usar preservativos,B1
tener la regla,B1
optimismo,B1
pesimismo,B1
tranquilidad,B1
intranquilidad,B1
paciencia,B1
impaciencia,B1
sincero,B1
paciente,B1
impaciente,B1
introvertido,B1
vago,B1
travieso,B1
seguro,B1
inseguro,B1
conservador,B1
hablador,B1
arrogante,B1
tener sentido del humor,B1
tener mucho carácter,B1
tener poco carácter,B1
tener mal carácter,B1
tener un carácter fuerte,B1
tener un carácter débil,B1
tener un carácter fácil,B1
tener un carácter difícil,B1
ser de carácter fuerte,B1
ser de carácter débil,B1
ser de carácter fácil,B1
ser de carácter difícil,B1
sentimiento,B1
amor,B1
amistad,B1
estar aburrido,B1
estar asustado,B1
estar estresado,B1
estar deprimido,B1
estar enamorado,B1
alegrarse,B1
divertirse,B1
enamorarse,B1
aburrirse,B1
deprimirse,B1
enfadarse,B1
dar pena,B1
dar lástima,B1
dar miedo,B1
ponerse triste,B1
ponerse contento,B1
ponerse de mal humor,B1
encontrarse bien,B1
encontrarse mal,B1
encontrarse fatal,B1
no soportar,B1
tocar calor,B1
tocar frío,B1
tocar sueño,B1
tocar sed,B1
tocar hambre,B1
sentir calor,B1
sentir frío,B1
sentir sueño,B1
sentir sed,B1
sentir hambre,B1
estar bien,B1
estar mal,B1
estar regular,B1
sentirse bien,B1
sentirse mal,B1
sentirse regular,B1
encontrarse bien,B1
encontrarse mal,B1
encontrarse regular,B1
cansarse,B1
portarse bien,B1
portarse mal,B1
ser educado,B1
ser maleducado,B1
sincero,B1
conservador,B1
tener suerte,B1
tener buena suerte,B1
tener mala suerte,B1
vivir en las afueras,B1
vivir en el centro,B1
cambiar de dirección,B1
recién nacido,B1
anciano,B1
varón,B1
hembra,B1
masculino,B1
femenino,B1
heterosexual,B1
homosexual,B1
bisexual,B1
transexual,B1
gay,B1
lesbiana,B1
boda civil,B1
boda religiosa,B1
divorcio,B1
separación,B1
matrimonio homosexual,B1
matrimonio heterosexual,B1
pareja de hecho,B1
burocracia,B1
funcionario,B1
Documento Nacional de Identidad,B1
Documento Nacional de Identidad DNI,B1
tener un documento,B1
solicitar un documento,B1
renovar un documento,B1
perder un documento,B1
diario,B1
álbum de fotos,B1
joya,B1
anillo,B1
collar,B1
pendientes,B1
pulsera,B1
matrimonio homosexual,B1
matrimonio heterosexual,B1
pareja de hecho,B1
madre soltera,B1
niño adoptado,B1
adoptar un niño,B1
educar a un hijo,B1
convivir con la pareja,B1
convivir con el novio,B1
vivir con la pareja,B1
vivir con el novio,B1
llevar [número cardinal] años juntos,B1
llevar [número cardinal] años en pareja,B1
llevar [número cardinal] años viviendo juntos,B1
llevar [número cardinal] años viviendo en pareja,B1
llevar [número cardinal] años conviviendo juntos,B1
llevar [número cardinal] años conviviendo en pareja,B1
obedecer a los padres,B1
desobedecer a los padres,B1
discutir con los padres,B1
discutir con los hermanos,B1
discutir con los hijos,B1
crecer feliz,B1
crecer fuerte,B1
crecer sano,B1
colega,B1
amigo de la infancia,B1
amigo de la universidad,B1
buen amigo,B1
gran amigo,B1
tener novio,B1
tener pareja,B1
tener una aventura,B1
tener una relación,B1
tener una relación de amistad,B1
tener una relación de amor,B1
tener una relación de trabajo,B1
empezar una relación,B1
acabar una relación,B1
terminar una relación,B1
salir con alguien,B1
romper con alguien,B1
caer bien,B1
caer mal,B1
caerse bien,B1
caerse mal,B1
llevarse bien,B1
llevarse mal,B1
dar la mano,B1
dar un abrazo,B1
dar un beso,B1
abrazarse,B1
besarse,B1
ligar,B1
fiesta típica,B1
fiesta popular,B1
fiesta tradicional,B1
fiesta de disfraces,B1
comida de Navidad,B1
comida de familia,B1
comida de negocios,B1
fiesta formal,B1
reunión formal,B1
fiesta informal,B1
reunión informal,B1
despedida de soltero,B1
boda,B1
cumplir años,B1
hacer una despedida de soltero,B1
hacer una fiesta de fin de curso,B1
dar una despedida de soltero,B1
dar una fiesta de fin de curso,B1
invitar a una despedida de soltero,B1
invitar a una fiesta de fin de curso,B1
irse de viaje de novios,B1
irse de luna de miel,B1
estar de viaje de novios,B1
estar de luna de miel,B1
felicitar,B1
hacer un regalo,B1
envolver un regalo,B1
abrir un regalo,B1
actitud agradable,B1
actitud positiva,B1
actitud extraña,B1
portarse bien,B1
portarse mal,B1
tratar bien a alguien,B1
tratar mal a alguien,B1
tener una buena actitud,B1
tener una mala actitud,B1
alimentación sana,B1
alimentación equilibrada,B1
producto natural,B1
producto para diabéticos,B1
alimento pesado,B1
alimento ligero,B1
comida pesado,B1
comida ligero,B1
calorías,B1
vitaminas,B1
proteínas,B1
fibra,B1
hierro,B1
alimentar,B1
alimentarse,B1
infusión de tila,B1
infusión de manzanilla,B1
infusión de poleo,B1
vino joven,B1
vino de la casa,B1
un reserva,B1
abrir una botella,B1
servir una bebida,B1
probar una bebida,B1
tomar una copa,B1
estar borracho,B1
tener resaca,B1
marisco,B1
especias,B1
embutido,B1
lomo,B1
salchichón,B1
chorizo,B1
berenjena,B1
calabacín,B1
espinacas,B1
guisantes,B1
lentejas,B1
judías,B1
judías blancas,B1
garbanzos,B1
bizcocho,B1
magdalena,B1
cereza,B1
piña,B1
kiwi,B1
leche entera,B1
leche descremada,B1
leche desnatada,B1
nata,B1
margarina,B1
yogur natural,B1
yogur desnatado,B1
yogur con frutas,B1
costilla de cordero,B1
chuleta de cerdo,B1
pechuga de pollo,B1
solomillo de ternera,B1
aceite de oliva,B1
aceite de girasol,B1
vinagre,B1
mostaza,B1
clara de huevo,B1
yema de huevo,B1
cáscara de huevo,B1
receta,B1
ingredientes,B1
modo de preparación,B1
carne a la plancha,B1
carne frito,B1
carne hervido,B1
pescado a la plancha,B1
pescado frito,B1
pescado hervido,B1
blando,B1
duro,B1
crudo,B1
poco hecho,B1
muy hecho,B1
salado,B1
dulce,B1
picante,B1
amargo,B1
freír,B1
hervir,B1
cocer,B1
asar,B1
aliñar,B1
condimentar,B1
cocer arroz,B1
cocer pasta,B1
hervir agua,B1
hervir leche,B1
batir huevos,B1
freír patatas,B1
freír huevos,B1
pelar fruta,B1
pelar patatas,B1
cortar el pan,B1
cortar la carne,B1
aliñar una ensalada,B1
quemarse la comida,B1
sopa de pescado,B1
sopa de verduras,B1
