Lexical item,Level
pata,C1
napia,C1
coco,C1
vientre,C1
ombligo,C1
puño,C1
palma de la mano,C1
pulgar,C1
índice,C1
cráneo,C1
vértebra,C1
páncreas,C1
colon,C1
tímpano,C1
córnea,C1
aparato digestivo,C1
sistema circulatorio,C1
ojera,C1
peca,C1
caspa,C1
bolsas,C1
bolsas en los ojos,C1
remolino,C1
rizo,C1
caracol,C1
corpulencia,C1
constitución fuerte,C1
constitución normal,C1
ojo saltón,C1
ojo rasgado,C1
ojo hundido,C1
nariz aguileña,C1
nariz respingona,C1
nariz chata,C1
labios finos,C1
labios gruesos,C1
labios carnosos,C1
piel tersa,C1
piel arrugada,C1
barba recortada,C1
barba poblada,C1
expresión frío,C1
expresión franco,C1
expresión amable,C1
expresión duro,C1
gesto frío,C1
gesto franco,C1
gesto amable,C1
gesto duro,C1
rechoncho,C1
regordete,C1
rellenito,C1
esquelético,C1
robusto,C1
corpulento,C1
peludo,C1
imberbe,C1
canoso,C1
tener buena pinta,C1
tener mala pinta,C1
tener buena cara,C1
tener mala cara,C1
estar como un tonel,C1
estar como una vaca,C1
estar como un fideo,C1
estar en los huesos,C1
pestañear,C1
parpadear,C1
aspirar,C1
espirar,C1
tiritar,C1
estremecerse,C1
encogerse de hombros,C1
arquear las cejas,C1
fruncir el ceño,C1
arrugar la nariz,C1
arrugar la frente,C1
guiñar un ojo,C1
hacer muecas,C1
mirar de reojo,C1
mirar de frente,C1
mirar de lado,C1
mirar fijamente,C1
alzar la mirada,C1
bajar la mirada,C1
mantener la mirada,C1
contraer los músculos,C1
distender los músculos,C1
cruzarse de brazos,C1
cruzarse de piernas,C1
reproducción asistida,C1
célula madre,C1
óvulo,C1
espermatozoide,C1
fecundación in vitro,C1
aborto voluntario,C1
aborto involuntario,C1
aborto terapéutico,C1
aborto espontáneo,C1
interrupción voluntaria del embarazo,C1
interrupción involuntaria del embarazo,C1
parto natural,C1
parto prematuro,C1
parto por cesárea,C1
