Lemma,API1_1,API1_2,API1_3,API1_4,Total
el,42,82,42,44,210
de,25,41,23,19,108
él,16,17,32,16,81
que,18,21,21,20,80
a,8,14,17,9,48
uno,6,15,10,14,45
y,4,13,12,11,40
en,6,7,6,16,35
no,9,7,7,11,34
ser,6,7,2,19,34
yo,2,27,0,2,31
por,6,11,7,4,28
haber,9,5,9,3,26
para,2,8,6,10,26
hacer,4,2,6,11,23
con,4,8,3,4,19
tener,5,5,5,4,19
este,2,5,4,7,18
estar,4,6,4,4,18
qué,1,3,0,11,15
poder,2,10,1,1,14
mucho,4,2,2,5,13
si,7,0,1,5,13
todo,0,4,3,5,12
vida,1,2,1,7,11
cárcel,9,0,1,0,10
nuestro,0,9,0,1,10
ver,4,0,3,3,10
ya,0,1,5,3,9
pero,2,2,1,3,8
persona,4,2,1,1,8
también,4,2,1,0,7
gran,3,2,1,1,7
más,4,0,1,2,7
ese,1,0,2,4,7
su,0,3,3,1,7
número,5,2,0,0,7
o,1,1,1,4,7
ir,0,0,1,5,6
cada,1,3,0,2,6
decir,1,1,1,3,6
como,0,3,0,3,6
solo,0,2,1,3,6
año,1,2,1,1,5
poner,0,1,1,3,5
alarma,0,2,3,0,5
sino,0,4,1,0,5
intentar,0,2,2,1,5
plantación,0,3,2,0,5
millón,1,0,3,0,4
solamente,0,3,1,0,4
fuerte,0,1,0,3,4
seguir,1,2,0,1,4
querer,0,3,1,0,4
gente,1,0,1,2,4
cuenta,0,2,1,1,4
finalmente,1,1,2,0,4
seguro,3,0,0,1,4
respetar,1,3,0,0,4
desde,0,2,1,1,4
otro,2,1,1,0,4
joven,0,0,1,3,4
explicar,0,2,1,1,4
existir,2,1,0,1,4
tomar,0,0,1,3,4
parecer,1,1,0,1,3
ahora,1,1,0,1,3
día,0,1,1,1,3
dar,0,1,2,0,3
cómo,0,2,1,0,3
entrar,0,1,2,0,3
considerar,0,1,0,2,3
personal,0,0,1,2,3
grande,0,2,0,1,3
pesar,1,0,0,2,3
tres,1,0,2,0,3
deber,1,1,0,1,3
importancia,0,2,0,1,3
alguno,1,1,1,0,3
mundo,2,1,0,0,3
mayor,2,1,0,0,3
hora,0,0,2,1,3
compañía,0,1,2,0,3
malo,0,0,2,1,3
cambiar,0,2,0,1,3
aunque,2,1,0,0,3
así,2,0,0,1,3
encontrar,1,0,2,0,3
entre,2,1,0,0,3
nadie,0,1,1,0,2
dos,0,1,1,0,2
menos,1,0,0,1,2
robar,0,1,1,0,2
verdad,1,0,0,1,2
hijo,0,1,1,0,2
aproximadamente,1,1,0,0,2
salir,1,0,1,0,2
vivir,0,1,0,1,2
falta,1,1,0,0,2
gustar,0,0,1,1,2
cuando,0,1,1,0,2
opción,1,0,1,0,2
madre,0,1,0,1,2
hasta,1,0,1,0,2
libre,1,0,0,1,2
igualmente,1,0,0,1,2
convertir,1,0,0,1,2
derecho,1,1,0,0,2
además,1,1,0,0,2
después,1,0,1,0,2
manera,1,1,0,0,2
duda,1,1,0,0,2
pedir,0,0,1,1,2
mujer,0,1,0,1,2
obligar,0,1,1,0,2
ofrecer,1,1,0,0,2
hacia,1,1,0,0,2
sin,1,1,0,0,2
bajo,0,1,1,0,2
