Lemma,EKE1_1,EKE1_2,EKE1_3,EKE1_4,Total
el,44,54,38,56,192
de,26,32,26,44,128
él,21,10,7,13,51
a,20,10,6,9,45
y,16,10,7,12,45
que,10,13,7,14,44
en,14,6,6,12,38
uno,11,3,3,17,34
haber,5,5,3,10,23
para,7,8,1,2,18
por,5,4,3,4,16
ser,5,5,3,3,16
no,3,4,1,3,11
su,5,2,0,3,10
este,1,4,0,4,9
con,2,2,3,1,8
sistema,5,0,2,1,8
como,1,2,2,2,7
historia,1,2,0,4,7
más,2,3,0,2,7
sin,3,2,1,1,7
persona,3,1,1,2,7
mundo,2,0,1,3,6
público,0,1,0,4,5
poder,0,1,3,1,5
encontrar,2,0,1,2,5
mucho,2,2,0,1,5
económico,1,1,3,0,5
permitir,1,0,1,2,4
estar,1,1,0,2,4
catástrofe,0,3,1,0,4
deber,2,1,1,0,4
ese,0,1,3,0,4
otro,3,0,0,1,4
efecto,0,1,3,0,4
tratar,1,0,0,3,4
vivir,1,0,1,2,4
acuerdo,0,0,1,2,3
estrategia,1,0,2,0,3
hacer,0,2,0,1,3
si,1,0,0,2,3
mientras,0,1,0,2,3
forma,0,1,1,1,3
natural,0,2,1,0,3
o,1,1,1,0,3
resultado,0,1,1,1,3
alguno,0,0,1,2,3
nuestro,1,0,2,0,3
ya,2,0,1,0,3
incluir,0,1,2,0,3
embargo,1,0,1,1,3
factor,1,1,1,0,3
recurso,0,2,1,0,3
grupo,1,1,0,1,3
parte,2,0,1,0,3
medio,0,1,0,1,2
población,0,1,0,1,2
estados,1,1,0,0,2
además,0,1,1,0,2
yo,0,1,1,0,2
cambiar,1,0,1,0,2
crecer,0,1,1,0,2
necesitar,1,1,0,0,2
lograr,1,0,0,1,2
europea,1,0,1,0,2
respuesta,0,1,0,1,2
millón,0,1,1,0,2
año,0,1,0,1,2
gran,1,0,0,1,2
través,1,0,0,1,2
adaptar,0,0,1,1,2
unión,1,0,1,0,2
basar,1,0,0,1,2
desarrollar,1,0,0,1,2
aumento,0,1,1,0,2
claramente,1,0,1,0,2
cercano,0,1,0,1,2
dejar,1,1,0,0,2
desierto,1,1,0,0,2
impedir,1,1,0,0,2
atención,0,1,0,1,2
día,1,0,1,0,2
crisis,0,1,1,0,2
relacionado,0,1,1,0,2
solución,1,0,0,1,2
unidos,1,1,0,0,2
cuando,1,0,0,1,2
asumir,1,0,1,0,2
tanto,0,0,1,1,2
país,1,1,0,0,2
éxito,0,1,0,1,2
ahora,0,1,0,1,2
estado,0,1,0,1,2
escapar,0,1,0,1,2
naturaleza,1,0,0,1,2
vista,1,0,1,0,2
tierra,1,1,0,0,2
mantener,0,1,0,1,2
significar,1,0,1,0,2
