Lemma,IDO1_1,IDO1_2,IDO1_3,IDO1_4,Total
el,30,59,45,23,157
que,38,22,10,31,101
de,12,30,32,19,93
él,15,21,19,18,73
uno,16,19,18,14,67
a,15,16,13,16,60
y,9,14,14,20,57
ser,15,13,10,11,49
en,17,10,6,4,37
su,7,11,8,7,33
haber,12,7,4,8,31
por,8,10,9,2,29
poder,6,11,3,2,22
este,14,5,1,1,21
para,2,6,3,9,20
tu,0,1,0,18,19
no,3,5,1,8,17
vez,5,3,4,4,16
hacer,5,4,3,2,14
estar,3,5,3,3,14
si,4,4,1,5,14
persona,11,0,0,2,13
pero,2,4,4,2,12
o,6,2,0,3,11
más,3,4,2,2,11
con,0,1,4,5,10
lugar,9,1,0,0,10
ver,0,4,0,5,9
otro,6,0,3,0,9
tener,4,2,1,2,9
llegar,1,3,2,2,8
vida,3,1,3,1,8
criminal,6,0,1,0,7
como,0,3,1,3,7
casa,0,5,0,2,7
porque,2,2,1,2,7
mismo,3,1,1,2,7
querer,0,0,2,4,6
dar,0,4,1,1,6
mucho,4,1,1,0,6
todo,1,3,0,2,6
allí,3,1,1,1,6
dos,3,0,2,1,6
cuando,0,4,1,0,5
lado,0,4,0,1,5
poner,1,2,2,0,5
solo,0,1,2,2,5
coche,0,3,0,1,4
tanto,1,1,0,2,4
donde,0,1,3,0,4
asesino,3,1,0,0,4
hombre,0,1,3,0,4
pensar,2,1,0,1,4
saber,1,0,0,3,4
nuevo,0,0,3,1,4
hasta,0,0,2,2,4
alguno,1,2,1,0,4
crimen,2,0,2,0,4
después,0,2,1,1,4
algo,3,0,0,1,4
razón,2,2,0,0,4
tiempo,2,1,0,0,3
traer,2,1,0,0,3
casi,0,0,2,1,3
final,0,0,2,1,3
matar,0,1,2,0,3
cuenta,0,1,0,2,3
ir,1,0,0,2,3
ya,2,1,0,0,3
intenso,0,0,1,2,3
momento,0,0,1,2,3
sin,0,1,1,1,3
cometer,2,0,1,0,3
puesto,0,0,2,1,3
amor,0,0,2,1,3
mientras,0,1,1,1,3
hablar,1,0,0,2,3
particularmente,0,1,1,1,3
gracias,0,1,1,1,3
también,2,0,1,0,3
primero,2,0,0,1,3
seguro,1,2,0,0,3
acto,0,0,1,1,2
modo,1,1,0,0,2
normal,1,0,1,0,2
cualquiera,1,1,0,0,2
real,1,0,0,1,2
aún,0,0,1,1,2
nombre,0,0,1,1,2
encontrar,1,0,1,0,2
utilizar,0,1,1,0,2
cual,1,0,0,1,2
sobrevivir,1,0,1,0,2
error,1,1,0,0,2
episodio,1,0,1,0,2
totalmente,0,0,1,1,2
lleno,1,0,0,1,2
sí,1,0,0,1,2
propio,0,1,0,1,2
quizás,1,1,0,0,2
decidir,0,1,1,0,2
motivación,1,0,1,0,2
universidad,0,0,1,1,2
tarde,0,1,0,1,2
siempre,0,1,0,1,2
vivir,0,0,1,1,2
atacar,1,1,0,0,2
analizar,0,1,1,0,2
ese,1,0,1,0,2
ignorar,1,0,0,1,2
viento,0,1,0,1,2
enamorada,0,0,1,1,2
celda,1,0,1,0,2
pasar,1,1,0,0,2
serie,0,0,1,1,2
tres,0,1,1,0,2
comenzar,0,1,1,0,2
obtener,0,0,1,1,2
segundo,1,0,0,1,2
mente,1,1,0,0,2
hacia,0,1,1,0,2
lograr,0,0,1,1,2
