Lemma,IHL2_1,IHL2_2,IHL2_3,IHL2_4,Total
el,75,58,49,75,257
de,40,38,22,54,154
que,25,31,21,22,99
en,18,17,8,13,56
uno,15,15,7,17,54
y,14,17,6,9,46
ser,12,13,10,9,44
él,11,18,5,7,41
a,12,10,5,10,37
haber,5,11,5,12,33
para,9,6,6,4,25
su,4,3,5,8,20
no,7,7,5,0,19
este,4,9,1,2,16
más,6,5,1,3,15
tener,4,4,5,2,15
con,6,3,3,3,15
por,3,7,1,4,15
país,5,2,4,0,11
poder,3,4,2,0,9
mundo,3,1,5,0,9
como,6,1,1,1,9
vida,4,1,0,2,7
mismo,1,1,0,5,7
estar,3,1,1,2,7
hacer,0,2,3,1,6
tasa,5,1,0,0,6
ver,1,2,2,0,5
poner,2,1,1,1,5
persona,3,1,0,1,5
todo,1,1,2,1,5
ciudad,0,3,0,2,5
sobre,1,2,0,1,4
norte,0,3,0,1,4
dos,1,1,1,1,4
año,0,1,1,2,4
sino,1,1,2,0,4
quedar,0,2,1,1,4
nuevo,0,3,1,0,4
primero,0,0,2,2,4
mejor,1,1,2,0,4
si,3,0,1,0,4
antiguo,0,0,2,2,4
magnitud,0,2,1,0,3
último,0,2,0,1,3
desigualdad,2,0,1,0,3
después,0,0,1,2,3
resultado,2,0,0,1,3
también,2,0,0,1,3
cuanto,0,1,1,1,3
historia,0,2,1,0,3
valer,1,1,1,0,3
aprender,1,2,0,0,3
sin,0,2,1,0,3
parecer,1,0,1,1,3
construir,1,2,0,0,3
manera,1,0,2,0,3
encontrar,0,0,1,2,3
pena,2,0,1,0,3
mientras,0,0,1,2,3
pasado,0,0,1,2,3
ir,1,2,0,0,3
decir,0,0,1,2,3
interés,1,0,0,1,2
yo,0,1,0,1,2
evitar,1,1,0,0,2
concluir,1,0,1,0,2
provocar,1,1,0,0,2
e,0,0,1,1,2
menos,1,1,0,0,2
consecuencia,1,0,1,0,2
ambos,1,0,0,1,2
severo,1,1,0,0,2
además,1,0,1,0,2
relieve,0,1,1,0,2
separar,1,1,0,0,2
proveer,1,0,1,0,2
argumento,1,0,1,0,2
punto,0,1,1,0,2
indicar,0,0,1,1,2
obstante,0,1,1,0,2
cómo,0,1,1,0,2
según,0,0,1,1,2
valor,0,0,1,1,2
prevenir,1,1,0,0,2
destacar,1,0,1,0,2
rusia,1,0,1,0,2
desarrollo,0,0,1,1,2
oportunidad,1,0,1,0,2
sufrir,0,1,1,0,2
seguir,1,0,1,0,2
fin,1,0,0,1,2
trabajo,0,0,1,1,2
qué,1,1,0,0,2
facilitar,1,0,1,0,2
considerar,1,1,0,0,2
solo,0,0,1,1,2
prueba,0,1,0,1,2
público,1,1,0,0,2
nada,0,1,1,0,2
ciudadano,1,0,0,1,2
existir,1,0,1,0,2
cada,1,1,0,0,2
algo,0,1,1,0,2
seguro,1,1,0,0,2
necesario,1,0,1,0,2
siglo,0,1,0,1,2
volver,1,1,0,0,2
formar,0,0,1,1,2
desde,0,1,1,0,2
actual,1,0,1,0,2
posible,0,1,1,0,2
