Lemma,RPI1_1,RPI1_2,RPI1_3,RPI1_4,Total
el,112,83,60,53,308
de,63,48,28,46,185
que,47,31,21,14,113
uno,29,19,18,7,73
a,22,20,12,17,71
ser,31,16,16,8,71
en,19,15,12,15,61
él,22,23,10,5,60
y,13,20,7,15,55
haber,3,15,9,22,49
su,7,11,2,18,38
para,17,4,5,2,28
este,11,9,1,6,27
como,11,5,8,2,26
por,5,7,9,4,25
con,10,6,1,7,24
no,10,5,3,5,23
poder,12,8,0,1,21
más,4,9,2,1,16
sistema,11,0,3,0,14
año,1,10,0,1,12
hacer,3,5,1,2,11
mucho,4,1,3,3,11
estar,2,3,0,6,11
sobre,0,3,7,1,11
tener,7,1,2,1,11
vez,6,3,0,1,10
manera,6,2,0,2,10
sin,3,1,3,3,10
otro,6,3,0,1,10
ver,3,3,1,2,9
cual,3,4,1,1,9
nuestro,1,3,4,0,8
o,6,0,2,0,8
decir,4,1,3,0,8
social,6,0,0,2,8
cambio,3,5,0,0,8
mujer,0,3,0,4,7
deber,4,3,0,0,7
solo,4,3,0,0,7
ya,3,4,0,0,7
tiempo,2,1,2,1,6
embargo,1,1,3,1,6
crisis,0,1,5,0,6
mismo,3,1,0,2,6
comunidad,0,4,0,2,6
antes,4,2,0,0,6
forma,3,1,1,0,5
contribuir,3,1,1,0,5
sociedad,2,0,3,0,5
tal,2,1,1,1,5
todo,1,4,0,0,5
después,1,2,0,2,5
sentir,2,2,0,1,5
menos,3,2,0,0,5
todavía,1,2,1,1,5
casa,0,1,0,4,5
donde,2,1,1,1,5
comentar,0,1,3,0,4
palabra,2,1,0,1,4
entorno,3,1,0,0,4
aquel,3,0,0,1,4
parte,3,0,0,1,4
conocimiento,2,1,1,0,4
dejar,1,1,0,2,4
tanto,1,0,2,1,4
llegar,2,1,0,1,4
pasado,1,0,3,0,4
animal,2,2,0,0,4
hablar,1,3,0,0,4
prevenir,3,1,0,0,4
mes,0,2,0,2,4
mundo,1,2,1,0,4
gente,2,2,0,0,4
mi,0,1,2,1,4
además,1,0,2,1,4
situación,2,1,1,0,4
cuando,1,2,0,0,3
seguridad,2,0,0,1,3
durante,1,1,0,1,3
cantidad,0,2,0,1,3
llevar,0,1,0,2,3
tendencia,1,0,1,1,3
siempre,0,1,2,0,3
permanecer,0,2,0,1,3
respecto,0,1,1,1,3
pasar,1,2,0,0,3
nunca,1,1,0,1,3
cuanto,0,1,2,0,3
capacidad,2,0,1,0,3
sustancial,1,1,0,1,3
alto,1,2,0,0,3
persona,0,0,1,2,3
considerar,2,0,1,0,3
estado,2,0,0,1,3
psicología,2,0,1,0,3
poco,2,0,0,1,3
causado,0,1,2,0,3
utilizar,2,0,0,1,3
mayoría,1,0,0,2,3
alguno,1,0,0,2,3
detener,2,0,0,1,3
algo,1,1,0,1,3
si,2,0,1,0,3
aunque,2,0,0,1,3
igual,0,1,1,1,3
inquietante,0,1,1,0,2
propio,1,0,1,0,2
obstante,1,0,0,1,2
compartir,1,0,0,1,2
largo,1,0,1,0,2
mundial,0,1,1,0,2
adaptar,1,0,1,0,2
convertir,0,1,0,1,2
supervisión,1,0,0,1,2
demostrar,1,1,0,0,2
casi,0,1,1,0,2
peor,1,1,0,0,2
futuro,0,1,1,0,2
vida,1,0,1,0,2
signo,1,0,0,1,2
afectar,1,1,0,0,2
primordial,1,0,1,0,2
establecer,1,0,0,1,2
realizar,0,1,0,1,2
antedicho,0,1,1,0,2
idea,1,0,1,0,2
madre,0,1,0,1,2
lograr,0,1,1,0,2
vinieron,0,1,0,1,2
implicar,1,1,0,0,2
conducir,0,1,1,0,2
también,0,1,0,1,2
pero,0,1,0,1,2
desde,0,1,0,1,2
dar,0,0,1,1,2
principal,0,0,1,1,2
vicioso,0,1,1,0,2
violencia,1,0,0,1,2
pueblo,0,1,0,1,2
ejemplo,1,0,1,0,2
fuerza,0,1,0,1,2
funcionar,1,0,1,0,2
mientras,0,0,1,1,2
afirmar,1,1,0,0,2
conclusión,1,1,0,0,2
humano,1,0,1,0,2
debate,1,1,0,0,2
bajo,1,0,0,1,2
conmovedor,0,1,0,1,2
profundo,1,1,0,0,2
torno,0,1,0,1,2
nivel,0,1,1,0,2
existir,1,0,1,0,2
sino,1,0,1,0,2
yo,1,0,0,1,2
nuevo,0,1,1,0,2
humanos,1,0,1,0,2
imaginar,0,1,0,1,2
ir,0,1,1,0,2
perjudicial,1,0,1,0,2
suceder,1,1,0,0,2
alarmante,0,1,0,1,2
buen,1,1,0,0,2
mejorar,1,0,1,0,2
antiguo,0,1,0,1,2
