Group,Title,docs_to_search,error,error_item,error_context,error_reps,solution_item,solution_context,pass_solution_reps,fail_solution_reps
CJK1,CJK1_1,"['CJK1_2', 'CJK1_3', 'CJK1_4']","(con) [de] ella, suelen seguirse métodos que aumentan el bienestar dentro de la prisión",con,"CJK1_2 - con
>> Esto , combinado con las condiciones naturales
>> fue elegido junto con sus promesas electorales

CJK1_3 - con
>> Con los ciudadanos llenos
>> trabajo , discordias con sus colegas y
>> es un supervillano con poderes sobrenaturales ,

CJK1_4 - con
>> casos de flaming con tanta facilidad ?
>> derechista , junto con el racismo ,
>> a mi habitación con una espada de
>> es importante socializar con otros fuera de
>> que permita interactuar con gente diferente seguramente

",0,de,"CJK1_2 - de
>> Mircale de el Río Han
>> en la vida de el pueblo coreano
>> , en lugar de ser un natural
>> la causa principal de la proliferación de
>> poder el gobierno de izquierda dirigido por
>> una inspección intensiva de el PCRP ,
>> que el flujo de agua se ralentiza
>> las condiciones naturales de humedad , creaba
>> que la superpoblación de algas podría afectar
>> que existen detrás de el PCRP .
>> y la Guerra de Corea ( 1950
>> Tras dos gobiernos de izquierda , dirigidos
>> electorales , algunas de las cuales tomaban
>> Hasta el día de hoy , se
>> que la politización de las cuestiones medioambientales
>> Aunque estoy de acuerdo que la

CJK1_3 - de
>> sobre el disturbio de Gotham
>> por la máscara de payaso de pelo
>> tras la intervención de las fuerzas policiales
>> los ciudadanos llenos de miedo por el
>> que el líder de los disturbios ,
>> en la agencia de payasos , comentó
>> en la desaparición de otros 2 compañeros
>> Dumond , vecina de el Sr .
>> que se comportaba de forma muy sospechosa
>> desde la consejera de el Sr .
>> , quien informó de que los síntomas
>> a la escasez de presupuestos de asistencia
>> debería tolerar se de ninguna manera ,
>> , el estallido de los disturbios no
>> sistemas y reglamentos de asistencia social .

CJK1_4 - de
>> por Wayne Rooney de el mismo equipo
>> A partir de esto , podemos
>> encontrar estos casos de flaming con tanta
>> fácil abusar lingüísticamente de los demás sin
>> distanciar se constantemente de las redes sociales
>> que es comestible de lo que te
>> no soy partidario de Donald Trump )
>> que , antes de difundir lo a
>> o los vídeos de Youtube no son
>> a los acaparadores de atención en Internet
>> deberías ser uno de ellos .
>> Los buscadores de atención no son
>> piensa siempre antes de escribir , y
>> su "" vida de ensueño "" .
>> , sino fotos de sí mismas cuidadosamente
>> devore el pensamiento de inferioridad , puedes
>> ( especialmente las de videojuegos ) insultar
>> El exceso de normalidad siempre es
>> sea tan sensible de repente , sino
>> a el escenario de la adicción a
>> mantener se alejado de internet a el
>> , que es de mala reputación por
>> una "" trampa de osos invertida ""
>> controle el uso de tu ordenador o
>> que preocupar me de ser adicto porque
>> las 24 horas de el día hace
>> con otros fuera de línea de vez
>> Formar parte de un equipo deportivo

",1,0
CJK1,CJK1_1,"['CJK1_2', 'CJK1_3', 'CJK1_4']",y luego (hacer cumplidos) [tomar medidas] adicionales en la perspectiva del criminal,hacer cumplidos,,0,tomar medidas,"CJK1_4 - tomar medidas
>> veces es necesario tomar medidas físicas para superar

",1,0
CJK1,CJK1_1,"['CJK1_2', 'CJK1_3', 'CJK1_4']",debido a que tal perspectiva (establece altos valores en) [pone en alto valor] los derechos humanos,establece altos valores en,,0,pone en alto valor,,0,0
CJK1,CJK1_1,"['CJK1_2', 'CJK1_3', 'CJK1_4']",las prioridades entre ambas [opciones] pueden diferir,,,0,opciones,,0,0
CJK1,CJK1_1,"['CJK1_2', 'CJK1_3', 'CJK1_4']",la función de la cárcel es reducir la (ocurrencia) [incidencia] de crímenes,ocurrencia,,0,incidencia,,0,0
CJK1,CJK1_1,"['CJK1_2', 'CJK1_3', 'CJK1_4']",la función de la cárcel es reducir la incidencia de (crimines) [crímenes],crimines,,0,crímenes,,0,0
CJK1,CJK1_1,"['CJK1_2', 'CJK1_3', 'CJK1_4']",estas medidas han llevado a la situación (en) [de] que algunos criminales,en,"CJK1_2 - en
>> , se formaron en torno a grandes
>> un importante significado en la vida de
>> Sin embargo , en lugar de ser
>> proliferación de algas en los ríos coreanos
>> agua se ralentiza en ciertas regiones de
>> Para profundizar en este problema ,
>> En la 14a elección
>> por su fracaso en el progreso económico

CJK1_3 - en
>> violenta revuelta estalló en Gotham City ,
>> residentes que permanecieran en el interior durante
>> de el homicidio en el metro hace
>> fue su agente en la agencia de
>> Fleck está implicado en la desaparición de
>> siguen desaparecidos hoy en día .
>> forma muy sospechosa en los últimos días
>> de asistencia social en la clínica pública
>> que ha sucedido en Gotham City es
>> Según los expertos en sociología y criminología
>> El reciente terrorismo en Gotham City fue
>> hay que tener en cuenta que el

CJK1_4 - en
>> las emociones negativas en el ciberespacio no
>> cuando se sumerge en el ciberespacio .
>> comprobar los hechos en una fuente fiable
>> Incluso en la vida real
>> acaparadores de atención en Internet , porque
>> , se convierten en uno sin saber
>> En Internet , especialmente
>> que tienen actualmente en sus vidas .
>> puedes convertir te en el próximo Flammer
>> Los demás en las redes sociales
>> empieces a insultar en primer lugar .
>> utilizan muy fácilmente en Internet .
>> evitar convertir me en un adicto a
>> Por ejemplo , en Corea , hay
>> veo su enlace en mi pantalla ,
>> Cuando estaba en el instituto ,
>> Conviértete en Jigsaw , ponte
>> tenía una aplicación en la vida real
>> Estar en línea las 24
>> En su lugar ,
>> línea de vez en cuando .

",0,de,"CJK1_2 - de
>> Mircale de el Río Han
>> en la vida de el pueblo coreano
>> , en lugar de ser un natural
>> la causa principal de la proliferación de
>> poder el gobierno de izquierda dirigido por
>> una inspección intensiva de el PCRP ,
>> que el flujo de agua se ralentiza
>> las condiciones naturales de humedad , creaba
>> que la superpoblación de algas podría afectar
>> que existen detrás de el PCRP .
>> y la Guerra de Corea ( 1950
>> Tras dos gobiernos de izquierda , dirigidos
>> electorales , algunas de las cuales tomaban
>> Hasta el día de hoy , se
>> que la politización de las cuestiones medioambientales
>> Aunque estoy de acuerdo que la

CJK1_3 - de
>> sobre el disturbio de Gotham
>> por la máscara de payaso de pelo
>> tras la intervención de las fuerzas policiales
>> los ciudadanos llenos de miedo por el
>> que el líder de los disturbios ,
>> en la agencia de payasos , comentó
>> en la desaparición de otros 2 compañeros
>> Dumond , vecina de el Sr .
>> que se comportaba de forma muy sospechosa
>> desde la consejera de el Sr .
>> , quien informó de que los síntomas
>> a la escasez de presupuestos de asistencia
>> debería tolerar se de ninguna manera ,
>> , el estallido de los disturbios no
>> sistemas y reglamentos de asistencia social .

CJK1_4 - de
>> por Wayne Rooney de el mismo equipo
>> A partir de esto , podemos
>> encontrar estos casos de flaming con tanta
>> fácil abusar lingüísticamente de los demás sin
>> distanciar se constantemente de las redes sociales
>> que es comestible de lo que te
>> no soy partidario de Donald Trump )
>> que , antes de difundir lo a
>> o los vídeos de Youtube no son
>> a los acaparadores de atención en Internet
>> deberías ser uno de ellos .
>> Los buscadores de atención no son
>> piensa siempre antes de escribir , y
>> su "" vida de ensueño "" .
>> , sino fotos de sí mismas cuidadosamente
>> devore el pensamiento de inferioridad , puedes
>> ( especialmente las de videojuegos ) insultar
>> El exceso de normalidad siempre es
>> sea tan sensible de repente , sino
>> a el escenario de la adicción a
>> mantener se alejado de internet a el
>> , que es de mala reputación por
>> una "" trampa de osos invertida ""
>> controle el uso de tu ordenador o
>> que preocupar me de ser adicto porque
>> las 24 horas de el día hace
>> con otros fuera de línea de vez
>> Formar parte de un equipo deportivo

",1,0
CJK1,CJK1_1,"['CJK1_2', 'CJK1_3', 'CJK1_4']",algunos criminales (sean) [acepten ser] encarcelados a propósito,sean,"CJK1_2 - sean
>> Corea no es una excepción ,
>> , estos ríos son famosos por volver
>> en lugar de ser un natural verde
>> presidenta Geun-hye Park fue impugnado por mala
>> el presidente Lee fue elegido junto con
>> coreano no haya sido un motivo tan
>> ¿ Cuáles fueron los resultados ?
>> que la politización es un buen método

CJK1_3 - sean
>> , Joker , era Arthur Fleck ,
>> Hoyt , que fue su agente en
>> Fleck era algo imprevisible ""
>> en Gotham City es realmente trágico y
>> los disturbios no fue causado únicamente por
>> en Gotham City fue un acontecimiento trágico
>> Fleck , no es un supervillano con
>> Ahora puede que sea un buen momento

CJK1_4 - sean
>> ver fácilmente que ser demasiado expresivo sobre
>> Es una buena idea
>> El ciberespacio es como la jungla
>> falsas ( no soy partidario de Donald
>> demás , puede ser una buena idea
>> de Youtube no son las únicas cosas
>> veces , puede ser un ser humano
>> Así es como debes tratar
>> mismo no deberías ser uno de ellos
>> de atención no son personas de nacimiento
>> , para evitar ser uno , piensa
>> El narcisismo es imprescindible
>> Es importante recordar que
>> otros usuarios no son bots !
>> El respeto no es algo para la
>> y maltratar otros son sus comportamientos naturales
>> Si son ellos los que
>> de normalidad siempre es una mala idea
>> qué la gente es triggered tan fácilmente
>> No es porque todo el
>> Obviamente , sea bueno o malo
>> Aunque sea imposible ( y
>> ) , que es de mala reputación
>> Lo más sencillo es lo mejor
>> A veces es necesario tomar medidas
>> método anterior no es posible , descárgate
>> Cuando era joven , nunca
>> Pero ahora somos adultos , así
>> hace que uno sea algo antisocial .
>> mentalidad sana , es importante socializar con

",0,acepten ser,,0,0
CJK1,CJK1_1,"['CJK1_2', 'CJK1_3', 'CJK1_4']",es importante imponer un castigo [lo] (suficiente) [suficientemente severo] al criminal,suficiente,,0,"lo, suficientemente severo","CJK1_2 - lo
>> , históricamente , se formaron en torno
>> famosos por volver se verdes .
>> PCRP , que se había ejecutado durante
>> flujo de agua se ralentiza en ciertas
>> de algas , lo que provocó la
>> Además , se ha demostrado científicamente
>> por qué no se señalaron estos problemas
>> elección presidencial , se estableció el primer
>> respectivamente , muchos se sentían decepcionados por
>> presidente Lee , se gastaron 22 billones
>> de hoy , se están llevando a
>> Por lo tanto , desde
>> nunca debe tratar se como un peldaño

CJK1_3 - lo
>> Aunque la situación se ha resuelto tras
>> Además , se ha descubierto que
>> nos dijo que se comportaba de forma
>> que "" aunque lo que ha sucedido
>> ¿ podría evitar se la tragedia ?
>> momento para replantear se nuestros sistemas y

CJK1_4 - lo
>> tiende a volver se extremadamente emocional cuando
>> responsabilidad social , lo que hace aún
>> buena idea distanciar se constantemente de las
>> Para ello , sigue estos
>> aprender a distinguir lo que es comestible
>> los phish , lo que sea ,
>> antes de difundir lo a los demás
>> , a veces se ven lunáticos en
>> , más felices se vuelven .
>> ser uno de ellos .
>> de nacimiento , se convierten en uno
>> hace que otros se sientan mal por
>> menudo , esto se olvida , y
>> Si son ellos los que han
>> los términos normalizadores se utilizan muy fácilmente
>> Lo mismo puede aplicar
>> recomendable ) mantener se alejado de internet
>> , 일간베스 트( Lo mejor diario )
>> mi pantalla , lo evito lo antes
>> Lo más sencillo es
>> no puedas alcanzar lo cuando estés trabajando
>> digo que hagas lo mismo , pero
>> aprender a hacer lo por nosotros mismos

",1,0
CJK1,CJK1_1,"['CJK1_2', 'CJK1_3', 'CJK1_4']",aunque aliviar (del) [el] dolor pueda parecer irrelevante,del,"CJK1_2 - de el
>> Mircale de el Río Han ,
>> muchos supuestos sobre la causa principal de la
>> inspección intensiva de el PCRP , que

CJK1_3 - de el
>> ha descubierto que el líder de los
>> , vecina de el Sr .
>> comentarios similares desde la consejera de el
>> informó de que los síntomas de el

CJK1_4 - de el
>> se constantemente de las redes sociales ,
",0,el,"CJK1_2 - el
>> Mircale de el Río Han ,
>> Las civilizaciones humanas ,
>> , ya que los cuatro ríos principales
>> normalmente visto en la naturaleza , adquieren
>> muchos supuestos sobre la causa principal de
>> 2017 , cuando la presidenta Geun-hye Park
>> inspección intensiva de el PCRP , que
>> Según las inspecciones , el
>> , combinado con las condiciones naturales de
>> demostrado científicamente que la superpoblación de algas
>> estos problemas durante las presidencias anteriores ?
>> , debemos comprender las razones económicas y
>> Desde la Segunda Guerra Mundial
>> En la 14a elección presidencial
>> su fracaso en el progreso económico y
>> este motivo , el presidente Lee fue
>> Aunque el Nuevo Trato coreano
>> ¿ Cuáles fueron los resultados ?
>> graves contaminaciones a la madre naturaleza .
>> Hasta el día de hoy
>> ) aprender que la politización de las
>> de acuerdo que la politización es un

CJK1_3 - el
>> nuevo perspectivo sobre el disturbio de Gotham
>> Los revoltosos , representados
>> Aunque la situación se ha
>> Con los ciudadanos llenos de
>> ha descubierto que el líder de los
>> su agente en la agencia de payasos
>> una pistola a el trabajo , discordias
>> También sospecha que el Sr .
>> está implicado en la desaparición de otros
>> , vecina de el Sr .
>> muy sospechosa en los últimos días ,
>> , y a el día siguiente ,
>> comentarios similares desde la consejera de el
>> informó de que los síntomas de el
>> a empeorar a el no poder recibir
>> ninguna manera , los programas de asistencia
>> Según los expertos en sociología
>> El reciente terrorismo en
>> en cuenta que el principal culpable ,
>> y financiación para los necesitados , ¿

CJK1_4 - el
>> El famoso exfutbolista y
>> Tras el controvertido twit realizado
>> demasiado expresivo sobre las emociones negativas en
>> Porque la gente tiende a
>> Además , el anonimato descarga la
>> se constantemente de las redes sociales ,
>> El ciberespacio es como
>> Las noticias falsas (
>> difundir lo a los demás , puede
>> Los sitios webs o
>> Incluso en la vida real ,
>> debes tratar a los acaparadores de atención
>> Los buscadores de atención
>> El narcisismo es imprescindible
>> que te devore el pensamiento de inferioridad
>> Sorpresa , ¡ los otros usuarios no
>> El respeto no es
>> Los demás en las
>> online ( especialmente las de videojuegos )
>> Si son ellos los que han empezado
>> El exceso de normalidad
>> ¿ Por qué la gente es triggered
>> es porque todo el mundo sea tan
>> como "" todos los hombres/mujeres son ...
>> un adicto a el tabaco ?
>> aplicar se a el escenario de la
>> de internet a el 100% , algunas
>> , junto con el racismo , el
>> físicas para superar la adicción a Internet
>> Cuando estaba en el instituto , sustituí
>> pero eliminar físicamente la causa sí que
>> Si el método anterior no
>> una aplicación en la vida real ,
>> Estar en línea las 24 horas de

",3,0
