Group,Title,docs_to_search,error,error_item,error_context,error_reps,solution_item,solution_context,pass_solution_reps,fail_solution_reps
FLL1,FLL1_1,"['FLL1_2', 'FLL1_3', 'FLL1_4']","las tres (R) [erres], que son: reinserción, regeneración y rehabilitación",R,,0,erres,,0,0
FLL1,FLL1_1,"['FLL1_2', 'FLL1_3', 'FLL1_4']",pero [yo] estoy de acuerdo con la idea que propone Jero,,,0,yo,"FLL1_3 - yo
>> siglo , como nos lo dice ella
>> , que no nos permite conocer las
>> lugar , ella nos habla de Adam
>> , la conferenciante nos da su opinión
>> tenemos que esforzar nos por reflexionar todos

FLL1_4 - yo
>> las respuestas que nos daron , con

",0,0
FLL1,FLL1_1,"['FLL1_2', 'FLL1_3', 'FLL1_4']","cuando alguien anda en el mal camino, lo más probable es que (acaben) [acabe] en la cárcel",acaben,"FLL1_2 - acaben
>> , cuyo padre acababa de morir y

",0,acabe,"FLL1_2 - acabe
>> , cuyo padre acababa de morir y

",0,0
FLL1,FLL1_1,"['FLL1_2', 'FLL1_3', 'FLL1_4']",(el) [lo] más probable es que acabe en la cárcel,el,"FLL1_2 - el
>> marido para heredar el reino de su
>> Ya que en el pasado , las
>> estaban enamorados de la bonita princesa Diana
>> El Lord James era
>> estaba enamorado de la princesa Diana desde
>> casar se con la princesa para tener
>> su amor por la linda princesa ,
>> Era el más bonito diamante
>> de verdad a la princesa Diana ?
>> sea dar le la Luna si es
>> El niño , convencido
>> ayudar a robar el diamante para tu
>> La mejor manera para
>> pueden aparecer en las alcantarillas después de
>> Sin embargo , el joven caballero Felipe
>> No obstante , el Lord James ,
>> noche entró en las cloacas por la
>> princesa haré hasta el imposible ! ""
>> permitió llegar hasta el diamante y robar
>> Felipe buscó a la princesa Diana para
>> estaba sentada en el columpio de el

FLL1_3 - el
>> La conferenciante ha tratado
>> hace referencia a el constato de el
>> en África , el comercio se ha
>> El desafío de nuestro
>> Sin embargo las crisis financieras que
>> La FMI ha constatado
>> No obstante , la desregulación iniciada en
>> , que estudió las riquezas y las
>> Además , la conferenciante nos da
>> y incluir a los estudiantes de economía
>> No obstante , la FMI puede desempeñar
>> En conclusión , la pregunta de Karl
>> nuestro mundo en el que vivimos ,

FLL1_4 - el
>> ha vuelto a la vida gracias a
>> El viernes pasado en
>> un profesor de la Universidad de Pompeu
>> El hombre que estaba
>> Tanto el personal de la
>> mucho ruido en la sala científica de
>> El niño lo han
>> gran sensación porque la Universidad de Pompeu
>> de esta declaración el niño fue colocado
>> Sin embargo , los niños de el
>> colgaron fotos de el niño de madera
>> No obstante , la opinión pública reaccionó
>> ejercieron presión sobre los asistentes sociales para

",1,lo,"FLL1_2 - lo
>> sólo quería casar se con la princesa
>> fin de mostrar le su amor por
>> sabía que a ella le encantaban los
>> un niño mago le dijo a Felipe
>> estoy pensando en ella .
>> cualquier cosa por ella , aunque sea
>> princesa Diana , le respondió :
>> manera para robar lo sin que nadie
>> , decidió echar se una siesta antes
>> , escuchó todo lo que había dicho
>> horas , Felipe se levantó bien descansado
>> Felipe se dijo en voz
>> Eso le permitió llegar hasta
>> Diana para ofrecer le el diamante ,
>> Ella estaba sentada en
>> Felipe le ofreció su prueba
>> Decidieron casar se , y un

FLL1_3 - lo
>> primer lugar , ella hace referencia a
>> , el comercio se ha reducido durante
>> , como nos lo dice ella ,
>> segundo lugar , ella nos habla de
>> depende de cómo se maneje , es
>> hay que modelar lo políticamente y incluir
>> que nos hace ella , de unir

FLL1_4 - lo
>> un muñeco casi se convirtió en un
>> algo fuera de lo normal .
>> un profesor que se llama Jose Guiseppe
>> El niño lo han llamado ""
>> no podemos dejar le el niño ""
>> de Pinocho y lo pusieron en la
>> verdadera familia , lo que quería de

",3,0
FLL1,FLL1_1,"['FLL1_2', 'FLL1_3', 'FLL1_4']",porque ha entendido que ha hecho algo malo y (que) quiere salir de la cárcel para vivir una vida,que,"FLL1_2 - que
>> morir y tenía que encontrar a un
>> Ya que en el pasado
>> había dos hombres que estaban enamorados de
>> pero rico , que tenía muchos castillos
>> infancia , ya que crecieron juntos en
>> diamante muy escaso que solo se encontraba
>> princesa y sabía que a ella le
>> Es que cada día ,
>> si es lo que quiere , lo
>> , convencido de que Felipe amaba de
>> robar lo sin que nadie lo sepa
>> vas a tener que irte , porque
>> escuchó todo lo que había dicho el
>> problema , ya que el Lord James
>> Así que Felipe buscó a
>> para mostrar le que ella también lo
>> y es así que fueron felices y

FLL1_3 - que
>> los puntos negativos que produce la globalización
>> Banco Mundial , que hoy en día
>> años , mientras que el crecimiento económico
>> las crisis financieras que tuvieron lugar en
>> exuberancia irracional , que no nos permite
>> Adam Smith , que estudió las riquezas
>> la globalización , que no es ni
>> eso , hay que modelar lo políticamente
>> debemos hacer para que el mundo sea
>> en día tenemos que esforzar nos por

FLL1_4 - que
>> un experimento ilegal que llevó a cabo
>> de Pompeu Fabra que tiene acceso a
>> El hombre que estaba desesperado por
>> los profesores notaron que ya hacía un
>> Hay un profesor que se llama Jose
>> de Pinocho , que trata de un
>> de prensa anunció que "" este experimento
>> , Alberta Munez que declaró : ""
>> Es decir que colgaron fotos de
>> niño de madera que fue quitado de
>> asistentes sociales para que devuelvan el pobre

",0,,,0,0
FLL1,FLL1_1,"['FLL1_2', 'FLL1_3', 'FLL1_4']",al entrar en la cárcel muchos [lo] pierden todo,,"FLL1_2 - que
>> morir y tenía que encontrar a un
>> Ya que en el pasado
>> había dos hombres que estaban enamorados de
>> pero rico , que tenía muchos castillos
>> infancia , ya que crecieron juntos en
>> diamante muy escaso que solo se encontraba
>> princesa y sabía que a ella le
>> Es que cada día ,
>> si es lo que quiere , lo
>> , convencido de que Felipe amaba de
>> robar lo sin que nadie lo sepa
>> vas a tener que irte , porque
>> escuchó todo lo que había dicho el
>> problema , ya que el Lord James
>> Así que Felipe buscó a
>> para mostrar le que ella también lo
>> y es así que fueron felices y

FLL1_3 - que
>> los puntos negativos que produce la globalización
>> Banco Mundial , que hoy en día
>> años , mientras que el crecimiento económico
>> las crisis financieras que tuvieron lugar en
>> exuberancia irracional , que no nos permite
>> Adam Smith , que estudió las riquezas
>> la globalización , que no es ni
>> eso , hay que modelar lo políticamente
>> debemos hacer para que el mundo sea
>> en día tenemos que esforzar nos por

FLL1_4 - que
>> un experimento ilegal que llevó a cabo
>> de Pompeu Fabra que tiene acceso a
>> El hombre que estaba desesperado por
>> los profesores notaron que ya hacía un
>> Hay un profesor que se llama Jose
>> de Pinocho , que trata de un
>> de prensa anunció que "" este experimento
>> , Alberta Munez que declaró : ""
>> Es decir que colgaron fotos de
>> niño de madera que fue quitado de
>> asistentes sociales para que devuelvan el pobre

",0,lo,"FLL1_2 - lo
>> sólo quería casar se con la princesa
>> fin de mostrar le su amor por
>> sabía que a ella le encantaban los
>> un niño mago le dijo a Felipe
>> estoy pensando en ella .
>> cualquier cosa por ella , aunque sea
>> princesa Diana , le respondió :
>> manera para robar lo sin que nadie
>> , decidió echar se una siesta antes
>> , escuchó todo lo que había dicho
>> horas , Felipe se levantó bien descansado
>> Felipe se dijo en voz
>> Eso le permitió llegar hasta
>> Diana para ofrecer le el diamante ,
>> Ella estaba sentada en
>> Felipe le ofreció su prueba
>> Decidieron casar se , y un

FLL1_3 - lo
>> primer lugar , ella hace referencia a
>> , el comercio se ha reducido durante
>> , como nos lo dice ella ,
>> segundo lugar , ella nos habla de
>> depende de cómo se maneje , es
>> hay que modelar lo políticamente y incluir
>> que nos hace ella , de unir

FLL1_4 - lo
>> un muñeco casi se convirtió en un
>> algo fuera de lo normal .
>> un profesor que se llama Jose Guiseppe
>> El niño lo han llamado ""
>> no podemos dejar le el niño ""
>> de Pinocho y lo pusieron en la
>> verdadera familia , lo que quería de

",4,1
FLL1,FLL1_1,"['FLL1_2', 'FLL1_3', 'FLL1_4']",(dónde) [donde] vivían,dónde,,0,donde,,0,0
FLL1,FLL1_1,"['FLL1_2', 'FLL1_3', 'FLL1_4']",seguramente (que) unos dirán que la cárcel,que,"FLL1_2 - que
>> morir y tenía que encontrar a un
>> Ya que en el pasado
>> había dos hombres que estaban enamorados de
>> pero rico , que tenía muchos castillos
>> infancia , ya que crecieron juntos en
>> diamante muy escaso que solo se encontraba
>> princesa y sabía que a ella le
>> Es que cada día ,
>> si es lo que quiere , lo
>> , convencido de que Felipe amaba de
>> robar lo sin que nadie lo sepa
>> vas a tener que irte , porque
>> escuchó todo lo que había dicho el
>> problema , ya que el Lord James
>> Así que Felipe buscó a
>> para mostrar le que ella también lo
>> y es así que fueron felices y

FLL1_3 - que
>> los puntos negativos que produce la globalización
>> Banco Mundial , que hoy en día
>> años , mientras que el crecimiento económico
>> las crisis financieras que tuvieron lugar en
>> exuberancia irracional , que no nos permite
>> Adam Smith , que estudió las riquezas
>> la globalización , que no es ni
>> eso , hay que modelar lo políticamente
>> debemos hacer para que el mundo sea
>> en día tenemos que esforzar nos por

FLL1_4 - que
>> un experimento ilegal que llevó a cabo
>> de Pompeu Fabra que tiene acceso a
>> El hombre que estaba desesperado por
>> los profesores notaron que ya hacía un
>> Hay un profesor que se llama Jose
>> de Pinocho , que trata de un
>> de prensa anunció que "" este experimento
>> , Alberta Munez que declaró : ""
>> Es decir que colgaron fotos de
>> niño de madera que fue quitado de
>> asistentes sociales para que devuelvan el pobre

",0,,,0,0
FLL1,FLL1_1,"['FLL1_2', 'FLL1_3', 'FLL1_4']",(sólo) [solo] sirve para castigar,sólo,"FLL1_2 - sólo
>> Lord James , sólo quería casar se

",1,solo,"FLL1_2 - solo
>> muy escaso que solo se encontraba en

",1,0
FLL1,FLL1_1,"['FLL1_2', 'FLL1_3', 'FLL1_4']",al desobedecer (a) las leyes de un país,a,"FLL1_2 - a
>> tenía que encontrar a un marido para
>> recién muerto , a menos que tengan
>> A fin de mostrar
>> conocía muy bien a la princesa y
>> mago le dijo a Felipe :
>> Amas de verdad a la princesa Diana
>> amaba de verdad a la princesa Diana
>> , te voy a ayudar a robar
>> Pero vas a tener que irte
>> antes de ir a robar el diamante
>> quien había espiado a Felipe , escuchó
>> para animar se a lograr su meta
>> que Felipe buscó a la princesa Diana

FLL1_3 - a
>> ella hace referencia a el constato de
>> de un siglo a Alemania para conseguir
>> políticamente y incluir a los estudiantes de

FLL1_4 - a
>> madera ha vuelto a la vida gracias
>> que tiene acceso a los laboratorios de
>> "" Pinocho "" a causa de el
>> de educar correctamente a su hijo ,
>> el pobre niño a su padre ,

",0,,,0,0
