Group,Title,docs_to_search,error,error_item,error_context,error_reps,solution_item,solution_context,pass_solution_reps,fail_solution_reps
IHL1,IHL1_1,"['IHL1_2', 'IHL1_3', 'IHL1_4']",es menos una cuestión de castigar y disuadir a los delincuentes (sino) [que] de proporcionar un,sino,"IHL1_2 - sino
>> en día , sino que funciona como

IHL1_3 - sino
>> la globalización , sino que tengamos cuidado

",0,que,"IHL1_2 - que
>> de esta semana que estaba a tope
>> la semana lo que significa un día
>> alguna gente piensa que los paseos son
>> la oportunidad infrecuente que tengo para aclarar
>> Sería mentira que dijera que la
>> o algo con que puedo contar ,
>> tiempo he aprendido que no me parece
>> por cualquier lugar que desee ( claro
>> de lo magnífica que es .
>> calienta suficientemente para que me sienta contenta
>> a cada paso que doy , como
>> infinitos , hasta que se alcance a
>> entre la flora que canta notas de
>> llena los pulmones que expanden como si
>> A pesar de que estoy cansada ,
>> de la montaña que mi alma vale

IHL1_3 - que
>> no es sorprendente que haya tantas entidades
>> moja en decir que necesitamos manejar esos
>> Es absurdo que alguien diga que
>> alguna gente contaría que la globalización de
>> traido nada más que desafíos severos ,
>> la conferante con que necesitemos aprovechar a
>> forma justa para que prevengamos que empeorara

IHL1_4 - que
>> Los ciudadanos que estuvieron cerca de
>> de los espectadores que fueron testigos de
>> 42 años , que durante lo sucedido
>> Comentó que no se creía
>> hijos me decían que parara el coche
>> y jamás creería que ocurriera .
>> obstante , mientras que el señor Márquez
>> la entrevista comentó que "" a el
>> Me entristece mucho que la gente siga
>> cincuenta , lo que debería bastar para
>> la primera vez que se había denunciado
>> Desde que se empezó a
>> Dado que el número de
>> bien , mientras que el avistamiento provocó
>> Es esencial que se exploren nuevos

",1,0
IHL1,IHL1_1,"['IHL1_2', 'IHL1_3', 'IHL1_4']","es cierto que, para la (mitad) [fracción] de la población que puede sobrevivir",mitad,,0,fracción,,0,0
IHL1,IHL1_1,"['IHL1_2', 'IHL1_3', 'IHL1_4']",la idea amenazadora de ir a la cárcel se vuelve (redundante) [irrelevante],redundante,,0,irrelevante,,0,0
IHL1,IHL1_1,"['IHL1_2', 'IHL1_3', 'IHL1_4']","no (sólo) [solo] eso, sino que",sólo,,0,solo,,0,0
IHL1,IHL1_1,"['IHL1_2', 'IHL1_3', 'IHL1_4']",con su gran cantidad de (administración) [procedimientos burocráticos y administrativos],administración,,0,procedimientos burocráticos y administrativos,,1,0
IHL1,IHL1_1,"['IHL1_2', 'IHL1_3', 'IHL1_4']",es verdad que abordar la (causa) raíz de un problema ayudará no solo a entenderlo,causa,,0,,,0,0
IHL1,IHL1_1,"['IHL1_2', 'IHL1_3', 'IHL1_4']","no solo a entenderlo sino a resolverlo, (no obstante) [mientras que] limitarse a abordar lo que se ve",no obstante,"IHL1_2 - no obstante
>> No obstante , siempre triunfa

IHL1_4 - no obstante
>> No obstante , mientras que

",0,mientras que,"IHL1_4 - mientras que
>> No obstante , mientras que el señor Márquez
>> Ahora bien , mientras que el avistamiento provocó

",2,0
IHL1,IHL1_1,"['IHL1_2', 'IHL1_3', 'IHL1_4']",(fundamentalmente) encerrar a la gente no es tan claro ni eficaz como pueda parecer,fundamentalmente,,0,,,0,0
IHL1,IHL1_2,"['IHL1_3', 'IHL1_4']",(esa) [esta] es la infrecuente oportunidad que tengo para aclarar,esa,"IHL1_3 - esa
>> Por eso , como es
>> que necesitamos manejar esos desafíos a medida

",1,esta,"IHL1_3 - esta
>> De esta manera , podemos

IHL1_4 - esta
>> se amenazada por esta posibilidad , o
>> se pueda evaluar estas nuevas ideas .

",3,0
IHL1,IHL1_2,"['IHL1_3', 'IHL1_4']",claro que tengo algunas (elecciones) [preferencias],elecciones,,0,preferencias,,0,0
