Group,Title,docs_to_search,error,error_item,error_context,error_reps,solution_item,solution_context,pass_solution_reps,fail_solution_reps
RPI1,RPI1_1,"['RPI1_2', 'RPI1_3', 'RPI1_4']",hasta un punto en (donde) [que] tendrá la misma capacidad de sentir remordimiento,donde,"RPI1_2 - donde
>> una situación crítica donde cambios sustanciales son

RPI1_3 - donde
>> publica de calidad donde los estudiantes adquieren

RPI1_4 - donde
>> de Desi , donde encontraron evidencia de

",0,que,"RPI1_2 - que
>> un oso polar que , causó la
>> los dos ya que una vez más
>> Igual que lo que acaeció
>> misma conclusión desgarradora que el precedente ,
>> de el segundo que sucedió el 29
>> "" Es innegable que se está calentando
>> todo ... lo que pasó ... intentamos
>> pese a lo que pasó , así
>> expertos han constatado que el Ártico está
>> la probabilidad de que este acontecimiento ocurra
>> de Harvard afirma que hemos perdido el
>> espacio , lo que implica que ,
>> alimentarios , lo que resulta en menos
>> porción de tierra que haya permanecido congelada
>> arriba , lo que conduce a un
>> causa y efecto que involucra el permahielo
>> su precedente , que las delimitaciones de
>> decisivos para prevenir que lo inconcebible se

RPI1_3 - que
>> a el igual que la pobreza que
>> la psicología humana que goberna nuestro sistema
>> Además hay que mencionar que una
>> los asuntos principales que se han debatido
>> el hecho de que todavia hay personas
>> desigualdad economica sino que la de el
>> Dado que muchos países no
>> de los desafios que encontrariamos en un
>> contrario , lo que ha comentado la
>> somos consiente de que el antedicho es
>> significantes conceptos economicos que tenemos que considerar

RPI1_4 - que
>> a las autoridades que sospechaban que la
>> atención mediática , que ha consistido en
>> Nick Dune , que había sido el
>> encontraron evidencia de que el presunto secuestrador
>> su familia tuvieron que lidiar con una
>> invasión de privacidad que han experimentado .
>> he visto cosas que no me merecía

",4,0
RPI1,RPI1_1,"['RPI1_2', 'RPI1_3', 'RPI1_4']",porque se centra solo (del) [en el] crimen en sí,del,"RPI1_2 - de el
>> año después de el trágico ataque de
>> meses después de el desolador incidente de
>> La memoria de la
>> El deshielo de el

RPI1_3 - de el
>> es primordial entender el rol de la
>> La desigualdad de la
>> economica sino que la de el sistema
>> Con respecto a el concepto de el

RPI1_4 - de el
>> Aquella mañana , los padres de la
>> escondido dentro de la propiedad .
>> poco después de la llegada de Amy
>> a través de las redes sociales ,
>> Aunque la mayoría de la

",0,en el,"RPI1_2 - en el
>> tragedia aun prevalecía en la comunidad y como
>> hablar de esto en la escuela .
>> La manera en la cual hablaron ,
>> por década y en los últimos 30 años
>> , un descenso en la cantidad de hielo
>> huellas para siempre en la comunidad de Wales

RPI1_3 - en el
>> , sería esencial en el desarollo de un
>> desigualdad y conflictos en la sociedad .
>> es importante pensar en la historia economica de

RPI1_4 - en el
>> se ha convertido en el presunto culpable y
>> redada esta tarde en el antiguo apartamento de
>> opiniones sin pelos en la lengua .
>> personas , atrapados en el sensacionalismo mediático ,
>> víctima de acoso en las redes sociales durante
>> , la manera en la cual se ha

",4,0
RPI1,RPI1_1,"['RPI1_2', 'RPI1_3', 'RPI1_4']","pueden recibir la ayuda necesaria para esta, (y) [mientras que] los delincuentes sin esta capacidad",y,"RPI1_2 - y
>> , una comunidad y un año
>> de 35 años y su hijo de
>> escuchó sus gritos y apresuradamente vinieron a
>> el precedente , y cuando el oso
>> en la comunidad y como se puede
>> desde hace décadas y podemos ver los
>> tiene 10 años y han empezado a
>> mentir sobre esto y no deberíamos ;
>> Con lo bueno y con lo malo
>> de el mundo y que esto puede
>> 13% por década y en los últimos
>> El Ártico y la Antártida son
>> en la atmósfera y por consecuencia ,
>> proceso de causa y efecto que involucra
>> Wales , Alaska y ha reforzado ,

RPI1_3 - y
>> de regularizar se y adaptar se a
>> una cuestion psicologica y los seres humanos
>> la de 2008 y la crisis causada
>> sobre la globalización y los significantes conceptos

RPI1_4 - y
>> famosos escritores Maribeth y Rand Elliott ,
>> , bastante agitada y debilitada , con
>> estado de aturdimiento y es incapaz de
>> el presunto culpable y ha sido detenido
>> través de cartas y mensajes no solicitados
>> cuerda de amarre y cantidades sustanciales de
>> acusado de secuestro y abuso sexual de
>> , la víctima y su familia tuvieron
>> con su familia y compartieron sus opiniones
>> las opiniones públicas y la invasión de
>> de el secuestro y la fuga .
>> cercana de médicos y psiquiatras , quienes

",0,mientras que,"RPI1_3 - mientras que
>> por día , mientras que vivimos en un

",0,1
RPI1,RPI1_1,"['RPI1_2', 'RPI1_3', 'RPI1_4']",sino como (una metoda) [un método] de evaluación del potencial para esta reinserción,una metoda,,0,un método,,0,0
RPI1,RPI1_1,"['RPI1_2', 'RPI1_3', 'RPI1_4']",su reinserción (que depende) [en función] de su estado psicológico,que depende,,0,en función,,0,0
RPI1,RPI1_1,"['RPI1_2', 'RPI1_3', 'RPI1_4']",se pueden detener para [garantizar] la seguridad de la población,,,0,garantizar,,0,0
RPI1,RPI1_1,"['RPI1_2', 'RPI1_3', 'RPI1_4']",la gestión del castigo penal tiene que llevarse a cabo con la ayuda de (los) psicólogos,los,"RPI1_2 - los
>> año después de el trágico ataque de
>> Es alarmante la similitud entre los
>> un año , el pueblo escuchó sus
>> sus esfuerzos , la agresion llegó a
>> , esta es la nueva realidad para
>> meses después de el desolador incidente de
>> La memoria de la
>> fuerza impensable , los lugareños lograron centrar
>> y podemos ver los cambios , podemos
>> de esto en la escuela .
>> Los niños no deberían
>> La manera en la
>> Como el aldeano ha comentado
>> Los expertos han constatado
>> Es decir , la probabilidad de que
>> estudio realizado por la Universidad de Harvard
>> El Ártico y la
>> El hielo refleja el
>> temperatura afecta a los cultivos alimentarios ,
>> esto es solo el principio .
>> El deshielo de el
>> se derrite , el metano se propaga
>> efecto que involucra el permahielo , podría
>> El pavoroso incidente ha

RPI1_3 - los
>> La hablante ha logrado
>> es primordial entender el rol de la
>> una reflexion sobre el pasado , es
>> La desigualdad de la
>> ha comentado , el hecho de que
>> economica sino que la de el sistema
>> de calidad donde los estudiantes adquieren conocimientos
>> Con respecto a el concepto de el
>> Sin embargo , la economia es una
>> A el contrario , lo
>> importante aprender sobre el pasado , es
>> importante pensar en la historia economica de
>> En conclusion , el audio aporta muchas

RPI1_4 - los
>> El 23 abril de
>> Aquella mañana , los padres de la
>> El misterioso caso de
>> sin embargo , el pueblo North Carthage
>> que había sido el principal sospechoso de
>> La mujer de 27
>> No obstante , la mujer ha identificado
>> La Guardia Civil ha
>> escondido dentro de la propiedad .
>> poco después de la llegada de Amy
>> a través de las redes sociales ,
>> Aunque la mayoría de la
>> de acoso en las redes sociales durante
>> lo que sienten los padres de Amy
>> Las palabras utilizadas ,
>> La policía llevará a
>> Amy está bajo la supervisión cercana de
>> La madre de Amy
>> Nunca pierdas la esperanza .

",0,,"RPI1_4 - 
>> bajo la supervisión cercana de médicos y psiquiatras",1,0
RPI1,RPI1_1,"['RPI1_2', 'RPI1_3', 'RPI1_4']",porque se (trata) [centra] solo en el crimen en sí,trata,,0,centra,"RPI1_2 - centra
>> los lugareños lograron centrar la discusión en

",1,0
RPI1,RPI1_1,"['RPI1_2', 'RPI1_3', 'RPI1_4']",no solo durante la cárcel como (metoda) [método] de reinserción,metoda,,0,método,,0,0
RPI1,RPI1_1,"['RPI1_2', 'RPI1_3', 'RPI1_4']",es probable que el enfoque presentado se (pueda ver) [vea] con cierta ansiedad,pueda ver,"RPI1_2 - pueda ver
>> hace décadas y podemos ver los cambios ,

",0,vea,"RPI1_2 - vea
>> décadas y podemos ver los cambios ,
>> alta que nunca visto antes .
>> la humanidad haya visto .

RPI1_3 - vea
>> mi modo de ver es primordial entender

RPI1_4 - vea
>> indignante , he visto cosas que no

",0,0
