Group,Title,docs_to_search,error,error_item,error_context,error_reps,solution_item,solution_context,pass_solution_reps,fail_solution_reps
RZA1,RZA1_1,"['RZA1_2', 'RZA1_3', 'RZA1_4']",esta privación de la libertad va acompañada (con) [de] humillaciones,con,"RZA1_2 - con
>> nos gusta hacer con mi familia es

RZA1_3 - con
>> pongo de acuerdo con el discurso en

RZA1_4 - con
>> Con respecto a Lydia
>> intentó fugar se con Georgiana , la
>> a casar se con Lydia para evitar
>> que él , con todo , seguía

",0,de,"RZA1_2 - de
>> Una de las actividades que
>> que realizamos uno de estos paseos fue
>> era el cumpleaños de mi papá y
>> tiene una costumbre de hacer ejercicio los
>> decidimos hacer algo de ejercicio juntos y
>> tres horas antes de acostar se ,
>> A el salir de la casa ,
>> hacia la playa de Tamarit , donde
>> por la playa de a el lado
>> y no dejaba de quejar se .
>> yo no dejaba de mirar para el
>> cabo , después de una hora ,
>> y ahora había de hacer lo por
>> por la cara de mi hermana ,
>> estaba muy orgulloso de nosotras ya que

RZA1_3 - de
>> desde el punto de vista económico .
>> en el hecho de que de momento
>> podamos aprovechar se de ella .
>> una quinta parte de la población se
>> a la pandemia de SIDA .
>> la identidad cultural de un país .
>> en el hecho de que en si
>> hará desaparecer puestos de trabajo .
>> Me pongo de acuerdo con el
>> A modo de conclusión , el

RZA1_4 - de
>> Tres de las cinco hermanas
>> Las historias amorosas de las chicas eran
>> El Sr Bingley de entrada mostró interés
>> empezaron los cotilleos de que los jóvenes
>> era por culpa de su amigo ,
>> él se enamoró de ella e incluso
>> embargo , cambió de la mente en
>> como las noticias de la fuga llegaron
>> Estos últimos , de inmediato , se
>> la hermana menor de Darcy , no
>> que la familia de Bennet cayera en
>> la familia Bennet de que se había
>> había los tíos de Lydia y Sr
>> , la residencia de la familia de
>> entonces estaba enamorada de Darcy y las
>> pidieron las manos de las hermanas mayores

",2,0
RZA1,RZA1_1,"['RZA1_2', 'RZA1_3', 'RZA1_4']",en el buscador de la Real Academia [Española (RAE)],RAE,,0,,,0,0
RZA1,RZA1_1,"['RZA1_2', 'RZA1_3', 'RZA1_4']",esta privación de la libertad va acompañada de (humillación) [humillaciones],humillación,,0,humillaciones,,0,0
RZA1,RZA1_1,"['RZA1_2', 'RZA1_3', 'RZA1_4']",¿por qué entonces deberían sufrir [en] pésimas condiciones?,,,0,en,"RZA1_2 - en
>> pequeñas y apacibles en los alrededores de
>> estos paseos fue en octubre , cuando
>> intenta mantener se en forma , por
>> tan tibio como en verano , pero
>> En unos momentos empezó
>> tardar una hora en llegar a casa

RZA1_3 - en
>> principal se centra en el hecho de
>> añade que está en nuestros manos poder
>> En primer lugar ,
>> población se encuentra en pobreza , viviendo
>> la literatura especializada en la economía muestra
>> discurso hace hincapié en el hecho de
>> con el discurso en que no se
>> tiene éxito , en diseminar el mito
>> que el proceso en cuestión pueda brindar

RZA1_4 - en
>> En poco tiempo ,
>> pidió su mano en matrimonio .
>> de la mente en cuanto se dio
>> posteriormente que , en secreto , Darcy
>> de Bennet cayera en deshonor , pero
>> En cuanto regresaron los
>> En poco tiempo ,

",1,0
RZA1,RZA1_1,"['RZA1_2', 'RZA1_3', 'RZA1_4']","la pobreza, el poco acceso a [una] buena educación y el poco acceso a ayudas",,,0,una,"RZA1_2 - una
>> Una de las actividades
>> vez que realizamos uno de estos paseos
>> y yo preparé un pastel .
>> Mi padre es un hombre que siempre
>> yo sugerí dar un paseo .
>> se veía ni una nube por el
>> Decidimos entonces hacer un paseo más largo
>> el Ebro , un espacio protegido ,
>> hermana esto resultó un pequeño reto y
>> Es un poco peligroso y
>> , después de una hora , alcanzamos
>> Nos sentamos un rato y cuando
>> En unos momentos empezó a
>> íbamos a tardar una hora en llegar

RZA1_3 - una
>> la globalización es un concepto que abarca
>> Comenta que una quinta parte de
>> identidad cultural de un país .

RZA1_4 - una
>> diciendo que era un hombre poco amable
>> George Wickham , un soldado , quien
>> lo que fue un gran alivio para
>> , aunque era un gran secreto ,

",1,0
RZA1,RZA1_1,"['RZA1_2', 'RZA1_3', 'RZA1_4']","las cárceles, tal y como las conocemos, no (es) [representan] un sistema apto para el mantenimiento",es,"RZA1_2 - es
>> con mi familia es dar un paseo
>> de estos paseos fue en octubre ,
>> Aquel día era el cumpleaños de
>> Mi padre es un hombre que
>> para mi padre es muy importante no
>> Es un poco peligroso

RZA1_3 - es
>> Aunque la globalización es un concepto que
>> Añade que es equivocado pensar que
>> Es innegable que el

RZA1_4 - es
>> de las chicas eran más complicadas de
>> Se decía que era por culpa de
>> , diciendo que era un hombre poco
>> su familia no era muy adinerada .
>> , Darcy también fue a buscar los
>> , lo que fue un gran alivio
>> La boda era muy íntima ,
>> novia , aunque era un gran secreto

",0,representan,,0,0
RZA1,RZA1_1,"['RZA1_2', 'RZA1_3', 'RZA1_4']",¿por qué entonces deberían sufrir en [pésimas] condiciones (pésimas)?,pésimas,,0,pésimas,,0,0
RZA1,RZA1_1,"['RZA1_2', 'RZA1_3', 'RZA1_4']",¿cómo se sentirían los familiares de [las] víctimas si supieran que sus asesinos están pasándolo fenomenal en la cárcel?,,,1,las,"RZA1_2 - las
>> Una de las actividades que más
>> La última vez que
>> Aquel día era el cumpleaños de mi
>> de hacer ejercicio los días que no
>> Salimos por la noche , pero
>> A el salir de la
>> más largo para el norte , no
>> Fuimos hacia la playa de Tamarit
>> paseo empezó por la playa de a
>> , incluso cuando el mar no está
>> pronto llegamos a las piedras , que
>> de mirar para el suelo porque tenía
>> A el fin y a
>> a volver , el cielo se puso
>> a casa bajo la copiosa lluvia ,
>> Llegamos a las mismas piedras por
>> hacer lo por los resbaladizos caminos .
>> que se acabara la lluvia , decía
>> veía miedo por la cara de mi
>> Cuando a el final regresamos ,

RZA1_3 - las
>> Aunque la globalización es un
>> El mensaje principal se
>> poder manejar bien la globalización para que
>> primer lugar , el discurso expresa que
>> quinta parte de la población se encuentra
>> más debido a la pandemia de SIDA
>> Además , la literatura especializada en
>> otra parte , el discurso hace hincapié
>> equivocado pensar que el libre mercado ,
>> de acuerdo con el discurso en que
>> de conclusión , el discurso intenta ,
>> Es innegable que el proceso en cuestión

RZA1_4 - las
>> Las chicas Bennet se
>> Tres de las cinco hermanas ,
>> Las historias amorosas de las chicas
>> A el empezar el año
>> El Sr Bingley de
>> tiempo , empezaron los cotilleos de que
>> parte , a el conocer más a
>> hasta echando le la culpa por separar
>> , quien a el principio mostraba interés
>> Tan pronto como las noticias de la
>> a buscar a los amantes fugitivos .
>> fue a buscar los ya que sabía
>> A el encontrar la pareja
>> Se avisó a la familia Bennet de
>> La boda era muy
>> En cuanto regresaron los recién casados a
>> A el saber lo ,
>> y ambos pidieron las manos de las
>> bodas se celebrarán el mes que viene

",2,0
RZA1,RZA1_1,"['RZA1_2', 'RZA1_3', 'RZA1_4']",ya que al salir de la cárcel pueden (convertirse) [haberse vuelto] incluso más peligrosos,convertirse,,0,haberse vuelto,,0,0
RZA1,RZA1_1,"['RZA1_2', 'RZA1_3', 'RZA1_4']",sería mejor solucionar (las raíces de) [de raíz] los problemas que llevan a la gente,las raíces de,,0,de raíz,,0,0
