participant_ID,text_ID,error,error_type,fb_type
AFJ1,AFJ1_1,si reciben ayuda personalizada (mientras) [durante] su detención,sust. ,D.N.M
AFJ1,AFJ1_1,con (eso) [esto] quiero decir que,det.,D.N.M
AFJ1,AFJ1_1,se puede ayudar a aquellos que quieren (mejorarse) [mejorar],pron. ,D.N.M
AFJ1,AFJ1_1,un solo intento de (ruptura) [fuga] en 30 años,sust. ,I.L.
AFJ1,AFJ1_1,pueden moverse (libre) [libremente] en la isla,sust. ,D.N.M
AFJ1,AFJ1_1,es (una frescura) [un dilema] bastante (complicada) [complicado],sust. ,I.M.
AFJ1,AFJ1_1,que hemos conocido (en) la semana pasada,reg.,D.N.M
AFJ1,AFJ1_1,hay prisiones (tal) como Rikers Island,ana.,D.N.M
AFJ1,AFJ1_1,vivir en (la) sociedad,det.,D.N.M
AFJ1,AFJ1_1,un instrumento de ayuda para los presos (en forma) [a fin] de enseñarles a vivir en sociedad,sust. ,R
AFJ1,AFJ1_1,me gustaría expresar (porque) [por qué] yo creo,sust.,D.N.M
AFJ1,AFJ1_1,y si (hay) [están en] condiciones como las de la cárcel de Bastøy,sust. ,None
AFJ1,AFJ1_1,la oportunidad de encontrar (silencio) [la paz] y reflexionar,sust. ,I.M.
AFJ1,AFJ1_1,si reciben ayuda (propia) [personalizada] durante su detención,sust. ,None
AFJ1,AFJ1_1,(dependiente) [dependiendo] de las condiciones en las cárceles,sust. ,D.N.M
AFJ1,AFJ1_1,"no solo sean castigados, sino que [también] reciban",elip.,D.N.M
AFJ1,AFJ1_1,estoy de acuerdo [con] que las cárceles ya se han mejorado,reg.,D.N.M
AFJ1,AFJ1_1,"porque, sin (embargo) [duda], conocemos las condiciones",sust.,D.N.M
AFJ1,AFJ1_1,las condiciones en (cuáles) [que] los presos tenían que vivir,sust.,D.N.M
AFJ1,AFJ1_1,"allá a los presos, (cuáles) [a quienes] casi ni se [les] puede llamar así",reg.,D.N.M
AFJ1,AFJ1_1,la estancia puede ser tan (traumatizando) [traumática] que,sust.,D.M.
AFJ1,AFJ1_1,cárceles como (el) [la] de Rikers Island,gen.,D.N.M
AFJ1,AFJ1_1,"seguramente, (la tirada de) [retirarles] la posibilidad",sust.,I.M.
AFJ1,AFJ1_1,la posibilidad de (hacer) [formar] parte de la sociedad,sust.,D.N.M
AFJ1,AFJ1_1,así la población (está) [queda] protegida,sust.,D.N.M
AFJ1,AFJ1_1,como [afirmaban] los señores,elip.,D.N.M
AFJ1,AFJ1_1,que hemos (conocidos) [conocido] la semana pasada,núm.,D.N.M
AFJ1,AFJ1_1,no ayudan a los criminales a reintegrarse (otra vez) en sociedad,exce.,I.M.
AFJ1,AFJ1_1,(está) [es] cierto que no se puede evitar,sust.,D.N.M
AFJ1,AFJ1_1,el estado tiene [que] proteger,elip.,D.N.M
AFJ1,AFJ1_1,proteger (a la demás) [al resto de la] población,sust.,I.L.
AFJ1,AFJ1_1,la oportunidad de (crear) [construirse] una nueva vida,sust.,D.N.M
AFJ1,AFJ1_1,condiciones como (en) [las de] la cárcel de Bastøy,reg.,D.N.M
AFJ1,AFJ1_1,deberían (estar) [ser] libres,sust.,D.N.M
