participant_ID,composition_number,text_ID,error,error_type,fb_type
AFJ1,1st,AFJ1_1,me gustaría expresar (porque) [por qué] yo creo,,
AFJ1,1st,AFJ1_1,"no solo sean castigados, sino que [también] reciban",,
AFJ1,1st,AFJ1_1,estoy de acuerdo [con] que las cárceles ya se han mejorado,,
AFJ1,1st,AFJ1_1,"porque, sin (embargo) [duda], conocemos las condiciones",,
AFJ1,1st,AFJ1_1,las condiciones en (cuáles) [que] los presos tenían que vivir,,
AFJ1,1st,AFJ1_1,"allá a los presos, (cuáles) [a quienes] casi ni se [les] puede llamar así",,
AFJ1,1st,AFJ1_1,pueden moverse (libre) [libremente] en la isla,,
AFJ1,1st,AFJ1_1,hay prisiones (tal) como Rikers Island,,
AFJ1,1st,AFJ1_1,(dependiente) [dependiendo] de las condiciones en las cárceles,,
AFJ1,1st,AFJ1_1,la estancia puede ser tan (traumatizando) [traumática] que,,
AFJ1,1st,AFJ1_1,cárceles como (el) [la] de Rikers Island,,
AFJ1,1st,AFJ1_1,la oportunidad de encontrar (silencio) [la paz] y reflexionar,,
AFJ1,1st,AFJ1_1,"seguramente, (la tirada) [retirarles] la posibilidad",,
AFJ1,1st,AFJ1_1,la posibilidad de (hacer) [formar] parte de la sociedad,,
AFJ1,1st,AFJ1_1,así la población (está) [queda] protegida,,
AFJ1,1st,AFJ1_1,como [afirmaban] los señores,,
AFJ1,1st,AFJ1_1,que hemos (conocidos) [conocido] la semana pasada,,
AFJ1,1st,AFJ1_1,que hemos conocido (en) la semana pasada,,
AFJ1,1st,AFJ1_1,no ayudan a los criminales a reintegrarse (otra vez) en sociedad,,
AFJ1,1st,AFJ1_1,(está) [es] cierto que no se puede evitar,,
AFJ1,1st,AFJ1_1,se puede ayudar a aquellos que quieren (mejorarse) [mejorar],,
AFJ1,1st,AFJ1_1,un solo intento de (ruptura) [fuga] en 30 años,,
AFJ1,1st,AFJ1_1,es (una frescura) [un dilema] bastante (complicada) [complicado],,
AFJ1,1st,AFJ1_1,el estado tiene [que] proteger,,
AFJ1,1st,AFJ1_1,proteger a la (demás) población,,
AFJ1,1st,AFJ1_1,la oportunidad de (crear) [construirse] una nueva vida,,
AFJ1,1st,AFJ1_1,si reciben ayuda (propia) [personalizada] durante su detención,,
AFJ1,1st,AFJ1_1,si reciben ayuda personalizada (mientras) [durante] su detención,,
AFJ1,1st,AFJ1_1,y si (hay) [están en] condiciones como las de la cárcel de Bastøy,,
AFJ1,1st,AFJ1_1,condiciones como (en) [las de] la cárcel de Bastøy,,
AFJ1,1st,AFJ1_1,con (eso) [esto] quiero decir que,,
AFJ1,1st,AFJ1_1,deberían (estar) [ser] libres,,
AFJ1,1st,AFJ1_1,libres (en que tienen) [de tener] un trabajo y (ganan) [ganar] dinero,,
AFJ1,1st,AFJ1_1,(estoy) [soy] de la opinión,,
AFJ1,1st,AFJ1_1,la opinión [de] que especialmente la reinserción de los jóvenes,,
AFJ1,1st,AFJ1_1,la reinserción de los jóvenes es (demasiado) [extremadamente] importante,,
AFJ1,1st,AFJ1_1,un instrumento de ayuda para los resos (en forma) [a fin] de enseñarles a vivir en sociedad,,
AFJ1,1st,AFJ1_1,un instrumento de ayuda para los presos a fin de (aprender) [enseñarles a] vivir en sociedad,,
AFJ1,1st,AFJ1_1,vivir en (la) sociedad,,
AFJ1,1st,AFJ1_1,"aunque es indispensable (no) condenarlos, todavía forman parte",,
AFJ1,1st,AFJ1_1,(hacen) [forman] parte,,
AFJ1,1st,AFJ1_1,(que) [y] necesitan asistencia,,
AFJ1,1st,AFJ1_1,reflexionar [sobre] sus errores,,
AFJ1,1st,AFJ1_1,repetición léxica,,
AFJ1,2nd,AFJ1_2,(tomaron) [sacaron] ventaja de todas las vacaciones,,
AFJ1,2nd,AFJ1_2,el cielo azul (arriba) [encima] de mí,,
AFJ1,2nd,AFJ1_2,el cielo azul encima de mí [me] promete en secreto que los rayos del sol,,
AFJ1,2nd,AFJ1_2,no es la primera vez (en) esta semana,,
AFJ1,2nd,AFJ1_2,como si la gente que me rodea en esta playa (fuera) [estuviera] más contenta,,
AFJ1,2nd,AFJ1_2,no hay (tal) [esa] insatisfacción básica,,
AFJ1,2nd,AFJ1_2,este sonido siempre me ha (dado) [producido] un sentimiento,,
AFJ1,2nd,AFJ1_2,(liberdad) [libertad],,
AFJ1,2nd,AFJ1_2,(como) [cómo] las olas azules regresan al mar,,
AFJ1,2nd,AFJ1_2,(como) [cómo] el agua ilumina,,
AFJ1,2nd,AFJ1_2,ilumina (a) la arena,,
AFJ1,2nd,AFJ1_2,es mucho más (iluminoso) [luminoso] aquí que en el lugar que conozco,,
AFJ1,2nd,AFJ1_2,me alegra (de) que huela un poco a puerto y a animales marinos,,
AFJ1,2nd,AFJ1_2,no importa en (que) [qué] estado de ánimo,,
AFJ1,2nd,AFJ1_2,repetición léxica,,
AFJ1,3rd,AFJ1_3,no hay duda (en) [de] que tenemos un problema mundial,,
AFJ1,3rd,AFJ1_3,aunque conocemos (a) los beneficios que trae la globalización,,
AFJ1,3rd,AFJ1_3,impuestos (de) [sobre el] trabajo,,
AFJ1,3rd,AFJ1_3,(tecnologia) [tecnología],,
AFJ1,3rd,AFJ1_3,la globalización tiene dos (lados) [caras],,
AFJ1,3rd,AFJ1_3,algunos países viven en riqueza y [se] aprovechan de la rápida expansión,,
AFJ1,3rd,AFJ1_3,expansión (en) [de los] mercados internacionales,,
AFJ1,3rd,AFJ1_3,esta parte de la sociedad tiene menos (que) [de] 1 € al día para sobrevivir,,
AFJ1,3rd,AFJ1_3,esta parte de la sociedad tiene menos de 1 € (cada) [al] día para sobrevivir,,
AFJ1,3rd,AFJ1_3,un país [económicamente] fuerte (en la economía),,
AFJ1,3rd,AFJ1_3,los (países) [continentes] como África,,
AFJ1,3rd,AFJ1_3,la inquietud política que (hay) [esta conlleva],,
AFJ1,3rd,AFJ1_3,tuvieron serias consecuencias que (traen adelante) [siguen en vigor],,
AFJ1,3rd,AFJ1_3,(economia) [economía],,
AFJ1,3rd,AFJ1_3,claro [que] entiendo,,
AFJ1,3rd,AFJ1_3,la vida que muchos países europeos nos ofrecen (son) [es] un beneficio,,
AFJ1,3rd,AFJ1_3,(economico) [económico],,
AFJ1,3rd,AFJ1_3,del crecimiento económico [asociado],,
AFJ1,3rd,AFJ1_3,(inequilibrio) [desequilibrio],,
AFJ1,3rd,AFJ1_3,desequilibrio de (forzas) [fuerzas],,
AFJ1,3rd,AFJ1_3,sin (dar) [tomar en] cuenta (de) [a] los que sufren,,
AFJ1,3rd,AFJ1_3,deberíamos ayudar y remodelar el sistema (así) [para] que haya soluciones,,
AFJ1,3rd,AFJ1_3,para que haya soluciones y (limitar) [se limiten los] riesgos,,
AFJ1,3rd,AFJ1_3,aquellos que ya (están) [son] más fuertes,,
AFJ1,3rd,AFJ1_3,aquellos que ya son más (fuerte) [fuertes],,
AFJ1,3rd,AFJ1_3,¿qué (se) pasa con el resto?,,
AFJ1,3rd,AFJ1_3,¿qué pasa (al) [con el] resto?,,
AFJ1,3rd,AFJ1_3,deberíamos aprovechar (de) las oportunidades,,
AFJ1,3rd,AFJ1_3,los (países) [continentes] como África,,
AFJ1,3rd,AFJ1_3,no es un proceso simple (y que tarda mucho tiempo) [ni rápido],,
AFJ1,3rd,AFJ1_3,repetición léxica,,
AFJ1,4th,AFJ1_4,7 de marzo [de] 2023,,
AFJ1,4th,AFJ1_4,tras un (tiempo) [rato] de diversión,,
AFJ1,4th,AFJ1_4,la parte noreste (alrededor) del famoso parque,,
AFJ1,4th,AFJ1_4,vi tres figuras que se acercaban (al) [a la] alberca del jardín,,
AFJ1,4th,AFJ1_4,eran estudiantes (de) Erasmus,,
AFJ1,4th,AFJ1_4,[los] cuales venían de una fiesta,,
AFJ1,4th,AFJ1_4,"pidió a los jóvenes que se alejaran del estanque, pero (esos) [estos] estaban",,
AFJ1,4th,AFJ1_4,no se lo (impidieron) [iban a impedir],,
AFJ1,4th,AFJ1_4,hasta que llegó (un) otro compañero,,
AFJ1,4th,AFJ1_4,y no fue hasta que un coche (de) patrulla los detuvo cerca del Arco de Triunfo,,
AFJ1,4th,AFJ1_4,(cuando) [que] se sorprendieron al verlos correr,,
AFJ1,4th,AFJ1_4,con un (palmípeda) [palmípedo] bajo el brazo,,
AFJ1,4th,AFJ1_4,"los estudiantes, (en un estado influenciado por) [bajo la influencia d] el alcohol",,
AFJ1,4th,AFJ1_4,un incidente en 2019 se desarrolló [de forma] similar (al) [a la] del sábado,,
AFJ1,4th,AFJ1_4,algunos (extremistas) [activistas] del bienestar animal,,
AFJ1,4th,AFJ1_4,repetición léxica,,
AMN1,1st,AMN1_1,el color (negrito) [negro] guarda todo el calor,,
AMN1,1st,AMN1_1,(guardia) [guardián],,
AMN1,1st,AMN1_1,la [desfavorable] situación (desfavorable),,
AMN1,1st,AMN1_1,la desfavorable situación [se] exacerba,,
AMN1,1st,AMN1_1,la desfavorable situación se exacerba [cada] vez más,,
AMN1,1st,AMN1_1,la [estrecha] calle (estrecha),,
AMN1,1st,AMN1_1,(dentro de) [en apenas/en cuestión de] unos segundos todo se ha acabado,,
AMN1,1st,AMN1_1,los cuatro ladrones son (convictos) [detenidos] y metidos en el coche,,
AMN1,1st,AMN1_1,(nadie) [ninguno] de ellos olvidará jamás la sensación,,
AMN1,1st,AMN1_1,la sensación (del) [de] frío glacial,,
AMN1,1st,AMN1_1,no le (hacen sentir) [inspiran] ninguna compasión,,
AMN1,1st,AMN1_1,"(al contrario) [en cambio], los dos sin armas",,
AMN1,1st,AMN1_1,al (final) [fin y al cabo] solo estaban presentes,,
AMN1,1st,AMN1_1,(Romanía) [Rumanía],,
AMN1,1st,AMN1_1,una llamada en (la) prisión,,
AMN1,1st,AMN1_1,ha dado [a] luz a un niño,,
AMN1,1st,AMN1_1,(kilógramos) [kilogramos],,
AMN1,1st,AMN1_1,la barriga (grandote) [grandota] de su hermana,,
AMN1,1st,AMN1_1,no (lo podía) [pudo hacerlo] porque mi tío estaba preso,,
AMN1,1st,AMN1_1,para reinsertarlos en (la misma sociedad) [ella],,
AMN1,1st,AMN1_1,obligan [a] los estados a gestionar las cárceles,,
AMN1,1st,AMN1_1,(dependiente) [dependiendo] de la gravedad del crimen,,
AMN1,1st,AMN1_1,es el lugar (cierto) [adecuado] para cambiar el comportamiento,,
AMN1,1st,AMN1_1,el miedo (es) [está] muy presente,,
AMN1,1st,AMN1_1,(aparte) [fuera] de los países occidentales,,
AMN1,1st,AMN1_1,los países (occidentes) [occidentales],,
AMN1,1st,AMN1_1,a nadie le gustaría (pasar) [cumplir] una condena,,
AMN1,1st,AMN1_1,el miedo a la (deprivación) [privación] completa de la libertad,,
AMN1,1st,AMN1_1,(resulta) [es] indudable que las razones,,
AMN1,1st,AMN1_1,las razones (por) [para] cometer delitos son muy diversas,,
AMN1,1st,AMN1_1,la decisión (por) [de perpetrar] el crimen,,
AMN1,1st,AMN1_1,en muchos casos (cause el contrario) [acarree consecuencias no deseadas],,
AMN1,1st,AMN1_1,personas malas se vuelven (en) personas malísimas,,
AMN1,1st,AMN1_1,(aprende uno del otro) [pues aprenden unos de otros],,
AMN1,1st,AMN1_1,se concentran (los) [varios] planes ilegales en pocas celdas,,
