"","participant_ID","text_ID","error","error_type","fb_type","error_item","error_reps","solution_item","pass_solution_reps","fail_solution_reps","word_count","TextNum","error_count","error_rate","error_count_per_type","error_rate_per_type","fb_rate_per_type"
"1","AFJ1","AFJ1_1","si reciben ayuda personalizada (mientras) [durante] su detención","Substitution","D.N.M","mientras",0,"durante",2,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"2","AFJ1","AFJ1_1","con (eso) [esto] quiero decir que","Determination","D.N.M","eso",1,"esto",4,0,599,1,44,0.0734557595993322,2,0.00333889816360601,0
"3","AFJ1","AFJ1_1","se puede ayudar a aquellos que quieren (mejorarse) [mejorar]","Pronoun","D.N.M","mejorarse",0,"mejorar",0,0,599,1,44,0.0734557595993322,1,0.001669449081803,0
"4","AFJ1","AFJ1_1","un solo intento de (ruptura) [fuga] en 30 años","Substitution","I.L.","ruptura",0,"fuga",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"5","AFJ1","AFJ1_1","pueden moverse (libre) [libremente] en la isla","Substitution","D.N.M","libre",0,"libremente",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"6","AFJ1","AFJ1_1","es (una frescura) [un dilema] bastante (complicada) [complicado]","Substitution","I.M.","una frescura, complicada",0,"un dilema, complicado",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"7","AFJ1","AFJ1_1","que hemos conocido (en) la semana pasada","Government","D.N.M","en",0,NA,0,0,599,1,44,0.0734557595993322,8,0.013355592654424,0
"8","AFJ1","AFJ1_1","hay prisiones (tal) como Rikers Island","Analysis","D.N.M","tal",0,NA,1,0,599,1,44,0.0734557595993322,1,0.001669449081803,0
"9","AFJ1","AFJ1_1","vivir en (la) sociedad","Determination","D.N.M","la",0,NA,2,0,599,1,44,0.0734557595993322,2,0.00333889816360601,0
"10","AFJ1","AFJ1_1","un instrumento de ayuda para los presos (en forma) [a fin] de enseñarles a vivir en sociedad","Substitution","R","en forma",0,"a fin",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"11","AFJ1","AFJ1_1","me gustaría expresar (porque) [por qué] yo creo","Substitution","D.N.M","porque",0,"por qué",1,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"12","AFJ1","AFJ1_1","y si (hay) [están en] condiciones como las de la cárcel de Bastøy","Substitution","None","hay",0,"están en",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"13","AFJ1","AFJ1_1","la oportunidad de encontrar (silencio) [la paz] y reflexionar","Substitution","I.M.","silencio",0,"la paz",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"14","AFJ1","AFJ1_1","si reciben ayuda (propia) [personalizada] durante su detención","Substitution","None","propia",0,"personalizada",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"15","AFJ1","AFJ1_1","(dependiente) [dependiendo] de las condiciones en las cárceles","Substitution","D.N.M","dependiente",0,"dependiendo",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"16","AFJ1","AFJ1_1","no solo sean castigados, sino que [también] reciban","Ellipsis","D.N.M",NA,0,"también",1,0,599,1,44,0.0734557595993322,3,0.00500834724540901,0
"17","AFJ1","AFJ1_1","estoy de acuerdo [con] que las cárceles ya se han mejorado","Government","D.N.M",NA,0,"con",0,0,599,1,44,0.0734557595993322,8,0.013355592654424,0
"18","AFJ1","AFJ1_1","porque, sin (embargo) [duda], conocemos las condiciones","Substitution","D.N.M","embargo",0,"duda",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"19","AFJ1","AFJ1_1","las condiciones en (cuáles) [que] los presos tenían que vivir","Substitution","D.N.M","cuáles",0,"que",1,1,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"20","AFJ1","AFJ1_1","allá a los presos, (cuáles) [a quienes] casi ni se [les] puede llamar así","Government","D.N.M","cuáles",0,"a quienes, les",2,0,599,1,44,0.0734557595993322,8,0.013355592654424,0
"21","AFJ1","AFJ1_1","la estancia puede ser tan (traumatizando) [traumática] que","Substitution","D.M.","traumatizando",0,"traumática",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"22","AFJ1","AFJ1_1","cárceles como (el) [la] de Rikers Island","Gender","D.N.M","el",0,"la",0,0,599,1,44,0.0734557595993322,1,0.001669449081803,0
"23","AFJ1","AFJ1_1","seguramente, (la tirada de) [retirarles] la posibilidad","Substitution","I.M.","la tirada",0,"retirarles",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"24","AFJ1","AFJ1_1","la posibilidad de (hacer) [formar] parte de la sociedad","Substitution","D.N.M","hacer",0,"formar",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"25","AFJ1","AFJ1_1","así la población (está) [queda] protegida","Substitution","D.N.M","está",0,"queda",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"26","AFJ1","AFJ1_1","como [afirmaban] los señores","Ellipsis","D.N.M",NA,0,"afirmaban",0,0,599,1,44,0.0734557595993322,3,0.00500834724540901,0
"27","AFJ1","AFJ1_1","que hemos (conocidos) [conocido] la semana pasada","Number","D.N.M","conocidos",0,"conocido",0,0,599,1,44,0.0734557595993322,1,0.001669449081803,0
"28","AFJ1","AFJ1_1","no ayudan a los criminales a reintegrarse (otra vez) en sociedad","Excess word(s)","I.M.","otra vez",0,NA,0,0,599,1,44,0.0734557595993322,2,0.00333889816360601,0
"29","AFJ1","AFJ1_1","(está) [es] cierto que no se puede evitar","Substitution","D.N.M","está",0,"es",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"30","AFJ1","AFJ1_1","el estado tiene [que] proteger","Ellipsis","D.N.M",NA,0,"que",1,0,599,1,44,0.0734557595993322,3,0.00500834724540901,0
"31","AFJ1","AFJ1_1","proteger (a la demás) [al resto de la] población","Substitution","I.L.","a la demás",0,"al resto de la",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"32","AFJ1","AFJ1_1","la oportunidad de (crear) [construirse] una nueva vida","Substitution","D.N.M","crear",0,"construirse",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"33","AFJ1","AFJ1_1","condiciones como (en) [las de] la cárcel de Bastøy","Government","D.N.M","en",0,"las de",1,0,599,1,44,0.0734557595993322,8,0.013355592654424,0
"34","AFJ1","AFJ1_1","deberían (estar) [ser] libres","Substitution","D.N.M","estar",1,"ser",7,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"35","AFJ1","AFJ1_1","libres (en que tienen) [de tener] un trabajo y (ganan) [ganar] dinero","Government","D.N.M","en que tienen, ganan",0,"de tener, ganar",0,0,599,1,44,0.0734557595993322,8,0.013355592654424,0
"36","AFJ1","AFJ1_1","(estoy) [soy] de la opinión","Substitution","D.N.M","estoy",0,"soy",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"37","AFJ1","AFJ1_1","la opinión [de] que especialmente la reinserción de los jóvenes","Government","D.N.M",NA,0,"de",4,1,599,1,44,0.0734557595993322,8,0.013355592654424,0
"38","AFJ1","AFJ1_1","la reinserción de los jóvenes es (demasiado) [extremadamente] importante","Substitution","D.N.M","demasiado",0,"extremadamente",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"39","AFJ1","AFJ1_1","un instrumento de ayuda para los presos a fin de (aprender) [enseñarles] a vivir en sociedad","Substitution","None","aprender",0,"enseñarles",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"40","AFJ1","AFJ1_1","un instrumento de ayuda para los presos a fin de enseñarles [a] vivir en sociedad","Government","None",NA,0,"a",9,1,599,1,44,0.0734557595993322,8,0.013355592654424,0
"41","AFJ1","AFJ1_1","aunque es indispensable (no) condenarlos, todavía forman parte","Excess word(s)","D.N.M","no",0,NA,0,0,599,1,44,0.0734557595993322,2,0.00333889816360601,0
"42","AFJ1","AFJ1_1","(hacen) [forman] parte","Substitution","D.N.M","hacen",0,"forman",0,0,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"43","AFJ1","AFJ1_1","(que) [y] necesitan asistencia","Substitution","D.N.M","que",0,"y",16,1,599,1,44,0.0734557595993322,25,0.0417362270450751,0
"44","AFJ1","AFJ1_1","reflexionar [sobre] sus errores","Government","D.N.M",NA,0,"sobre",0,0,599,1,44,0.0734557595993322,8,0.013355592654424,0
