Lemma,AFJ1_1,AFJ1_2,AFJ1_3,AFJ1_4,Total
el,61,46,29,53,189
de,34,29,15,34,112
que,27,27,24,15,93
él,18,14,3,18,53
en,20,11,12,7,50
uno,15,9,6,19,49
a,12,15,6,13,46
y,13,14,6,7,40
ser,13,12,5,6,36
no,7,12,10,5,34
como,6,10,4,3,23
yo,2,18,1,1,22
haber,9,5,4,2,20
poder,5,10,1,2,18
estar,5,7,1,2,15
su,6,1,0,7,14
tener,5,2,7,0,14
por,3,5,1,4,13
todo,2,6,3,2,13
mi,4,6,1,0,11
pero,4,3,2,1,10
si,4,5,0,1,10
para,4,4,1,1,10
aunque,1,4,3,1,9
sociedad,6,0,3,0,9
solo,3,4,2,0,9
querer,5,2,1,0,8
aquí,0,7,0,1,8
mucho,1,4,3,0,8
oportunidad,5,0,3,0,8
vivir,2,0,4,1,7
hacer,2,4,0,1,7
deber,2,0,5,0,7
este,0,4,2,0,6
decir,2,0,2,2,6
día,0,4,1,1,6
otro,2,1,1,2,6
ver,0,2,1,3,6
dar,2,2,1,1,6
país,0,1,5,0,6
opinión,5,0,1,0,6
vida,4,0,1,0,5
más,0,3,1,1,5
llevar,1,1,0,3,5
recibir,4,0,0,1,5
parte,2,0,1,1,4
gustar,1,3,0,0,4
lado,2,0,1,1,4
nuevo,3,1,0,0,4
alguno,0,2,1,1,4
aprovechar,0,1,3,0,4
joven,1,0,0,3,4
conocer,1,2,1,0,4
saber,0,3,0,1,4
ayudar,2,0,2,0,4
mientras,1,0,2,1,4
hasta,0,2,0,2,4
pesar,1,2,1,0,4
aquel,1,1,2,0,4
fuerte,0,1,2,1,4
sino,1,1,2,0,4
también,1,1,1,0,3
tiempo,1,0,1,1,3
especialmente,1,0,2,0,3
durante,1,2,0,0,3
tal,1,2,0,0,3
libre,2,1,0,0,3
tanto,1,2,0,0,3
entre,2,0,0,1,3
cuando,0,1,0,2,3
ofrecer,0,1,2,0,3
todavía,2,0,1,0,3
mundial,1,0,2,0,3
ni,1,2,0,0,3
creer,2,0,1,0,3
desde,1,0,0,2,3
llegar,0,2,0,1,3
agua,0,2,0,1,3
fuera,1,1,0,1,3
volver,1,2,0,0,3
así,2,0,1,0,3
estado,1,1,0,1,3
con,1,1,0,1,3
ya,1,0,1,1,3
persona,1,1,0,1,3
animal,0,1,0,2,3
entender,1,1,1,0,3
vez,1,1,0,1,3
cuenta,0,0,1,1,2
cerca,0,1,0,1,2
tras,0,1,0,1,2
desarrollar,1,0,0,1,2
trabajo,1,0,1,0,2
semana,1,1,0,0,2
dos,0,0,1,1,2
año,1,0,0,1,2
sin,1,0,1,0,2
necesitar,1,1,0,0,2
sistema,1,0,1,0,2
primero,0,1,0,1,2
disfrutar,0,1,0,1,2
ese,1,0,0,1,2
qué,0,1,1,0,2
verde,0,1,0,1,2
manera,0,1,1,0,2
encontrar,1,1,0,0,2
