Lemma,AMN1_1,AMN1_2,AMN1_3,AMN1_4,Total
el,157,124,63,40,384
de,81,59,29,35,204
él,57,45,7,20,129
que,43,37,14,22,116
uno,52,22,6,23,103
a,35,23,15,16,89
y,38,20,10,15,83
en,42,22,8,11,83
ser,27,15,3,16,61
su,11,33,10,6,60
no,13,13,2,18,46
haber,14,12,6,10,42
por,13,11,3,5,32
con,6,7,5,5,23
para,9,3,3,7,22
poder,8,6,3,4,21
hacer,8,4,3,6,21
más,6,7,1,5,19
o,7,1,3,8,19
estar,8,6,1,3,18
día,6,5,0,2,13
mucho,9,2,0,2,13
tener,6,1,0,5,12
todo,6,1,3,2,12
sin,5,3,1,2,11
falta,2,3,0,5,10
último,1,7,1,0,9
yo,3,0,0,5,8
este,2,2,1,3,8
país,3,0,5,0,8
persona,4,0,0,4,8
dar,1,2,1,4,8
cuando,3,3,0,2,8
ese,5,2,0,1,8
seguir,1,4,0,3,8
ver,2,3,0,3,8
llevar,5,1,0,1,7
donde,3,2,0,2,7
pero,3,1,1,2,7
vez,3,3,0,1,7
qué,0,1,0,6,7
mismo,3,0,1,3,7
acabar,4,1,1,1,7
ya,3,3,1,0,7
si,1,2,0,4,7
hacia,1,4,1,0,6
también,2,0,1,3,6
año,5,0,0,1,6
dejar,2,2,0,2,6
dos,3,2,0,1,6
lugar,4,2,0,0,6
saber,2,1,0,3,6
tal,2,2,1,0,5
como,1,1,1,2,5
siempre,1,2,0,2,5
solo,3,1,0,1,5
punto,1,3,1,0,5
hasta,1,4,0,0,5
ahora,3,1,0,1,5
vida,1,0,0,4,5
ni,1,2,0,1,4
bandera,0,3,1,0,4
crimen,3,0,0,1,4
fin,2,2,0,0,4
pesar,2,1,0,1,4
cada,1,3,0,0,4
antes,0,1,1,2,4
cumplir,2,0,0,2,4
primo,3,0,0,1,4
otro,1,2,0,1,4
cuenta,1,2,0,1,4
bien,3,0,0,1,4
final,2,1,1,0,4
minuto,1,3,0,0,4
nuestro,2,0,0,2,4
único,3,0,1,0,4
cuestión,1,1,1,1,4
dentro,2,1,0,1,4
empezar,3,1,0,0,4
mundo,1,2,0,1,4
convertir,2,1,0,1,4
parecer,3,1,0,0,4
tiempo,3,1,0,0,4
ninguno,2,1,0,1,4
primero,1,3,0,0,4
desde,2,1,1,0,4
salir,3,0,0,1,4
mejor,1,1,0,2,4
encontrar,2,1,0,1,4
nuevo,1,2,0,1,4
sueño,0,1,0,2,3
humanos,1,2,0,0,3
imposible,1,1,0,1,3
presentar,2,1,0,0,3
menos,1,1,0,1,3
