Lemma,ARE1_1,ARE1_2,ARE1_3,ARE1_4,Total
el,42,109,47,61,259
de,16,72,15,34,137
a,22,24,6,21,73
que,24,26,10,12,72
uno,22,28,3,18,71
él,18,25,7,16,66
en,11,36,5,13,65
y,9,25,13,5,52
ser,20,12,4,6,42
por,3,16,5,5,29
estar,3,15,3,5,26
haber,7,14,0,4,25
no,11,10,4,0,25
yo,3,18,0,0,21
para,6,5,8,1,20
con,4,10,3,3,20
poder,7,4,5,0,16
más,9,3,0,3,15
mucho,3,9,0,2,14
ese,4,5,1,1,11
ver,2,7,1,0,10
pero,4,6,0,0,10
mi,2,7,1,0,10
varios,1,5,0,3,9
su,3,3,1,2,9
llegar,2,5,1,1,9
otro,3,4,2,0,9
este,1,2,3,2,8
coche,0,2,0,6,8
tener,4,2,1,1,8
también,5,1,1,1,8
decir,2,2,1,2,7
bien,2,4,1,0,7
si,5,2,0,0,7
porque,5,1,1,0,7
hacer,2,4,0,1,7
dar,0,4,0,2,6
todo,1,4,1,0,6
cuando,1,3,1,1,6
ya,1,5,0,0,6
solo,1,3,2,0,6
persona,4,1,0,1,6
salir,1,1,1,2,5
vez,3,2,0,0,5
sin,2,2,1,0,5
esperar,0,4,0,1,5
como,1,1,1,1,4
entre,0,2,1,1,4
causar,0,2,0,2,4
país,0,0,3,1,4
así,2,2,0,0,4
tal,3,1,0,0,4
daño,1,3,0,0,4
ayudar,2,2,0,0,4
mantener,2,0,0,2,4
afectado,1,2,1,0,4
donde,1,1,0,2,4
año,1,1,0,2,4
nivel,1,0,3,0,4
o,3,1,0,0,4
poco,2,1,1,0,4
dejar,1,3,0,0,4
financiero,0,1,3,0,4
día,0,3,0,1,4
lado,2,1,1,0,4
carretera,0,1,0,3,4
hablar,2,1,1,0,4
ir,0,3,0,1,4
sino,2,1,0,0,3
dos,2,0,0,1,3
consecuencia,1,0,1,1,3
desde,2,1,0,0,3
mientras,1,1,0,1,3
cual,0,1,1,1,3
informar,0,2,0,1,3
hacia,2,0,1,0,3
sobre,1,0,2,0,3
pasado,1,1,0,1,3
nación,1,0,2,0,3
opinión,2,0,1,0,3
saber,1,2,0,0,3
resultar,0,1,0,2,3
grande,2,1,0,0,3
acuerdo,1,0,2,0,3
razón,1,0,1,1,3
nuevo,1,1,0,1,3
camino,1,0,0,2,3
económico,0,1,2,0,3
encontrar,1,2,0,0,3
tiempo,1,1,0,0,2
mandar,0,1,0,1,2
conseguir,1,0,1,0,2
comunidad,1,1,0,0,2
volver,1,1,0,0,2
mejor,1,1,0,0,2
cuenta,0,1,0,1,2
preparar,1,1,0,0,2
manera,1,0,1,0,2
fuerza,0,1,1,0,2
llamado,1,0,1,0,2
durante,0,1,0,1,2
color,0,1,0,1,2
total,0,1,0,1,2
posible,0,0,1,1,2
mostrar,0,1,0,1,2
tanto,0,1,1,0,2
detener,0,1,0,1,2
llevar,0,0,1,1,2
trasero,0,1,0,1,2
alguno,0,1,1,0,2
diez,0,1,0,1,2
decidir,1,0,0,1,2
cuánto,1,1,0,0,2
cosa,1,1,0,0,2
falta,0,1,1,0,2
dinero,1,1,0,0,2
hermano,1,1,0,0,2
aquel,0,1,0,1,2
venir,1,1,0,0,2
mirar,0,0,1,1,2
trabajo,0,1,1,0,2
aspecto,1,0,1,0,2
traer,0,1,1,0,2
calle,0,1,0,1,2
embargo,1,1,0,0,2
evitar,0,0,1,1,2
junto,0,1,1,0,2
tema,0,1,1,0,2
ni,0,1,1,0,2
necesario,1,0,1,0,2
estado,0,1,1,0,2
adelante,0,1,1,0,2
aún,0,1,0,1,2
costar,1,1,0,0,2
frente,0,1,0,1,2
además,0,1,0,1,2
después,0,1,0,1,2
llamar,0,1,0,1,2
querer,1,0,1,0,2
trabajar,1,0,1,0,2
entender,1,1,0,0,2
parte,0,1,0,1,2
