Lemma,FLL1_1,FLL1_2,FLL1_3,FLL1_4,Total
el,51,51,49,47,198
de,28,25,20,41,114
que,37,18,16,24,95
uno,23,16,8,23,70
él,16,33,10,7,66
en,16,12,13,10,51
a,22,15,3,9,49
y,8,17,9,8,42
ser,12,10,5,10,37
para,10,8,6,2,26
haber,7,5,6,5,23
por,2,9,2,10,23
su,6,11,1,5,23
no,8,3,5,5,21
tener,5,6,3,5,19
hacer,6,3,3,4,16
como,3,2,5,4,14
mucho,3,6,0,4,13
niño,0,3,0,9,12
poder,4,3,3,1,11
decir,4,3,2,1,10
estar,1,4,0,5,10
día,3,1,3,2,9
con,2,2,1,3,8
yo,1,0,6,1,8
pero,3,3,1,1,8
todo,3,2,1,2,8
sin,0,4,1,2,7
dar,4,2,1,0,7
después,1,3,0,3,7
este,2,0,1,4,7
vida,5,0,0,2,7
robar,1,6,0,0,7
más,3,2,2,0,7
querer,2,3,0,1,6
padre,0,3,0,3,6
encontrar,2,2,2,0,6
vivir,4,0,2,0,6
obstante,1,2,2,1,6
ya,1,3,0,2,6
nuestro,4,0,2,0,6
ese,1,1,2,2,6
bien,1,2,2,1,6
ayudar,4,1,0,0,5
embargo,0,2,1,2,5
hasta,2,2,1,0,5
sobre,0,1,3,1,5
mundo,0,1,4,0,5
porque,1,1,1,2,5
cada,1,1,2,1,5
mostrar,0,3,0,1,4
año,1,1,1,1,4
además,0,1,2,1,4
según,1,0,0,3,4
familia,0,2,0,2,4
social,0,0,1,3,4
lugar,0,1,3,0,4
efecto,2,0,0,1,3
menos,1,1,1,0,3
país,1,0,2,0,3
algo,2,0,0,1,3
hijo,0,1,0,2,3
llevar,1,0,1,1,3
verdadero,0,0,1,2,3
deber,2,0,1,0,3
decidir,0,2,0,1,3
barcelona,0,1,0,2,3
hora,1,2,0,0,3
objetivo,2,1,0,0,3
hombre,0,2,0,1,3
primero,0,1,1,1,3
normal,2,0,0,1,3
hoy,1,0,2,0,3
parte,1,0,1,1,3
problema,0,1,0,2,3
si,1,1,0,1,3
malo,1,1,1,0,3
causa,1,0,1,1,3
pasado,1,1,0,1,3
así,0,2,1,0,3
mi,0,1,1,0,2
joven,0,1,0,1,2
lograr,1,1,0,0,2
conseguir,1,0,1,0,2
gracias,1,0,0,1,2
permitir,0,1,1,0,2
antes,0,1,0,1,2
vez,0,1,1,0,2
quitar,1,0,0,1,2
ganar,1,0,0,1,2
pobre,0,0,1,1,2
saber,1,1,0,0,2
ninguno,0,1,0,1,2
entonces,1,0,0,1,2
meta,1,1,0,0,2
sacar,0,0,1,1,2
último,0,0,1,1,2
alguno,1,0,1,0,2
acabar,1,1,0,0,2
tratar,0,0,1,1,2
opinión,0,0,1,1,2
delito,1,0,0,1,2
medio,1,1,0,0,2
público,0,0,1,1,2
tanto,0,0,1,1,2
sólo,1,1,0,0,2
mejor,0,1,1,0,2
tú,1,1,0,0,2
entrar,1,1,0,0,2
fin,1,1,0,0,2
volver,1,0,0,1,2
junto,0,1,1,0,2
seguir,1,0,1,0,2
buscar,1,1,0,0,2
conocer,0,1,1,0,2
solo,1,1,0,0,2
durante,0,0,1,1,2
gran,0,1,0,1,2
provecho,0,0,1,1,2
