Lemma,IHG1_1,IHG1_2,IHG1_3,IHG1_4,Total
el,51,57,31,28,167
de,28,33,20,17,98
que,16,17,13,26,72
en,14,16,11,11,52
ser,10,19,9,9,47
uno,15,15,9,8,47
a,14,13,11,9,47
él,9,15,7,14,45
y,9,11,4,5,29
para,10,8,4,6,28
poder,11,3,5,5,24
haber,7,2,7,7,23
no,7,5,4,6,22
este,5,7,4,5,21
por,2,6,4,8,20
más,9,3,4,0,16
como,4,6,5,0,15
ver,2,12,1,0,15
su,2,4,3,6,15
estar,3,3,0,5,11
ese,5,3,0,3,11
hacer,1,2,2,5,10
con,0,4,4,2,10
tener,3,2,2,3,10
tanto,2,5,1,0,8
lugar,1,5,1,1,8
mundo,4,1,3,0,8
hasta,2,1,1,3,7
solo,1,2,1,3,7
yo,0,3,0,4,7
cárcel,5,0,0,1,6
nuevo,1,0,0,5,6
todo,0,0,3,3,6
decir,2,2,1,1,6
pero,2,2,0,1,5
desde,2,1,0,2,5
mundial,0,1,4,0,5
si,2,1,0,2,5
salir,0,1,0,4,5
también,0,2,1,2,5
mi,0,3,0,1,4
qué,0,3,0,1,4
durante,1,2,1,0,4
sociedad,3,0,1,0,4
vivir,1,1,1,1,4
sobre,1,0,3,0,4
vez,3,0,0,1,4
entre,2,1,1,0,4
donde,1,2,0,0,3
caso,0,2,1,0,3
cada,2,0,1,0,3
luz,0,1,0,2,3
capaz,0,1,1,1,3
obstante,1,1,1,0,3
fuera,1,0,0,2,3
parte,0,2,1,0,3
país,0,1,2,0,3
punto,1,0,2,0,3
probable,1,2,0,0,3
moderno,2,0,1,0,3
así,1,1,0,1,3
mucho,0,2,1,0,3
desigualdad,1,0,2,0,3
existir,1,1,1,0,3
casa,0,2,0,1,3
debido,0,1,2,0,3
persona,1,0,1,1,3
recibir,0,1,0,2,3
ejemplo,1,0,1,0,2
esperar,0,1,0,1,2
ingreso,1,0,1,0,2
otro,1,1,0,0,2
crear,1,1,0,0,2
pasado,0,0,1,1,2
pesar,1,0,1,0,2
especialmente,1,0,1,0,2
seguro,0,1,0,1,2
historia,0,1,0,1,2
noruega,1,1,0,0,2
alguno,1,1,0,0,2
través,1,0,1,0,2
además,1,0,1,0,2
tiempo,1,1,0,0,2
acabar,0,1,0,1,2
porque,1,1,0,0,2
sino,0,1,0,1,2
nunca,0,1,0,1,2
dos,1,1,0,0,2
delito,1,0,0,1,2
falta,1,0,1,0,2
aunque,1,0,1,0,2
forma,0,1,0,1,2
creer,0,1,0,1,2
suceso,0,1,0,1,2
claro,1,0,0,1,2
consecuencia,1,0,1,0,2
según,0,1,1,0,2
cometer,1,0,0,1,2
discutir,1,0,1,0,2
mejor,0,1,0,1,2
realmente,1,0,0,1,2
oportunidad,1,0,1,0,2
positivo,0,1,1,0,2
deber,1,1,0,0,2
encontrar,1,1,0,0,2
gente,1,0,1,0,2
cierto,1,0,1,0,2
intentar,1,1,0,0,2
