Lemma,RPE1_1,RPE1_2,RPE1_3,RPE1_4,Total
el,43,40,43,18,144
de,34,22,30,20,106
que,21,25,13,19,78
ser,3,16,5,15,39
a,18,14,4,3,39
no,12,10,7,7,36
él,11,9,6,8,34
uno,9,13,1,6,29
yo,6,16,4,2,28
en,9,10,5,2,26
para,4,9,3,8,24
y,7,10,3,4,24
haber,5,8,6,4,23
tener,9,5,3,1,18
tú,2,9,1,6,18
pero,5,2,5,2,14
estar,5,3,4,2,14
como,5,1,2,5,13
hacer,1,3,2,6,12
ya,0,7,3,2,12
su,2,1,4,4,11
si,4,2,2,3,11
este,4,4,0,3,11
decir,3,5,1,2,11
sin,2,2,3,4,11
por,2,6,1,2,11
isla,2,8,0,0,10
mucho,4,1,5,0,10
mas,3,1,3,3,10
deber,7,0,0,2,9
con,0,3,2,4,9
ni,4,2,3,0,9
mi,1,7,0,0,8
nada,1,2,2,3,8
o,2,2,1,2,7
ese,1,4,0,2,7
saber,0,0,4,2,6
encontrar,0,2,4,0,6
ir,1,3,0,2,6
cada,2,2,0,2,6
información,2,0,2,1,5
ayudar,4,0,0,1,5
dar,0,3,1,1,5
poder,2,2,0,1,5
todo,2,3,0,0,5
donde,4,0,1,0,5
cuando,0,1,2,2,5
leer,1,0,0,4,5
imaginar,2,2,0,0,4
asesino,2,0,2,0,4
gente,1,2,1,0,4
así,0,2,1,1,4
pensar,1,3,0,0,4
día,1,2,0,1,4
solo,0,3,0,1,4
desde,1,1,2,0,4
tu,0,3,0,1,4
embargo,2,1,1,0,4
vez,1,2,0,0,3
nadie,1,1,0,1,3
propio,2,1,0,0,3
intentar,0,0,1,2,3
usar,1,0,0,2,3
tiempo,0,1,0,2,3
criminal,2,0,1,0,3
mejor,1,1,0,1,3
hablar,1,0,1,1,3
dejar,2,1,0,0,3
persona,1,0,0,2,3
victima,1,0,2,0,3
ninguno,0,1,2,0,3
familia,2,0,1,0,3
social,2,0,0,1,3
crimen,1,0,2,0,3
internet,1,0,0,2,3
querer,0,2,1,0,3
diferente,1,0,1,1,3
pasado,1,0,2,0,3
medio,1,2,0,0,3
tanto,1,1,1,0,3
siquiera,2,1,0,0,3
ciudad,0,1,2,0,3
jugar,2,1,0,0,3
esperar,0,1,2,0,3
llevar,1,0,2,0,3
asesinado,2,0,1,0,3
empezar,1,1,1,0,3
especialmente,0,1,0,1,2
buscar,1,1,0,0,2
tipo,0,0,1,1,2
solamente,0,0,1,1,2
loco,0,1,0,1,2
indicar,0,0,1,1,2
importante,0,1,0,1,2
e,1,0,0,1,2
cual,1,1,0,0,2
qué,1,0,0,1,2
antes,1,0,0,1,2
vida,1,1,0,0,2
niño,1,1,0,0,2
clase,1,0,0,1,2
fuerza,0,1,1,0,2
algo,0,0,1,1,2
mismo,1,0,0,1,2
seguir,0,0,1,1,2
simple,0,1,0,1,2
razón,1,1,0,0,2
necesario,0,1,0,1,2
necesitar,0,1,0,1,2
numero,1,0,1,0,2
alguien,1,1,0,0,2
mañana,0,1,1,0,2
poco,0,1,0,1,2
ver,0,1,1,0,2
sitio,1,1,0,0,2
sino,0,1,0,1,2
segundo,0,1,0,1,2
buen,1,0,0,1,2
